world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/coronado,Coronado,Coronado (California),7,23,do,Tidelands Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.69091,-117.1655,Silver Strand,northamerica/unitedstates/california/coronado/silver_strand,0.37,5.195,1.05,needs_external_source,,https://en.wikivoyage.org/wiki/Coronado_%28California%29
asia/philippines/butuan,Butuan,Butuan,5,16,see,Butuan Regional Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,8.95256,125.52698,Balangay Shrine Museum,asia/philippines/butuan/balangay_shrine_museum,0.455,3.947,1.868,needs_external_source,,https://en.wikivoyage.org/wiki/Butuan
asia/india/meghalaya/shillong,Shillong,Shillong,15,23,see,Lady Hydari Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.56542,91.88162,Shillong Peak,asia/india/meghalaya/shillong/shillong_peak,0.414,3.452,1.894,needs_external_source,,https://en.wikivoyage.org/wiki/Shillong
southamerica/chile/calama,Calama,Calama,6,5,see,Memorial for '73 Disappeared,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-22.5336716,-68.7956924,Monumento Batalla de Topáter,southamerica/chile/calama/monumento_topater,0.308,13.594,15.665,needs_external_source,,https://en.wikivoyage.org/wiki/Calama
northamerica/mexico/ensenada,Ensenada,Ensenada,8,39,see,Museo Histórico Regional,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.87001422242846,-116.6289023671122,Baja 1000 Start,northamerica/mexico/ensenada/baja_1000,0.505,0.495,2.49,needs_external_source,,https://en.wikivoyage.org/wiki/Ensenada
northamerica/unitedstates/california/shastacascade/redding,Redding,Redding,6,32,see,Pilgrim Congregational Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.583418,-122.412835,Turtle Bay Exploration Park,northamerica/unitedstates/california/shastacascade/redding/turtle_bay_exploration_park,0.321,3.24,1.817,needs_external_source,,https://en.wikivoyage.org/wiki/Redding
northamerica/unitedstates/florida/tarpon_springs,Tarpon Springs,Tarpon Springs,5,8,do,Anclote Key Preserve State Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,28.1931,-82.8511,Anclote River and Kayaking,northamerica/unitedstates/florida/tarpon_springs/anclote_river,0.456,8.835,10.599,needs_external_source,,https://en.wikivoyage.org/wiki/Tarpon_Springs
asia/india/karnataka/udupi,Udupi,Udupi,0,41,do,Kapu Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,13.2216,74.7382,,,0.0,,13.272,needs_external_source,,https://en.wikivoyage.org/wiki/Udupi
asia/china/guizhou/guiyang,Guiyang,Guiyang,9,25,see,Huaxi Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.43639,106.66834,Jiaxiu Pavilion,asia/china/guizhou/guiyang/jiaxiu_pavilion,0.48,15.898,16.382,needs_external_source,,https://en.wikivoyage.org/wiki/Guiyang
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Ile Barbe,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.7979,4.8335,Place Bellecour,europe/france/alpes/lyon/place_bellecour,0.417,4.493,4.459,needs_external_source,,https://en.wikivoyage.org/wiki/Lyon
europe/greece/skyros,Skyros,Skyros,8,39,do,Kalamitsa Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.8432,24.5609,Faltaits Folklore Museum,europe/greece/skyros/faltaits_museum,0.41,7.623,4.578,needs_external_source,,https://en.wikivoyage.org/wiki/Skyros
asia/india/gujarat/morbi,Morbi,Morbi,4,15,see,Rafaleshwar Mahadev Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,22.770197,70.901455,Mani Mandir,asia/india/gujarat/morbi/mani_mandir,0.27,8.222,3.703,needs_external_source,,https://en.wikivoyage.org/wiki/Morbi
europe/denmark/aarhus,Aarhus,Aarhus,12,232,see,Marselisborg Forests,0.89,candidate,has coordinates; has description; high-value type; strong travel term,56.115814,10.227013,Aarhus Street Food,europe/denmark/aarhus/aarhus_street_food,0.421,3.928,3.85,needs_external_source,,https://en.wikivoyage.org/wiki/Aarhus
