world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,see,葑门横街,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.299,120.6465,,,0.0,,2.782,needs_external_source,,https://en.wikivoyage.org/wiki/Suzhou
europe/spain/catalonia/mataro,Mataró,Mataró,6,61,see,Hermitage of St. Simon,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.5418,2.4573,Can Marfà Knitwear Museum,europe/spain/catalonia/mataro/can_marfa_knitwear_museum,0.428,0.572,1.055,needs_external_source,,https://en.wikivoyage.org/wiki/Matar%C3%B3
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Roški slap,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.901874,15.976417,,,0.0,,1.903,needs_external_source,,https://en.wikivoyage.org/wiki/Krka_National_Park
africa/congokinshasa/kinshasa,Kinshasa,Kinshasa,17,46,see,National Museum of the Democratic Republic of Congo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-4.3351,15.2994,Palais du Peuple,africa/congokinshasa/kinshasa/palais_du_peuple,0.478,0.522,2.766,needs_external_source,,https://en.wikivoyage.org/wiki/Kinshasa
asia/india/uttaranchal/rishikesh,Rishikesh,Rishikesh,14,26,see,Bharat Mandir,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.10612,78.30205,Beatles Ashram (Maharishi Mahesh Yogi Ashram),asia/india/uttaranchal/rishikesh/beatles_ashram,0.444,1.108,0.581,needs_external_source,,https://en.wikivoyage.org/wiki/Rishikesh
australiaandpacific/newzealand/greymouth,Greymouth,Greymouth,6,51,do,Cobden Aromahana Lagoon Walk,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-42.440276,171.199822,Floodwall Walk,australiaandpacific/newzealand/greymouth/floodwall_walk,0.381,1.211,1.251,needs_external_source,,https://en.wikivoyage.org/wiki/Greymouth
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Church of Saints Peter and Paul,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.51138,20.963333,Old Bazaar (Čaršija),europe/macedonia/kicevo/old_bazaar,0.512,0.488,0.488,needs_external_source,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
asia/iran/persepolis,Persepolis,Persepolis,0,17,see,Persepolis Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,29.934,52.8912,,,0.0,,0.154,needs_external_source,,https://en.wikivoyage.org/wiki/Persepolis
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Halk Hakydasy Memorial Complex,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.9357,58.3165,Altyn Asyr Bazaar (Tolkuchka),asia/turkmenistan/ashgabat/altyn_asyr_bazaar,0.34,,7.068,needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat
asia/china/zhejiang/zhoushan,Zhoushan,Zhoushan,4,13,see,Opium War Relics Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.0116227761,122.0820349576,Shenjiamen Fish Market,asia/china/zhejiang/zhoushan/shenjiamen_fish_market,0.233,21.654,15.469,needs_external_source,,https://en.wikivoyage.org/wiki/Zhoushan
europe/portugal/theazores/angra_do_heroismo,Angra do Heroismo,Angra do Heroísmo,12,18,see,Santa Catarina Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.6604,-27.2321,Bettencourt Palace,europe/portugal/theazores/angra_do_heroismo/bettencourt_palace,0.513,1.159,1.096,needs_external_source,,https://en.wikivoyage.org/wiki/Angra_do_Hero%C3%ADsmo
