world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/israel/ein_gedi,Ein Gedi,Ein Gedi,7,7,do,Ein Gedi Public Beach (closed),0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.45817,35.39696,Ein Gedi Kibbutz Botanical Garden,asia/israel/ein_gedi/kibbutz_botanical_garden,0.519,1.29,1.318,needs_external_source,,https://en.wikivoyage.org/wiki/Ein_Gedi
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Limenaria,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.6278,24.5752,Simi Taverna,europe/greece/thassos_island/simi_taverna,0.476,12.027,8.988,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
southamerica/paraguay/filadelfia,Filadelfia,Filadelfia,4,30,see,Third Monument,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-22.366016,-60.03498,Jakob Unger Museum and Colony House Museum,southamerica/paraguay/filadelfia/jakob_unger_museum,0.214,2.087,1.499,needs_external_source,,https://en.wikivoyage.org/wiki/Filadelfia
europe/unitedkingdom/england/south_east/ramsgate,Ramsgate,Ramsgate,6,29,see,Montefiore Mausoleum and Synagogue,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.340556,1.427778,The Grange and St Augustine's Church,europe/unitedkingdom/england/south_east/ramsgate/the_grange_pugin,0.394,1.559,0.969,needs_external_source,,https://en.wikivoyage.org/wiki/Ramsgate
asia/china/hubei/xiangyang,Xiangyang,Xiangyang,5,22,see,Mi Gong Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.04,112.15,Xiangyang Museum,asia/china/hubei/xiangyang/xiangyang_museum,0.467,3.237,2.839,needs_external_source,,https://en.wikivoyage.org/wiki/Xiangyang
asia/india/tamilnadu/coimbatore,Coimbatore,Coimbatore,7,30,see,Infant Jesus Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.94433,76.93138,Sree Avinashi Lingeshwara Temple,asia/india/tamilnadu/coimbatore/sree_avinashi_lingeshwara,0.314,45.842,7.256,needs_external_source,,https://en.wikivoyage.org/wiki/Coimbatore
southamerica/argentina/bahiablanca,Bahía Blanca,Bahía Blanca,9,8,see,Ferrowhite Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-38.78871,-62.26178,Ingeniero White,southamerica/argentina/bahiablanca/ingeniero_white,0.5,1.484,7.908,needs_external_source,,https://en.wikivoyage.org/wiki/Bah%C3%ADa_Blanca
asia/china/fujianprovince/zhangzhou,Zhangzhou,Zhangzhou,4,13,see,Stone Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,24.51,117.65,Lor Mee (Braised Noodles),asia/china/fujianprovince/zhangzhou/lor_mee,0.408,0.592,0.745,needs_external_source,,https://en.wikivoyage.org/wiki/Zhangzhou
europe/italy/sicily/erice,Erice,Erice,6,102,do,Saint Julian Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.0363114,12.53636,Ancient Walls of Erice,europe/italy/sicily/erice/phoenician_walls,0.45,4.348,4.457,needs_external_source,,https://en.wikivoyage.org/wiki/Erice
asia/china/hebei/tangshan,Tangshan,Tangshan,3,37,see,Tangshan Zoo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.68,118.24,Tangshan Earthquake Memorial Museum,asia/china/hebei/tangshan/earthquake_memorial,0.426,10.684,10.887,needs_external_source,,https://en.wikivoyage.org/wiki/Tangshan
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Forest Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.6699,116.937,Four Gate Pagoda (Simen Ta),asia/china/shandong_province/jinan/four_gate_pagoda,0.519,20.399,7.269,needs_external_source,,https://en.wikivoyage.org/wiki/Jinan
asia/china/heilongjiang/mudanjiang,Mudanjiang,Mudanjiang,5,8,do,People's Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.588122,129.623879,Jingpo Lake,asia/china/heilongjiang/mudanjiang/jingpo_lake,0.417,65.792,2.095,needs_external_source,,https://en.wikivoyage.org/wiki/Mudanjiang
northamerica/unitedstates/westvirginia/fairmont,Fairmont,Fairmont (West Virginia),5,24,see,Barrackville Covered Bridge,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.5058,-80.1681,Marion County Courthouse,northamerica/unitedstates/westvirginia/fairmont/marion_county_courthouse,0.353,3.126,3.189,needs_external_source,,https://en.wikivoyage.org/wiki/Fairmont_%28West_Virginia%29
europe/spain/spanishcostas/alicante,Alicante,Alicante,8,74,see,Castell de Sant Ferran,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.35145,-0.49089,Basilica of Santa Maria,europe/spain/spanishcostas/alicante/basilica_santa_maria,0.429,1.167,0.901,needs_external_source,,https://en.wikivoyage.org/wiki/Alicante
europe/denmark/aarhus,Aarhus,Aarhus,12,232,see,Aarhus Forestry Botanical Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,56.125556,10.201111,Aarhus Theatre,europe/denmark/aarhus/aarhus_theatre,0.478,3.416,2.78,needs_external_source,,https://en.wikivoyage.org/wiki/Aarhus
europe/italy/sardinia/isoladisanpietro/carloforte,Carloforte,Carloforte,5,19,see,Church of the Holy New Innocents,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.1425,8.299167,Carloforte Harbour and Town Centre,europe/italy/sardinia/isoladisanpietro/carloforte/carloforte_harbour,0.484,0.707,0.707,needs_external_source,,https://en.wikivoyage.org/wiki/Carloforte
asia/india/kerala/munnar,Munnar,Munnar,5,54,see,Floriculture Centre,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.0857366,77.0759529,Eravikulam National Park,asia/india/kerala/munnar/eravikulam_national_park,0.372,7.424,1.742,needs_external_source,,https://en.wikivoyage.org/wiki/Munnar
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,do,Sunnyvale Market,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.6846196,-111.910627,Eagle Gate,northamerica/unitedstates/utah/saltlakecity/eaglegate,0.462,9.591,8.578,needs_external_source,,https://en.wikivoyage.org/wiki/Salt_Lake_City
asia/iraq/tikrit,Tikrit,Tikrit,4,5,see,Saint Ahoadamah Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.604511,43.689698,Al-Khadra Mosque (Green Church),asia/iraq/tikrit/green_church,0.316,1.232,1.615,needs_external_source,,https://en.wikivoyage.org/wiki/Tikrit
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Fengxiang Wetlands Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,19.983754648,110.3506610171,Binhai Park,asia/china/hainanisland/haikou/binhai_park,0.471,6.871,17.623,needs_external_source,,https://en.wikivoyage.org/wiki/Haikou
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Birkenkopf,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.765278,9.131667,Weissenhof Estate,europe/germany/badenwrttemberg/stuttgart/weissenhof_estate,0.37,4.957,3.834,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
asia/china/ningxia/shizuishan,Shizuishan,Shizuishan,2,13,see,Shizuishan Yellow River Grand Canyon,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.9702,106.3447,Helan Mountain Rock Paintings,asia/china/ningxia/shizuishan/helan_mountain_rock_paintings,0.277,33.734,4.904,needs_external_source,,https://en.wikivoyage.org/wiki/Shizuishan
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Assumption Monastery of the Virgin Maries,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.6675,24.5874,Local Honey and Wine,europe/greece/thassos_island/thassos_honey_wine,0.351,9.243,5.701,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
asia/china/henan_province/yuzhou,Yuzhou,Yuzhou,4,48,see,Yuzhou Forest Botanical Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.168621,113.498481,Shenhou Ancient Town,asia/china/henan_province/yuzhou/shenhou_ancient_town,0.36,12.219,3.027,needs_external_source,,https://en.wikivoyage.org/wiki/Yuzhou
europe/spain/blanes,Blanes,Blanes,4,57,see,Sa Forcanera cove,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.67575,2.80295,Sant Joan Castle,europe/spain/blanes/sant_joan_castle,0.545,0.7,0.807,needs_external_source,,https://en.wikivoyage.org/wiki/Blanes
southamerica/colombia/tayrona,Tayrona National Park,Tayrona National Park,8,8,see,Cañaveral,0.89,candidate,has coordinates; has description; high-value type; strong travel term,11.3056,-73.92908,Chairama (Pueblito),southamerica/colombia/tayrona/chairama,0.471,8.407,2.904,needs_external_source,,https://en.wikivoyage.org/wiki/Tayrona_National_Park
asia/india/tamilnadu/ooty,Ooty,Ooty,7,28,see,St. Stephen's Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,11.414673,76.702281,Government Botanical Garden,asia/india/tamilnadu/ooty/government_botanical_garden,0.261,1.057,0.237,needs_external_source,,https://en.wikivoyage.org/wiki/Ooty
asia/china/yunnanprovince/tengchong,Tengchong,Tengchong,5,25,see,Temple of the Medicine King,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.031317332202804,98.49161970368839,Heshun Ancient Town,asia/china/yunnanprovince/tengchong/heshun_ancient_town,0.286,3.946,1.829,needs_external_source,,https://en.wikivoyage.org/wiki/Tengchong
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Church of the Virgin Mary,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.476731,20.811864,Kičevo Monastery,europe/macedonia/kicevo/kicevo_monastery,0.324,16.51,12.726,needs_external_source,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
northamerica/canada/britishcolumbia/princegeorge,Prince George,Prince George,5,41,see,Lheidli T'enneh Memorial Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,53.90675,-122.733846,Two Rivers Gallery,northamerica/canada/britishcolumbia/princegeorge/two_rivers_gallery,0.298,1.03,1.016,needs_external_source,,https://en.wikivoyage.org/wiki/Prince_George
asia/philippines/puerto_princesa,Puerto Princesa,Puerto Princesa,6,31,see,White Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,9.727231,118.756554,Honda Bay Island-Hopping,asia/philippines/puerto_princesa/honda_bay,0.286,33.561,1.98,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Princesa
