world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/austria/villach,Villach,Villach,15,37,do,Kremlhoftheater Villach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.6079,13.8531,Warmbad Villach,europe/austria/villach/warmbad_villach,0.526,1.835,1.009,needs_external_source,,https://en.wikivoyage.org/wiki/Villach
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,do,Cathedral Square Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.04208,-87.90497,Milwaukee Art Museum,northamerica/unitedstates/wisconsin/milwaukee/milwaukee_art_museum,0.535,0.465,0.507,needs_external_source,,https://en.wikivoyage.org/wiki/Milwaukee
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Hungarian Calvary,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.39412,21.64097,Main Square (Kossuth tér),europe/hungary/satoraljaujhely/main_square,0.429,1.143,1.142,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
asia/china/hunan/mount_heng,Mount Heng,Mount Heng (Hunan),5,9,see,Huixian Bridge,0.89,candidate,has coordinates; has description; high-value type; strong travel term,27.2965,112.6876,Zhurong Peak,asia/china/hunan/mount_heng/zhurong_peak,0.385,1.793,0.645,needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Heng_%28Hunan%29
europe/slovakia/bojnice,Bojnice,Bojnice,3,9,see,Church of St. Nicolaus in Poruba,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.83222,18.58992,Bojnice Thermal Baths,europe/slovakia/bojnice/thermal_baths,0.308,5.823,5.839,needs_external_source,,https://en.wikivoyage.org/wiki/Bojnice
northamerica/canada/ontario/muskoka/huntsville,Huntsville,Huntsville (Ontario),6,19,do,Avery Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.3222,-79.2322,Dyer Memorial,northamerica/canada/ontario/muskoka/huntsville/dyer_memorial,0.417,3.839,1.173,needs_external_source,,https://en.wikivoyage.org/wiki/Huntsville_%28Ontario%29
asia/china/guangxi/guilin,Guilin,Guilin,9,57,see,Zengpiyan National Archaeological Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.21585083478803,110.27897898686028,Seven Star Park,asia/china/guangxi/guilin/seven_star_park,0.415,7.161,7.016,needs_external_source,,https://en.wikivoyage.org/wiki/Guilin
asia/malaysia/ipoh,Ipoh,Ipoh,20,78,see,Sri Maha Mariamman Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,4.59139,101.06627,Birch Memorial Clock Tower,asia/malaysia/ipoh/birch_memorial_clock_tower,0.392,1.245,2.755,needs_external_source,,https://en.wikivoyage.org/wiki/Ipoh
asia/palestinianauthority/jerico,Jericho,Jericho,4,18,see,Wadi Qelt Synagogue,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.85353,35.43705,Wadi Qelt and St. George's Monastery,asia/palestinianauthority/jerico/wadi_qelt,0.519,2.381,2.396,needs_external_source,,https://en.wikivoyage.org/wiki/Jericho
southamerica/brazil/santarem,Santarém,Santarém (Brazil),4,23,see,Mercado Modelo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-2.41875,-54.71739,Alter do Chão,southamerica/brazil/santarem/alter_do_chao,0.444,28.01,2.954,needs_external_source,,https://en.wikivoyage.org/wiki/Santar%C3%A9m_%28Brazil%29
europe/greece/skyros,Skyros,Skyros,8,39,do,Atsitsa Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.91555,24.46772,Magazia and Molos Beaches,europe/greece/skyros/magazia_beach,0.421,7.34,6.817,needs_external_source,,https://en.wikivoyage.org/wiki/Skyros
