world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/belgium/antwerp,Antwerp,Antwerp,47,64,see,Palace of Justice,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.20398,4.38743,Diamond District,europe/belgium/antwerp/diamond_district,0.424,2.629,2.088,needs_external_source,,https://en.wikivoyage.org/wiki/Antwerp
asia/philippines/bohol/tagbilaran,Tagbilaran,Tagbilaran,6,25,see,Carlos P. Garcia House,0.89,candidate,has coordinates; has description; high-value type; strong travel term,9.64136,123.85795,Loon Church,asia/philippines/bohol/tagbilaran/loon_church,0.375,17.727,0.248,needs_external_source,,https://en.wikivoyage.org/wiki/Tagbilaran
asia/indonesia/java/karimunjawa,Karimunjawa,Karimunjawa,12,26,do,Cilik Island,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-5.820063,110.508313,Diving and Snorkelling,asia/indonesia/java/karimunjawa/diving_and_snorkelling,0.353,17.549,10.65,needs_external_source,,https://en.wikivoyage.org/wiki/Karimunjawa
asia/india/uttarpradesh/rishikesh,Rishikesh,Rishikesh,7,26,see,Bharat Mandir,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.10612,78.30205,Beatles Ashram (Maharishi Mahesh Yogi Ashram),asia/india/uttarpradesh/rishikesh/beatles_ashram,0.444,1.108,1.042,needs_external_source,,https://en.wikivoyage.org/wiki/Rishikesh
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Hideyo Noguchi Memorial Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.357306,139.6365,Motomachi and Yamate: Cafes and Bars,asia/japan/honshu/yokohama/motomachi_cafes,0.317,,10.342,needs_external_source,,https://en.wikivoyage.org/wiki/Yokohama
asia/india/alibaug,Alibag,Alibag,0,6,see,Kihim Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.7286,72.8676,,,0.0,,9.708,needs_external_source,,https://en.wikivoyage.org/wiki/Alibag
europe/greece/samos,Samos,Samos,17,56,do,Tsabou,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.802335,26.854604,Tsamadou Beach,europe/greece/samos/tsamadou_beach,0.5,2.891,11.946,needs_external_source,,https://en.wikivoyage.org/wiki/Samos
northamerica/mexico/uruapan,Uruapan,Uruapan,4,8,do,Tzarárcua Falls,0.89,candidate,has coordinates; has description; high-value type; strong travel term,19.35255,-102.072649,Mercado de Antojitos,northamerica/mexico/uruapan/mercado_de_antojitos,0.375,7.351,7.233,needs_external_source,,https://en.wikivoyage.org/wiki/Uruapan
asia/vietnam/vungtau,Vung Tau,Vung Tau,11,45,see,Đài Liệt Sĩ,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.3489051,107.0927071,Vung Tau Lighthouse,asia/vietnam/vungtau/lighthouse,0.37,2.325,1.995,needs_external_source,,https://en.wikivoyage.org/wiki/Vung_Tau
northamerica/unitedstates/ohio/oxford,Oxford,Oxford (Ohio),6,70,do,Oxford Memorial Park Pavilion,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.51074,-84.74205,Miami University Natural Areas,northamerica/unitedstates/ohio/oxford/oxford_natural_areas,0.513,0.487,0.487,needs_external_source,,https://en.wikivoyage.org/wiki/Oxford_%28Ohio%29
asia/china/yunnanprovince/dali,Dali,Dali,11,46,see,Puxian Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.7016,100.16558,Renmin Lu,asia/china/yunnanprovince/dali/renmin_lu,0.364,1.224,1.224,needs_external_source,,https://en.wikivoyage.org/wiki/Dali
