world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
africa/sierraleone/freetown,Freetown,Freetown,35,49,see,Goderich Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,8.4385,-13.281,Lumley Beach,africa/sierraleone/freetown/lumley_beach,0.538,3.074,4.725,needs_external_source,,https://en.wikivoyage.org/wiki/Freetown
asia/turkey/edirne,Edirne,Edirne,15,40,see,Church of Sts. Constantine and Helen,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.663431,26.564119,Beyazit II Complex and Health Museum,asia/turkey/edirne/beyazit_ii_complex,0.394,2.555,1.461,needs_external_source,,https://en.wikivoyage.org/wiki/Edirne
southamerica/argentina/laplata,La Plata,La Plata,5,17,see,Curutchet House,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-34.911342,-57.941825,Paseo del Bosque,southamerica/argentina/laplata/paseo_del_bosque,0.514,0.486,1.504,needs_external_source,,https://en.wikivoyage.org/wiki/La_Plata
northamerica/unitedstates/newmexico/farmington,Farmington,Farmington (New Mexico),7,16,see,Salmon Ruins,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.701194,-108.02725,Farmington Museum,northamerica/unitedstates/newmexico/farmington/farmington_museum,0.483,17.065,17.325,needs_external_source,,https://en.wikivoyage.org/wiki/Farmington_%28New_Mexico%29
asia/southkorea/ulsan,Ulsan,Ulsan,29,31,see,Naewonam Valley of Mt Daeun,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.393213,129.243289,Seonam Lake Park,asia/southkorea/ulsan/seonam_lake_park,0.419,15.673,17.282,needs_external_source,,https://en.wikivoyage.org/wiki/Ulsan
europe/greece/kavala,Kavala,Kavala,14,95,see,Lydia,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.02088,24.27681,Imaret,europe/greece/kavala/imaret,0.364,15.213,14.716,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,do,Alice Keck Park Memorial Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.4293,-119.7061,Santa Barbara Botanic Garden,northamerica/unitedstates/california/santa_barbara/botanic_garden,0.407,3.057,0.859,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Barbara
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,see,YMCA Building,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.7441,-92.27646,Old State House Museum,northamerica/unitedstates/arkansas/littlerock/old_state_house_museum,0.536,0.464,1.232,needs_external_source,,https://en.wikivoyage.org/wiki/Little_Rock
asia/china/shandong_province/qingdao,Qingdao,Qingdao,12,108,see,Baihuayuan Gardens,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.0658,120.34005,Lu Xun Park,asia/china/shandong_province/qingdao/luxunpark,0.414,0.987,3.391,needs_external_source,,https://en.wikivoyage.org/wiki/Qingdao
europe/austria/hallein,Hallein,Hallein,7,5,see,Gartenau Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.722214,13.046398,Barmsteine,europe/austria/hallein/barmsteine,0.48,4.39,5.781,needs_external_source,,https://en.wikivoyage.org/wiki/Hallein
europe/france/east/lorraine/nancy,Nancy,Nancy,15,78,see,Château de Montaigu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.6634,6.2158,Opéra national de Lorraine,europe/france/east/lorraine/nancy/opera_national_de_lorraine,0.359,4.109,4.126,needs_external_source,,https://en.wikivoyage.org/wiki/Nancy
