world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,see,Lake Fendrod,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.6547,-3.9153,Uplands,europe/unitedkingdom/wales/swansea/uplands,0.421,4.711,4.439,needs_external_source,,https://en.wikivoyage.org/wiki/Swansea
europe/norway/flm,Flåm,Flåm,5,23,see,Gudvangen,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.8777,6.8379,Fjord Kayaking,europe/norway/flm/fjord_kayaking,0.348,15.111,14.991,needs_external_source,,https://en.wikivoyage.org/wiki/Fl%C3%A5m
africa/nigeria/abuja,Abuja,Abuja,10,57,do,Usuma Lower Dam,0.89,candidate,has coordinates; has description; high-value type; strong travel term,9.1985,7.4104,Millennium Tower,africa/nigeria/abuja/millennium_tower,0.452,18.265,17.251,needs_external_source,,https://en.wikivoyage.org/wiki/Abuja
asia/indonesia/java/purwokerto,Purwokerto,Purwokerto,10,65,see,Andhang Pangrenan Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-7.44007904698539,109.24462095763526,Alun-Alun Purwokerto,asia/indonesia/java/purwokerto/alun_alun_purwokerto,0.429,2.157,3.401,needs_external_source,,https://en.wikivoyage.org/wiki/Purwokerto
europe/belgium/arlon,Arlon,Arlon,0,21,see,Archeological Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.68419,5.810746,,,0.0,,0.441,needs_external_source,,https://en.wikivoyage.org/wiki/Arlon
europe/spain/basque_country_euskadi/bilbao,Bilbao,Bilbao,10,75,see,Museo Taurino (Bullfighting Museum),0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.2556,-2.9369,Museo de Bellas Artes,europe/spain/basque_country_euskadi/bilbao/museo_de_bellas_artes,0.516,1.315,0.837,needs_external_source,,https://en.wikivoyage.org/wiki/Bilbao
europe/armenia/garni,Garni,Garni,4,14,see,Khumarzham Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.118365,44.732205,Mashtots Hayrapet Church,europe/armenia/garni/mashtots_hayrapet_church,0.537,0.475,0.944,needs_external_source,,https://en.wikivoyage.org/wiki/Garni
asia/indonesia/sumatra/medan,Medan,Medan,4,86,see,Medan Zoo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,3.482938,98.642313,Maimun Palace,asia/indonesia/sumatra/medan/maimun_palace,0.364,11.26,12.356,needs_external_source,,https://en.wikivoyage.org/wiki/Medan
asia/china/jilin/baicheng,Baicheng,Baicheng,4,21,see,Forest Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.601652,122.85996,Momoge National Nature Reserve,asia/china/jilin/baicheng/momoge_nature_reserve,0.244,35.63,2.621,needs_external_source,,https://en.wikivoyage.org/wiki/Baicheng
europe/greece/samos,Samos,Samos,17,56,do,Mycale,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.7057723,27.0046692,Manolates,europe/greece/samos/manolates,0.533,17.36,6.092,needs_external_source,,https://en.wikivoyage.org/wiki/Samos
europe/greece/samos,Samos,Samos,17,56,do,Kerveli,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.7291188,27.035873,Karlovasi,europe/greece/samos/karlovasi,0.5,30.136,5.96,needs_external_source,,https://en.wikivoyage.org/wiki/Samos
africa/zimbabwe/easternhighlands/mutare,Mutare,Mutare,7,13,see,Mutare Main Park Aloe Gardens,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-18.981618,32.669125,Vumba Mountains and Bvumba Botanical Gardens,africa/zimbabwe/easternhighlands/mutare/bvumba_mountains,0.493,13.923,0.787,needs_external_source,,https://en.wikivoyage.org/wiki/Mutare
europe/hungary/sopron,Sopron,Sopron,9,234,see,Holy Spirit Parish Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.68761,16.59391,Goat Church (Kecske-templom),europe/hungary/sopron/goat_church,0.5,0.728,0.877,needs_external_source,,https://en.wikivoyage.org/wiki/Sopron
asia/japan/honshu/okayama,Okayama,Okayama,9,83,see,Koikui Shrine,0.89,candidate,has coordinates; has description; high-value type; strong travel term,34.667376,133.819968,Korakuen,asia/japan/honshu/okayama/korakuen,0.476,10.52,9.056,needs_external_source,,https://en.wikivoyage.org/wiki/Okayama
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,do,National Park de Hoge Veluwe,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.0833,5.79855,Sonsbeek Park,europe/netherlands/arnhem/sonsbeek_park,0.368,12.463,12.891,needs_external_source,,https://en.wikivoyage.org/wiki/Arnhem
asia/china/hunan/yueyang,Yueyang,Yueyang,4,21,see,Qu Yuan Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,29.3456,113.0789,Yueyang Tower,asia/china/hunan/yueyang/yueyang_tower,0.519,4.442,5.469,needs_external_source,,https://en.wikivoyage.org/wiki/Yueyang
africa/nigeria/kano,Kano,Kano,11,46,do,Roxy Amusement Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,12.00994,8.63495,Kurmi Market,africa/nigeria/kano/kurmi_market,0.387,12.697,12.415,needs_external_source,,https://en.wikivoyage.org/wiki/Kano
asia/japan/honshu/kaga,Kaga,Kaga,8,27,see,Kitamaebune Ship Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.350847,136.310521,Yamashiro Onsen,asia/japan/honshu/kaga/yamashiro_onsen,0.474,8.07,5.363,needs_external_source,,https://en.wikivoyage.org/wiki/Kaga
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,do,Children and teenagers Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.99243,37.80427,Donetsk Culture and Leisure Park,europe/ukraine/donetsk/culture_and_leisure_park,0.426,2.135,2.612,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
europe/netherlands/thehague,The Hague,The Hague,16,165,do,Haagse Bos,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.091108,4.335286,Eetcafe De Posthoorn,europe/netherlands/thehague/eetcafe_de_posthoorn,0.37,2.257,4.83,needs_external_source,,https://en.wikivoyage.org/wiki/The_Hague
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,see,Anshun Bridge,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.6441,104.0834,Tianfu Square,asia/china/sichuanprovince/chengdu/tianfu_square,0.462,2.234,8.086,needs_external_source,,https://en.wikivoyage.org/wiki/Chengdu
europe/greece/kavala,Kavala,Kavala,14,95,do,Eratino,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.9374,24.5649,Tavernas in Panagia,europe/greece/kavala/taverna_panagia,0.385,12.368,12.819,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
asia/indonesia/maluku/ternate,Ternate,Ternate,5,27,do,Kastela Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,0.76033,127.3114,Fort Kalamata,asia/indonesia/maluku/ternate/fort_kalamata,0.385,6.864,8.452,needs_external_source,,https://en.wikivoyage.org/wiki/Ternate
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,Salmijärvi beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,66.4795,25.7545,Santa Claus Village,europe/finland/rovaniemi/santa_claus_village,0.343,8.205,2.778,needs_external_source,,https://en.wikivoyage.org/wiki/Rovaniemi
northamerica/unitedstates/newmexico/taos,Taos,Taos,11,35,see,Church of San Francisco de Asis,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.35801,-105.60827,Harwood Museum of Art,northamerica/unitedstates/newmexico/taos/harwood_museum,0.327,5.998,6.302,needs_external_source,,https://en.wikivoyage.org/wiki/Taos
asia/china/ningxia/yinchuan,Yinchuan,Yinchuan,8,29,see,Chengtian Temple Pagoda,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.463056,106.265278,Haibao Pagoda,asia/china/ningxia/yinchuan/haibao_pagoda,0.5,6.794,4.3,needs_external_source,,https://en.wikivoyage.org/wiki/Yinchuan
southamerica/brazil/recife,Recife,Recife,34,154,see,Pina Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-8.0943,-34.8817,Boa Viagem Beach,southamerica/brazil/recife/boa_viagem_beach,0.538,3.469,3.996,needs_external_source,,https://en.wikivoyage.org/wiki/Recife
asia/china/liaoning/dandong,Dandong,Dandong,5,13,see,Andong Old Street,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.105163,124.362892,Hushan Great Wall,asia/china/liaoning/dandong/hushan_great_wall,0.353,17.915,2.158,needs_external_source,,https://en.wikivoyage.org/wiki/Dandong
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,Nasir Moskén,0.89,candidate,has coordinates; has description; high-value type; strong travel term,57.6766,11.9141,Slottsskogen,europe/sweden/gothenburg/slottsskogen,0.417,1.881,4.636,needs_external_source,,https://en.wikivoyage.org/wiki/Gothenburg
asia/india/alibaug,Alibag,Alibag,0,6,see,Mandwa Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.803,72.882,,,0.0,,17.999,needs_external_source,,https://en.wikivoyage.org/wiki/Alibag
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,Sculpture in the Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.6629,-83.6238,Valentine Theatre,northamerica/unitedstates/ohio/toledo/valentine_theatre,0.412,7.528,7.229,needs_external_source,,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
europe/poland/zakopane,Zakopane,Zakopane,4,23,see,Villa Atma,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.2923,19.9484,Gubałówka,europe/poland/zakopane/gubalowka,0.333,2.384,0.534,needs_external_source,,https://en.wikivoyage.org/wiki/Zakopane
asia/china/hubei/enshi,Enshi,Enshi,4,42,see,Enshi Longlin Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.257403,109.425573,Enshi Yulu Tea,asia/china/hubei/enshi/enshi_yulu_tea,0.529,6.245,6.245,needs_external_source,,https://en.wikivoyage.org/wiki/Enshi
asia/india/andhrapradesh/visakhapatnam,Visakhapatnam,Visakhapatnam,11,44,see,Matsya Darshini,0.89,candidate,has coordinates; has description; high-value type; strong travel term,17.712809,83.319843,Ramakrishna Beach,asia/india/andhrapradesh/visakhapatnam/r_k_beach,0.375,1.957,3.634,needs_external_source,,https://en.wikivoyage.org/wiki/Visakhapatnam
europe/italy/emiliaromagna/bologna,Bologna,Bologna,61,123,see,Certosa,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.496567,11.308644,Certosa Monumental Cemetery,europe/italy/emiliaromagna/bologna/certosa_cemetery,0.412,1.386,2.713,needs_external_source,,https://en.wikivoyage.org/wiki/Bologna
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,see,Sri Pasupathinath Alayam Hindu Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,5.976111,116.115691,Mari Mari Cultural Village,asia/malaysia/kotakinabalu/mari_mari_cultural_village,0.381,7.822,4.737,needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu
