world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/kalimantan/banjamarsin,Banjamarsin,Banjarmasin,10,10,see,Jahri Saleh Zoo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-3.30801,114.60337,Sultan Suriansyah Mosque,asia/indonesia/kalimantan/banjamarsin/sultan_suriansyah_mosque,0.359,3.38,1.542,needs_external_source,,https://en.wikivoyage.org/wiki/Banjarmasin
europe/slovakia/kosice,Košice,Košice,7,153,see,Barca Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.67808,21.267,State Theatre Košice,europe/slovakia/kosice/state_theatre,0.333,4.902,4.826,needs_external_source,,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
europe/germany/bavaria/fussen,Füssen,Füssen,10,25,see,Linderhof Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.57208,10.96077,Lechfall,europe/germany/bavaria/fussen/lechfall,0.5,19.849,19.622,needs_external_source,,https://en.wikivoyage.org/wiki/F%C3%BCssen
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,Trinity cemetery,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.89867,19.68321,Cseresznyés Étterem,europe/hungary/kecskemet/cseresznyes_etterem,0.412,0.976,1.189,needs_external_source,,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
europe/hungary/szombathely,Szombathely,Szombathely,8,42,see,Bucsu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.264,16.494,Csónakázótó,europe/hungary/szombathely/csonakazoto,0.267,7.321,10.185,needs_external_source,,https://en.wikivoyage.org/wiki/Szombathely
europe/hungary/szombathely,Szombathely,Szombathely,8,42,see,Csempeszkopács,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.154,16.806,Iseum Savariense,europe/hungary/szombathely/iseum,0.333,16.415,16.43,needs_external_source,,https://en.wikivoyage.org/wiki/Szombathely
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,see,Double Six Monument,0.89,candidate,has coordinates; has description; high-value type; strong travel term,5.962233,116.061776,North Borneo War Monument,asia/malaysia/kotakinabalu/north_borneo_war_monument,0.5,2.594,2.142,needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu
asia/malaysia/kluang,Kluang,Kluang,5,28,see,Taman Delima Recreational Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,2.008632,103.313577,Kluang Railway Station,asia/malaysia/kluang/kluang_railway_station,0.346,2.81,2.702,needs_external_source,,https://en.wikivoyage.org/wiki/Kluang
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,see,Museum of the Air Force of the Armed Forces of Ukraine,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.251,28.5007,Roshen Fountain,europe/ukraine/vinnista/roshen_fountain,0.262,3.087,3.087,needs_external_source,,https://en.wikivoyage.org/wiki/Vinnytsia
europe/germany/saxonyanhalt/wernigerode,Wernigerode,Wernigerode,9,54,see,Mönchsbuche,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.8179,10.708,Museum für Luftfahrt und Technik,europe/germany/saxonyanhalt/wernigerode/museum_luftfahrt,0.233,5.065,5.683,needs_external_source,,https://en.wikivoyage.org/wiki/Wernigerode
africa/nigeria/abuja,Abuja,Abuja,10,57,do,Panorama Recreational Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,9.05964,7.47406,Nigerian National Mosque,africa/nigeria/abuja/nigerian_national_mosque,0.44,1.172,1.753,needs_external_source,,https://en.wikivoyage.org/wiki/Abuja
northamerica/canada/britishcolumbia/nelson,Nelson,Nelson (British Columbia),13,43,do,Pulpit Rock Trail,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.50049,-117.30154,Cottonwood Falls,northamerica/canada/britishcolumbia/nelson/cottonwood_falls,0.442,0.558,1.04,needs_external_source,,https://en.wikivoyage.org/wiki/Nelson_%28British_Columbia%29
