world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/spain/aragon/zaragoza,Zaragoza,Zaragoza,12,57,see,Puerta del Carmen,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.64987,-0.88758,Museo Camón Aznar,europe/spain/aragon/zaragoza/camnaznar,0.467,0.932,0.606,needs_external_source,,https://en.wikivoyage.org/wiki/Zaragoza
asia/china/shandong_province/qingdao,Qingdao,Qingdao,12,108,do,Golden Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.95404,120.23535,No. 1 Bathing Beach,asia/china/shandong_province/qingdao/no1_bathing_beach,0.467,14.957,17.888,needs_external_source,,https://en.wikivoyage.org/wiki/Qingdao
europe/andorra/andorralavella,Andorra la Vella,Andorra la Vella,4,44,see,Church of Sant Andreu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.5103,1.5307,Restaurant Can Pere,europe/andorra/food/restaurant_canper,0.5,,0.854,needs_external_source,,https://en.wikivoyage.org/wiki/Andorra_la_Vella
europe/netherlands/heerlen,Heerlen,Heerlen,4,69,see,Park Meezenbroek,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.899599,5.984861,Thermenmuseum,europe/netherlands/heerlen/thermenmuseum,0.345,1.347,2.466,needs_external_source,,https://en.wikivoyage.org/wiki/Heerlen
europe/netherlands/groningen,Groningen,Groningen,27,133,see,Jewish Memorial,0.89,candidate,has coordinates; has description; high-value type; strong travel term,53.20312,6.5759,News Cafe,europe/netherlands/groningen/news_cafe,0.417,1.785,1.849,needs_external_source,,https://en.wikivoyage.org/wiki/Groningen
asia/japan/honshu/kamakura,Kamakura,Kamakura,27,27,do,Shichirigahama,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.304067,139.514201,Yuigahama Beach,asia/japan/honshu/kamakura/yuigahama,0.483,2.89,3.7,needs_external_source,,https://en.wikivoyage.org/wiki/Kamakura
northamerica/unitedstates/florida/pensacola_beach,Pensacola Beach,Pensacola Beach,2,30,do,Casino Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.33134,-87.14065,Pensacola Beach Boardwalk,northamerica/unitedstates/florida/pensacola_beach/pensacola_beach_boardwalk,0.432,0.62,0.623,needs_external_source,,https://en.wikivoyage.org/wiki/Pensacola_Beach
europe/macedonia/bitola,Bitola,Bitola,6,65,see,Church of the Assumption of the Virgin Mary,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.931666,21.357999,Clock Tower (Saat Kula),europe/macedonia/bitola/clock_tower,0.261,11.207,11.354,needs_external_source,,https://en.wikivoyage.org/wiki/Bitola
europe/greece/skyros,Skyros,Skyros,8,39,do,Agios Fokas Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.8729,24.4784,Magazia and Molos Beaches,europe/greece/skyros/magazia_beach,0.476,7.71,3.989,needs_external_source,,https://en.wikivoyage.org/wiki/Skyros
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Church of Saint Nicholas,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.416242,21.069897,Kičevo Monastery,europe/macedonia/kicevo/kicevo_monastery,0.25,10.725,13.868,needs_external_source,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
asia/india/dadraandnagarhaveli/silvassa,Silvassa,Silvassa,3,12,see,Hirva Van Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.28933,72.99543,Van Ganga Lake and Island Garden,asia/india/dadraandnagarhaveli/silvassa/van_ganga_lake,0.417,2.506,2.649,needs_external_source,,https://en.wikivoyage.org/wiki/Silvassa
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,see,Kirkkolampi Arboretum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,66.493,25.7276,Ounasjoki River,europe/finland/rovaniemi/ounasjoki_river,0.346,0.654,1.07,needs_external_source,,https://en.wikivoyage.org/wiki/Rovaniemi
