world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Hamam of Haxhi Beu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.65858,20.296876,Jashar Pasha's House,europe/serbia/kosovoprovince/peja/jashar_pasha_house,0.509,0.491,0.712,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
asia/india/kerala/thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,9,139,see,Kowdiar Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,8.523979,76.963434,Kanakakkunnu Palace,asia/india/kerala/thiruvananthapuram/kanakakkunnu_palace,0.545,1.562,2.694,needs_external_source,,https://en.wikivoyage.org/wiki/Thiruvananthapuram
northamerica/mexico/ajijic,Ajijic,Ajijic,9,14,see,Ajijic Museo de Arte,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.300264,-103.272367,Ajijic Cemetery Murals,northamerica/mexico/ajijic/ajijic_cemetery_murals,0.513,1.325,1.092,needs_external_source,,https://en.wikivoyage.org/wiki/Ajijic
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,Great Bao'en Temple Ruins Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.011227,118.777817,Taicheng Ruins,asia/china/jiangsu_province/nanjing/taicheng_ruins,0.455,5.445,3.626,needs_external_source,,https://en.wikivoyage.org/wiki/Nanjing
asia/philippines/baler,Baler,Baler,4,46,do,Barangay Zabali Peak,0.89,candidate,has coordinates; has description; high-value type; strong travel term,15.7479,121.5896,Sabang Beach,asia/philippines/baler/sabang_beach,0.375,3.186,3.134,needs_external_source,,https://en.wikivoyage.org/wiki/Baler
asia/china/fujianprovince/quanzhou,Quanzhou,Quanzhou,13,35,see,Tian Hou Gong,0.89,candidate,has coordinates; has description; high-value type; strong travel term,24.898448,118.584367,Quanzhou Beef Soup,asia/china/fujianprovince/quanzhou/quanzhou_beef_soup,0.452,0.924,1.212,needs_external_source,,https://en.wikivoyage.org/wiki/Quanzhou
europe/georgia/zugdidi,Zugdidi,Zugdidi,2,10,see,Rukhi fortress,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.56498,41.85401,Zugdidi Botanical Garden,europe/georgia/zugdidi/botanical_garden,0.368,6.276,6.586,needs_external_source,,https://en.wikivoyage.org/wiki/Zugdidi
asia/oman/muscat,Muscat,Muscat,24,152,see,Riyam Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.623058,58.578327,Qurum Natural Park,asia/oman/muscat/qurum_natural_park,0.5,5.126,1.976,needs_external_source,,https://en.wikivoyage.org/wiki/Muscat
asia/china/jiangxi/jiujiang,Jiujiang,Jiujiang,5,15,do,Nanshan Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,29.663378,115.98891,Poyang Lake Shore,asia/china/jiangxi/jiujiang/poyang_lake_shore,0.345,6.185,8.31,needs_external_source,,https://en.wikivoyage.org/wiki/Jiujiang
europe/finland/vantaa,Vantaa,Vantaa,4,103,do,Sotunki,0.89,candidate,has coordinates; has description; high-value type; strong travel term,60.28702,25.13685,Tikkurila,europe/finland/vantaa/tikkurila,0.25,5.167,5.178,needs_external_source,,https://en.wikivoyage.org/wiki/Vantaa
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/stonehenge,Stonehenge,Stonehenge,0,8,see,Normanton Down,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.17013,-1.82798,,,0.0,,0.975,needs_external_source,,https://en.wikivoyage.org/wiki/Stonehenge
northamerica/unitedstates/hawaii/lanai,Lanai,Lanai,9,15,see,Pu'u Pehe (Sweetheart Rock),0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.733889,-156.89,Pele's Other Garden,northamerica/unitedstates/hawaii/lanai/peles_other_garden,0.286,10.93,10.837,needs_external_source,,https://en.wikivoyage.org/wiki/Lanai
europe/spain/catalonia/roses,Roses,Roses,12,17,do,Beach of Canyelles,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.24701,3.19685,Ciutadella de Roses,europe/spain/catalonia/roses/ciutadella_de_roses,0.412,3.126,2.514,needs_external_source,,https://en.wikivoyage.org/wiki/Roses
northamerica/mexico/colima,Colima,Colima,6,22,see,Parque la Piedra Lisa,0.89,candidate,has coordinates; has description; high-value type; strong travel term,19.241108650594395,-103.71547509926118,Museo Regional de Historia,northamerica/mexico/colima/museo_regional_de_historia,0.439,0.937,0.999,needs_external_source,,https://en.wikivoyage.org/wiki/Colima
europe/macedonia/tetovo,Tetovo,Tetovo,4,37,see,Church of Saints Cyril and Methodius,0.89,candidate,has coordinates; has description; high-value type; strong travel term,42.01354,20.96699,Sharena Mosque (Painted Mosque),europe/macedonia/tetovo/sharena_mosque,0.32,0.857,0.89,needs_external_source,,https://en.wikivoyage.org/wiki/Tetovo
