world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/panama/panamacity,Panama City,Panama City,10,65,see,Panama History Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,8.95202,-79.53491,Amador Causeway,northamerica/panama/panamacity/amador_causeway,0.5,3.123,3.759,has_external_url,http://www.inac.gob.pa/museos/99-museo-de-historia,https://en.wikivoyage.org/wiki/Panama_City
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,see,Fairlawn-West United Church of Christ,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.1159,-81.5824,Goodyear World of Rubber,northamerica/unitedstates/ohio/akron/goodyear_world_of_rubber,0.328,10.984,6.482,has_external_url,https://www.fairlawnwest.org/,https://en.wikivoyage.org/wiki/Akron
europe/germany/northrhinewestphalia/oberhausen,Oberhausen,Oberhausen,4,15,do,Metronom musical theatre,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,51.491231,6.885572,Gasometer Oberhausen,europe/germany/northrhinewestphalia/oberhausen/gasometer_oberhausen,0.364,1.088,3.371,has_external_url,http://musicaloberhausen.com/,https://en.wikivoyage.org/wiki/Oberhausen
europe/unitedkingdom/england/south_east/guildford,Guildford,Guildford,17,84,see,Hatchlands Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,51.256401,-0.47067,Abbot's Hospital,europe/unitedkingdom/england/south_east/guildford/abbots_hospital,0.387,7.329,7.502,has_external_url,https://www.nationaltrust.org.uk/hatchlands-park/,https://en.wikivoyage.org/wiki/Guildford
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,Hindu Temple of Toledo,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,41.69355,-83.72171,Rudy's Hot Dog,northamerica/unitedstates/ohio/toledo/rudys_hot_dog,0.389,10.169,15.928,has_external_url,https://www.hindutempleoftoledo.org/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
asia/philippines/baler,Baler,Baler,4,46,see,Vincent Gonzales Art Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,15.7455,121.5281,Museo de Baler,asia/philippines/baler/museo_de_baler,0.211,3.941,4.002,has_external_url,https://www.facebook.com/vincentgonzalesartmuseum/,https://en.wikivoyage.org/wiki/Baler
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,see,Treasure Island Marina,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,44.264,-76.378,Thousand Islands,northamerica/canada/ontario/kingston/thousand_islands,0.474,24.099,9.344,has_external_url,http://www.treasureislandmarina.com,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29
northamerica/unitedstates/california/deserts/joshuatree,Joshua Tree,Joshua Tree,0,7,see,World Famous Crochet Museum,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,34.13435,-116.31397,,,0.0,,0.142,has_external_url,http://www.sharielf.com/museum.html,https://en.wikivoyage.org/wiki/Joshua_Tree
northamerica/unitedstates/montana/kalispell,Kalispell,Kalispell,5,23,do,Woodland Water Park,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,48.2024,-114.2996,Flathead Lake,northamerica/unitedstates/montana/kalispell/flathead_lake,0.375,26.88,1.165,has_external_url,https://www.kalispell.com/248/Woodland-Water-Park,https://en.wikivoyage.org/wiki/Kalispell
northamerica/unitedstates/alabama/mobile,Mobile,Mobile,6,32,see,GulfQuest National Maritime Museum of the Gulf of Mexico,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,30.6884,-88.0375,Fort Condé Museum and Visitor Center,northamerica/unitedstates/alabama/mobile/fort_conde,0.368,0.828,0.683,has_external_url,http://www.gulfquest.org/,https://en.wikivoyage.org/wiki/Mobile
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,Bible Society of Debrecen Baptist Church,0.85,candidate,has coordinates; high-value type; has external URL; strong travel term,47.52944,21.6453,Reformed College of Debrecen,europe/hungary/debrecen/reformed_college,0.441,1.514,1.465,has_external_url,http://www.biblia-baptista.hu/hu/,https://en.wikivoyage.org/wiki/Debrecen
