world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
africa/nigeria/jos,Jos,Jos,14,39,see,Lamingo Dam,0.85,candidate,has coordinates; has description; high-value type,9.8951,8.9306,Tin Mining Heritage,africa/nigeria/jos/tin_mining_heritage,0.4,15.16,4.276,needs_external_source,,https://en.wikivoyage.org/wiki/Jos
asia/china/sichuanprovince/dujiangyan,Dujiangyan,Dujiangyan,4,36,do,Lingyan Ancient Town riverside walk,0.85,candidate,has coordinates; has description; high-value type,30.944,103.602,Qingcheng Mountain,asia/china/sichuanprovince/dujiangyan/qingcheng_mountain,0.377,5.495,5.957,needs_external_source,,https://en.wikivoyage.org/wiki/Dujiangyan
northamerica/dominicanrepublic/punta_cana,Punta Cana,Punta Cana,10,17,see,Pharma Cana,0.85,candidate,has coordinates; has description; high-value type,18.57014,-68.41713,Isla Saona,northamerica/dominicanrepublic/punta_cana/isla_saona,0.476,60.463,1.801,needs_external_source,,https://en.wikivoyage.org/wiki/Punta_Cana
australiaandpacific/australia/victoria/warrnambool,Warrnambool,Warrnambool,9,15,see,Hopkins Falls,0.85,candidate,has coordinates; has description; high-value type,-38.33298,142.6185,Logan's Beach Whale Nursery,australiaandpacific/australia/victoria/warrnambool/logans_beach,0.35,12.444,13.166,needs_external_source,,https://en.wikivoyage.org/wiki/Warrnambool
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Rundling,0.85,candidate,has coordinates; has description; high-value type,51.2962,12.3935,Zoo Leipzig,europe/germany/saxony/leipzig/zoo_leipzig,0.316,6.737,5.11,needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig
europe/spain/canaryislands/lanzarote/teguise,Teguise,Teguise,8,23,see,Fundación César Manrique,0.85,candidate,has coordinates; has description; high-value type,29.0019,-13.5471,Teguise Sunday Market,europe/spain/canaryislands/lanzarote/teguise/sunday_market,0.4,6.549,6.508,needs_external_source,,https://en.wikivoyage.org/wiki/Teguise
asia/malaysia/kuching,Kuching,Kuching,15,75,do,Santubong rainforest,0.85,candidate,has coordinates; has description; high-value type,1.7434,110.3177,Padungan,asia/malaysia/kuching/padungan,0.429,20.769,20.645,needs_external_source,,https://en.wikivoyage.org/wiki/Kuching
australiaandpacific/australia/westernaustralia/esperance,Esperance,Esperance,6,10,see,Pink Lake,0.85,candidate,has coordinates; has description; high-value type,-33.844426,121.846935,Lake Hillier,australiaandpacific/australia/westernaustralia/esperance/lake_hillier,0.381,127.99,4.536,needs_external_source,,https://en.wikivoyage.org/wiki/Esperance
northamerica/unitedstates/montana/glaciernp,Glacier National Park,Glacier National Park (Montana),0,22,see,Iceberg Lake,0.85,candidate,has coordinates; has description; high-value type,48.813263,-113.747135,,,0.0,,6.643,needs_external_source,,https://en.wikivoyage.org/wiki/Glacier_National_Park_%28Montana%29
europe/denmark/billund,Billund,Billund,6,25,see,Ole Kirks Hus,0.85,candidate,has coordinates; has description; high-value type,55.73177,9.11393,Lego House,europe/denmark/billund/lego_house,0.522,0.518,0.863,needs_external_source,,https://en.wikivoyage.org/wiki/Billund
europe/italy/puglia/taranto,Taranto,Taranto,7,17,see,Athlete's tomb,0.85,candidate,has coordinates; has description; high-value type,40.471919,17.249536,Giardini Peripato,europe/italy/puglia/taranto/giardini_peripato,0.353,0.647,1.131,needs_external_source,,https://en.wikivoyage.org/wiki/Taranto
