world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/spain/aragon/zaragoza,Zaragoza,Zaragoza,12,57,do,Centro Deportivo Municipal Actur,0.85,candidate,has coordinates; has description; high-value type,41.673,-0.883,Aljafería Palace,europe/spain/aragon/zaragoza/aljaferia_palace,0.348,2.14,2.326,needs_external_source,,https://en.wikivoyage.org/wiki/Zaragoza
australiaandpacific/newzealand/timaru,Timaru,Timaru,7,31,see,Washdyke Lagoon,0.85,candidate,has coordinates; has description; high-value type,-44.3629,171.2505,Aigantighe Art Gallery,australiaandpacific/newzealand/timaru/aigantighe_art_gallery,0.324,3.192,3.35,needs_external_source,,https://en.wikivoyage.org/wiki/Timaru
europe/spain/spanishcostas/valencia,Valencia,Valencia,42,222,see,Pont de l'Exposició,0.85,candidate,has coordinates; has description; high-value type,39.47324,-0.36574,La Pepica,europe/spain/spanishcostas/valencia/la_pepica,0.476,3.409,0.988,needs_external_source,,https://en.wikivoyage.org/wiki/Valencia
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,Museo de Armas (Museo Militar),0.85,candidate,has coordinates; has description; high-value type,13.98856,-89.55662,Iglesia El Calvario,northamerica/elsalvador/santaana/iglesia_el_calvario,0.479,0.521,0.71,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,see,Torre de les Caletes,0.85,candidate,has coordinates; has description; high-value type,38.52494,-0.09636,Balcón del Mediterráneo,europe/spain/spanishcostas/benidorm/balcon_del_mediterraneo,0.312,3.39,3.339,needs_external_source,,https://en.wikivoyage.org/wiki/Benidorm
europe/ukraine/uzhgorod,Uzhhorod,Uzhhorod,5,33,see,Perechyn,0.85,candidate,has coordinates; has description; high-value type,48.736,22.488,Uzh River Embankment (Linden Alley),europe/ukraine/uzhgorod/uzh_embankment,0.286,18.774,19.492,needs_external_source,,https://en.wikivoyage.org/wiki/Uzhhorod
northamerica/mexico/puerto_morelos,Puerto Morelos,Puerto Morelos,0,23,see,Jardín Botanico Dr. Alfredo Barrera Marín,0.85,candidate,has coordinates; has description; high-value type,20.847141451833714,-86.90830886589718,,,0.0,,3.138,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Morelos
europe/germany/northrhinewestphalia/mnster,Münster,Münster,7,47,see,Botanical gardens,0.85,candidate,has coordinates; has description; high-value type,51.96369,7.60989,Historical City Hall (Rathaus),europe/germany/northrhinewestphalia/mnster/historical_city_hall,0.378,1.267,1.056,needs_external_source,,https://en.wikivoyage.org/wiki/M%C3%BCnster
africa/zimbabwe/harare,Harare,Harare,8,48,see,National Archives,0.85,candidate,has coordinates; has description; high-value type,-17.793978,31.063976,National Gallery of Zimbabwe,africa/zimbabwe/harare/nationalgallery,0.489,3.786,6.986,needs_external_source,,https://en.wikivoyage.org/wiki/Harare
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,David Bowie,0.85,candidate,has coordinates; has description; high-value type,53.379567,-1.47639,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.24,2.878,0.429,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
europe/hungary/sopron,Sopron,Sopron,9,234,see,Miners Cemetery,0.85,candidate,has coordinates; has description; high-value type,47.6556,16.50002,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.375,7.182,7.859,needs_external_source,,https://en.wikivoyage.org/wiki/Sopron
