world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/poland/gdynia,Gdynia,Gdynia,14,30,see,Cliff and wooden pier in Orłowo,0.85,candidate,has coordinates; has description; high-value type,54.47701,18.56359,Southern Pier (Molo Południowe),europe/poland/gdynia/southern_pier,0.364,4.678,4.642,needs_external_source,,https://en.wikivoyage.org/wiki/Gdynia
asia/indonesia/sumatra/medan,Medan,Medan,4,86,see,Tirtanadi Water Tower,0.85,candidate,has coordinates; has description; high-value type,3.58226,98.6851,Tjong A Fie Mansion,asia/indonesia/sumatra/medan/tjong_a_fie_mansion,0.357,0.643,1.447,needs_external_source,,https://en.wikivoyage.org/wiki/Medan
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,see,Saarenpudas bridge,0.85,candidate,has coordinates; has description; high-value type,66.52149,25.78149,Santa Claus Village,europe/finland/rovaniemi/santa_claus_village,0.486,3.798,3.092,needs_external_source,,https://en.wikivoyage.org/wiki/Rovaniemi
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Permas Jaya Sports Complex,0.85,candidate,has coordinates; has description; high-value type,1.505778,103.823722,De Bieres Pub and Cafe,asia/malaysia/johorbahru/debirespubc,0.356,8.214,8.41,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Sita Gufaa,0.85,candidate,has coordinates; has description; high-value type,20.007875,73.796006,Sula Vineyards,asia/india/maharashtra/nashik/sula_vineyards,0.333,7.903,0.71,needs_external_source,,https://en.wikivoyage.org/wiki/Nashik
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Kriegsbergturm,0.85,candidate,has coordinates; has description; high-value type,48.787828,9.173771,Mineral Bath Berg,europe/germany/badenwrttemberg/stuttgart/mineralbathberg,0.387,2.543,1.139,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
asia/indonesia/bali/nusapenida,Nusa Penida,Nusa Penida,5,31,see,Pura Batu Medahu and Pura Batu Kuning,0.85,candidate,has coordinates; has description; high-value type,-8.7299,115.6023,Angel's Billabong,asia/indonesia/bali/nusapenida/angels_billabong,0.296,19.06,10.169,needs_external_source,,https://en.wikivoyage.org/wiki/Nusa_Penida
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Qianjiang new city,0.85,candidate,has coordinates; has description; high-value type,30.2294,120.19046,Xiling Seal Engraving Society,asia/china/zhejiang/hangzhou/xiling_seal_art_society,0.468,5.918,2.597,needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
asia/indonesia/maluku/ternate,Ternate,Ternate,5,27,see,Masjid Raya Al Munawwar Ternate,0.85,candidate,has coordinates; has description; high-value type,0.78913,127.39065,Fort Oranje,asia/indonesia/maluku/ternate/fort_oranje,0.417,0.583,0.933,needs_external_source,,https://en.wikivoyage.org/wiki/Ternate
europe/belgium/dinant,Dinant,Dinant,1,18,do,Taverne-bowling du Plateau,0.85,candidate,has coordinates; has description; high-value type,50.261778,4.915431,La Merveilleuse,europe/belgium/dinant/la_merveilleuse,0.4,0.643,0.331,needs_external_source,,https://en.wikivoyage.org/wiki/Dinant
europe/germany/bavaria/erlangen,Erlangen,Erlangen,6,167,see,Tennenlohe sculpture axis,0.85,candidate,has coordinates; has description; high-value type,49.5513021,11.03042,Friedrich-Alexander University,europe/germany/bavaria/erlangen/university_of_erlangen_nuremberg,0.255,5.501,5.506,needs_external_source,,https://en.wikivoyage.org/wiki/Erlangen
asia/northkorea/pyongyang,Pyongyang,Pyongyang,6,67,do,Bowling,0.85,candidate,has coordinates; has description; high-value type,39.02562,125.76812,Moranbong Park,asia/northkorea/pyongyang/moranbong_park,0.381,2.457,2.684,needs_external_source,,https://en.wikivoyage.org/wiki/Pyongyang
europe/france/normandybrittany/rouen,Rouen,Rouen,25,51,see,Pont Gustave-Flaubert,0.85,candidate,has coordinates; has description; high-value type,49.443611,1.064167,Saint-Ouen Abbey,europe/france/normandybrittany/rouen/saint_ouen_abbey,0.486,2.572,2.183,needs_external_source,,https://en.wikivoyage.org/wiki/Rouen
northamerica/unitedstates/georgia/augusta,Augusta,Augusta (Georgia),9,53,see,Enterprise Mills,0.85,candidate,has coordinates; has description; high-value type,33.477523,-81.981938,Sconyers Bar-B-Que,northamerica/unitedstates/georgia/augusta/sconyers_bar_b_que,0.294,3.931,0.982,needs_external_source,,https://en.wikivoyage.org/wiki/Augusta_%28Georgia%29
europe/germany/saxonyanhalt/dessau,Dessau,Dessau,8,35,see,Palais Minckwitz,0.85,candidate,has coordinates; has description; high-value type,51.8372,12.2422,Bauhaus Building,europe/germany/saxonyanhalt/dessau/bauhaus_building,0.375,1.319,0.67,needs_external_source,,https://en.wikivoyage.org/wiki/Dessau
europe/germany/thuringia/naumburg,Naumburg,Naumburg,5,14,see,Großjenaer Blütengrund,0.85,candidate,has coordinates; has description; high-value type,51.17739,11.79614,Stadtkirche St Wenzel,europe/germany/thuringia/naumburg/stadtkirche_st_wenzel,0.279,2.759,2.923,needs_external_source,,https://en.wikivoyage.org/wiki/Naumburg
asia/china/shandong_province/dezhou,Dezhou,Dezhou,3,33,do,Jiurushan Scenic Area,0.85,candidate,has coordinates; has description; high-value type,37.311441,116.461511,Haidao Jinshan Temple,asia/china/shandong_province/dezhou/haidao_jinshan_temple,0.429,58.115,20.495,needs_external_source,,https://en.wikivoyage.org/wiki/Dezhou
southamerica/chile/puntaarenas,Punta Arenas,Punta Arenas,28,58,see,Parque María Behety,0.85,candidate,has coordinates; has description; high-value type,-53.179884,-70.925693,The Voyage of the Beagle,southamerica/chile/puntaarenas/voyage_of_the_beagle,0.424,,2.264,needs_external_source,,https://en.wikivoyage.org/wiki/Punta_Arenas
asia/iraq/baghdad,Baghdad,Baghdad,7,78,see,Swords of Qādisīyah,0.85,candidate,has coordinates; has description; high-value type,33.305556,44.383056,Iraq Museum,asia/iraq/baghdad/iraq_museum,0.267,2.575,0.393,needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad
asia/india/kolkata,Kolkata,Kolkata,2,57,see,Tourism Centre,0.85,candidate,has coordinates; has description; high-value type,22.57045,88.35014,Shopping,asia/india/kolkata/shopping,0.182,,1.433,needs_external_source,,https://en.wikivoyage.org/wiki/Kolkata
asia/india/gujarat/modhera,Modhera,Modhera,4,14,see,Khokhla Wetland,0.85,candidate,has coordinates; has description; high-value type,23.599993,72.096591,Modhera Vav (Stepwell),asia/india/gujarat/modhera/modhera_vav,0.385,4.548,4.909,needs_external_source,,https://en.wikivoyage.org/wiki/Modhera
asia/china/henan_province/nanyang,Nanyang,Nanyang,4,8,do,Nanyang Zhuge Liang Cultural Tourism Festival,0.85,candidate,has coordinates; has description; high-value type,32.978905,112.512229,Nanyang Memorial Temple of Marquis Wu,asia/china/henan_province/nanyang/marquis_wu_temple,0.463,2.133,2.711,needs_external_source,,https://en.wikivoyage.org/wiki/Nanyang
northamerica/unitedstates/nevada/reno,Reno,Reno,15,64,see,S Wells Ave,0.85,candidate,has coordinates; has description; high-value type,39.51833,-119.8032,Reno Arch,northamerica/unitedstates/nevada/reno/reno_arch,0.3,1.411,1.192,needs_external_source,,https://en.wikivoyage.org/wiki/Reno
northamerica/unitedstates/montana/bozeman,Bozeman,Bozeman,7,37,see,The Bozeman Roundup Ranch Rodeo,0.85,candidate,has coordinates; has description; high-value type,45.69182,-111.03871,Montana Ale Works,northamerica/unitedstates/montana/bozeman/montana_ale_works,0.318,1.409,1.439,needs_external_source,,https://en.wikivoyage.org/wiki/Bozeman
europe/switzerland/stmoritz,St. Moritz,St. Moritz,13,26,see,Heidi hut,0.85,candidate,has coordinates; has description; high-value type,46.49911,9.8295,Engadin Museum,europe/switzerland/stmoritz/engadin_museum,0.435,0.906,0.755,needs_external_source,,https://en.wikivoyage.org/wiki/St._Moritz
europe/russia/ekaterinoburg,Yekaterinburg,Yekaterinburg,26,72,see,Vtorchermet,0.85,candidate,has coordinates; has description; high-value type,56.7674,60.615,Vovremya,europe/russia/ekaterinoburg/vovremya,0.526,8.038,7.924,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Wolkenburg,0.85,candidate,has coordinates; has description; high-value type,50.93287,6.94516,Kolumba Art Museum,europe/germany/northrhinewestphalia/cologne/kolumba,0.347,0.653,1.204,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
europe/italy/puglia/lecce,Lecce,Lecce,7,27,see,Obelisk,0.85,candidate,has coordinates; has description; high-value type,40.356877,18.167399,Church of Sant'Irene,europe/italy/puglia/lecce/curchofstirene,0.463,0.537,23.298,needs_external_source,,https://en.wikivoyage.org/wiki/Lecce
northamerica/canada/britishcolumbia/lillooet,Lillooet,Lillooet,5,25,see,The West Side Road,0.85,candidate,has coordinates; has description; high-value type,50.671,-121.9296,Bridge River Rapids,northamerica/canada/britishcolumbia/lillooet/bridge_river_rapids,0.424,8.788,2.567,needs_external_source,,https://en.wikivoyage.org/wiki/Lillooet
northamerica/unitedstates/arizona/grandcanyon,Grand Canyon,Grand Canyon,6,52,see,Hermit's Rest,0.85,candidate,has coordinates; has description; high-value type,36.062306,-112.211211,Mather Point,northamerica/unitedstates/arizona/grandcanyon/mather_point,0.4,9.342,11.067,needs_external_source,,https://en.wikivoyage.org/wiki/Grand_Canyon
asia/japan/shikoku/matsuyama,Matsuyama,Matsuyama,12,59,see,Russian Soldiers' Cemetery,0.85,candidate,has coordinates; has description; high-value type,33.856573,132.76659,Ninomaru Shiseki Teien,asia/japan/shikoku/matsuyama/ninomaru_shiseki_teien,0.383,1.355,1.902,needs_external_source,,https://en.wikivoyage.org/wiki/Matsuyama
asia/india/maharashtra/thane,Thane,Thane,4,32,see,Kalwa Naka,0.85,candidate,has coordinates; has description; high-value type,19.196053,72.987243,Kalamb Beach,asia/india/maharashtra/thane/kalamb_beach,0.545,35.127,2.654,needs_external_source,,https://en.wikivoyage.org/wiki/Thane
europe/albania/lushnje,Lushnjë,Lushnja,3,6,see,Ardenica Monastery -,0.85,candidate,has coordinates; has description; high-value type,40.818657,19.592743,Karbunarë,europe/albania/lushnje/karbunare,0.385,15.083,16.714,needs_external_source,,https://en.wikivoyage.org/wiki/Lushnja
asia/thailand/huahin,Hua Hin,Hua Hin,41,98,see,PS Post,0.85,candidate,has coordinates; has description; high-value type,12.557706,99.959952,Sala Monsoon,asia/thailand/huahin/sala_monsoon,0.421,,1.389,needs_external_source,,https://en.wikivoyage.org/wiki/Hua_Hin
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Rutland Arms,0.85,candidate,has coordinates; has description; high-value type,53.37656,-1.467412,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.32,1.486,0.496,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
europe/belgium/nieuwpoort,Nieuwpoort,Nieuwpoort,6,27,do,Walk in the dunes,0.85,candidate,has coordinates; has description; high-value type,51.1411,2.7119,Searching for Utopia,europe/belgium/nieuwpoort/searching_for_utopia,0.303,2.13,3.063,needs_external_source,,https://en.wikivoyage.org/wiki/Nieuwpoort
asia/northkorea/wonsan,Wonsan,Wonsan,4,9,do,Masik Ski Resort,0.85,candidate,has coordinates; has description; high-value type,39.0614,127.2508,Lake Sijung,asia/northkorea/wonsan/lake_sijung,0.37,33.33,19.481,needs_external_source,,https://en.wikivoyage.org/wiki/Wonsan
europe/russia/yakutsk,Yakutsk,Yakutsk,13,53,do,Theater of Humor and Satire,0.85,candidate,has coordinates; has description; high-value type,62.0323,129.7201,Treasury of the Sakha Republic,europe/russia/yakutsk/treasury_of_sakha,0.51,0.49,0.826,needs_external_source,,https://en.wikivoyage.org/wiki/Yakutsk
europe/romania/pitesti,Pitești,Pitești,8,36,see,Northern station,0.85,candidate,has coordinates; has description; high-value type,44.869696,24.860986,Pitești Prison (Historic Site),europe/romania/pitesti/pitesti_prison,0.467,0.581,1.635,needs_external_source,,https://en.wikivoyage.org/wiki/Pite%C8%99ti
africa/nigeria/kano,Kano,Kano,11,46,see,Kano State Tourist Board,0.85,candidate,has coordinates; has description; high-value type,12.01577,8.54843,Gidan Dan Hausa Museum and Kano State Cultural Centre,africa/nigeria/kano/gidan_dan_hausa,0.416,3.723,3.76,needs_external_source,,https://en.wikivoyage.org/wiki/Kano
asia/indonesia/irianjaya/biak,Biak,Biak,7,13,see,Lake Samares,0.85,candidate,has coordinates; has description; high-value type,-1.055312,136.201937,Wapsdori Waterfalls,asia/indonesia/irianjaya/biak/wapsdori_waterfalls,0.323,33.813,19.557,needs_external_source,,https://en.wikivoyage.org/wiki/Biak
europe/albania/saranda,Saranda,Sarandë,11,25,see,Borsh,0.85,candidate,has coordinates; has description; high-value type,40.0625,19.856667,Krorëz,europe/albania/saranda/krorez,0.364,34.198,24.429,needs_external_source,,https://en.wikivoyage.org/wiki/Sarand%C3%AB
asia/palestinianauthority/hebron,Hebron,Hebron,5,34,see,The Oak of Abraham Monastery,0.85,candidate,has coordinates; has description; high-value type,31.555465,35.110602,Abraham's Oak,asia/palestinianauthority/hebron/abrahams_oak,0.486,1.948,2.743,needs_external_source,,https://en.wikivoyage.org/wiki/Hebron
northamerica/mexico/merida,Mérida,Mérida (Mexico),23,119,do,Hospedaje Barsa,0.85,candidate,has coordinates; has description; high-value type,20.9631043,-89.6279763,Monumento a la Patria,northamerica/mexico/merida/monumento_a_la_patria,0.387,2.262,0.674,needs_external_source,,https://en.wikivoyage.org/wiki/M%C3%A9rida_%28Mexico%29
europe/germany/bavaria/fussen,Füssen,Füssen,10,25,see,Via Claudia,0.85,candidate,has coordinates; has description; high-value type,47.63827,10.74193,Tegelberg Cable Car,europe/germany/bavaria/fussen/tegelberg,0.267,7.914,8.483,needs_external_source,,https://en.wikivoyage.org/wiki/F%C3%BCssen
asia/india/uttarpradesh/rishikesh,Rishikesh,Rishikesh,7,26,see,Neelkanth Mahadev Mela,0.85,candidate,has coordinates; has description; high-value type,30.0869281,78.2676116,Ram Jhula,asia/india/uttarpradesh/rishikesh/ram_jhula,0.323,6.049,3.342,needs_external_source,,https://en.wikivoyage.org/wiki/Rishikesh
europe/germany/schleswigholstein/kiel,Kiel,Kiel,8,68,see,Tiergehege Tannenberg,0.85,candidate,has coordinates; has description; high-value type,54.36467695639172,10.1149320602417,Kiel Canal,europe/germany/schleswigholstein/kiel/kiel_canal,0.323,2.669,4.854,needs_external_source,,https://en.wikivoyage.org/wiki/Kiel
asia/china/guangxi/chongzuo,Chongzuo,Chongzuo,4,22,see,Leaning Pagoda,0.85,candidate,has coordinates; has description; high-value type,22.3761,107.3583,Friendship Pass (Youyiguan),asia/china/guangxi/chongzuo/friendship_pass,0.345,78.507,5.027,needs_external_source,,https://en.wikivoyage.org/wiki/Chongzuo
europe/azerbaijan/baku,Baku,Baku,52,148,see,Oil Pump Fields,0.85,candidate,has coordinates; has description; high-value type,40.3187127,49.8300946,The Oilman's Inn,europe/azerbaijan/baku/the_oilmans_inn,0.444,5.304,6.328,needs_external_source,,https://en.wikivoyage.org/wiki/Baku
