world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/papuanewguinea/rabaul,Rabaul,Rabaul,4,10,see,Mount Tavurvur and hot springs,0.85,candidate,has coordinates; has description; high-value type,-4.237235,152.208841,Tavurvur Volcano,asia/papuanewguinea/rabaul/tavurvur_volcano,0.522,1.541,5.877,needs_external_source,,https://en.wikivoyage.org/wiki/Rabaul
europe/denmark/silkeborg,Silkeborg,Silkeborg,8,26,do,Himmelbjerget,0.85,candidate,has coordinates; has description; high-value type,56.104693798408,9.6859073638916,Silkeborg Forests,europe/denmark/silkeborg/silkeborg_forests,0.467,7.113,11.103,needs_external_source,,https://en.wikivoyage.org/wiki/Silkeborg
asia/india/maharashtra/mahabaleshwar,Mahabaleshwar,Mahabaleshwar,7,30,see,Lingmala Falls,0.85,candidate,has coordinates; has description; high-value type,17.924465,73.690841,Old Mahabaleshwar Temple,asia/india/maharashtra/mahabaleshwar/mahabaleshwar_temple,0.368,5.869,3.496,needs_external_source,,https://en.wikivoyage.org/wiki/Mahabaleshwar
europe/italy/tuscany/cortona,Cortona,Cortona,18,30,see,Convent de Le Celle,0.85,candidate,has coordinates; has description; high-value type,43.294133,12.00076,Cortona Cathedral,europe/italy/tuscany/cortona/cortona_cathedral,0.467,2.384,2.45,needs_external_source,,https://en.wikivoyage.org/wiki/Cortona
asia/oman/muscat,Muscat,Muscat,24,152,see,Sohar boat,0.85,candidate,has coordinates; has description; high-value type,23.567459,58.608143,Wadi Shab,asia/oman/muscat/wadi_shab,0.421,152.245,5.202,needs_external_source,,https://en.wikivoyage.org/wiki/Muscat
northamerica/unitedstates/northdakota/fargo,Fargo,Fargo,5,66,see,Celebrity Walk of Fame,0.85,candidate,has coordinates; has description; high-value type,46.84956,-96.86008,Plains Art Museum,northamerica/unitedstates/northdakota/fargo/plains_art_museum,0.308,5.987,6.164,needs_external_source,,https://en.wikivoyage.org/wiki/Fargo
europe/denmark/silkeborg,Silkeborg,Silkeborg,8,26,do,Go karting,0.85,candidate,has coordinates; has description; high-value type,56.096347,9.575699,Colour Fountain,europe/denmark/silkeborg/colour_fountain,0.4,8.259,8.289,needs_external_source,,https://en.wikivoyage.org/wiki/Silkeborg
asia/philippines/mindanaoisland/cagayandeoro,Cagayan de Oro,Cagayan de Oro,7,63,see,Polymedic Medical Plaza,0.85,candidate,has coordinates; has description; high-value type,8.49817,124.63074,Christ the Divine Mercy Shrine,asia/philippines/mindanaoisland/cagayandeoro/christ_divine_mercy,0.286,5.485,2.802,needs_external_source,,https://en.wikivoyage.org/wiki/Cagayan_de_Oro
asia/indonesia/kalimantan/balikpapan,Balikpapan,Balikpapan,4,33,see,Taman Bekapai,0.85,candidate,has coordinates; has description; high-value type,-1.27683,116.83387,Melawai Beach,asia/indonesia/kalimantan/balikpapan/melawai_beach,0.462,1.245,4.985,needs_external_source,,https://en.wikivoyage.org/wiki/Balikpapan
asia/india/maharashtra/nashik,Nashik,Nashik,5,73,see,Ganga Ghat,0.85,candidate,has coordinates; has description; high-value type,20.007987,73.792312,Pandavleni Caves,asia/india/maharashtra/nashik/pandavleni_caves,0.385,5.791,0.422,needs_external_source,,https://en.wikivoyage.org/wiki/Nashik
europe/spain/canaryislands/lanzarote/teguise,Teguise,Teguise,8,23,see,Ermita de San Rafael,0.85,candidate,has coordinates; has description; high-value type,29.0645,-13.5671,Convento de San Francisco (Museo de Arte Sacro),europe/spain/canaryislands/lanzarote/teguise/convento_san_francisco,0.462,1.038,0.885,needs_external_source,,https://en.wikivoyage.org/wiki/Teguise
asia/china/guangdong/shantou,Shantou,Shantou,15,23,see,Pagoda Mountain,0.85,candidate,has coordinates; has description; high-value type,23.530467,116.780548,Laoma Gong,asia/china/guangdong/shantou/laoma_gong,0.48,21.062,22.029,needs_external_source,,https://en.wikivoyage.org/wiki/Shantou
asia/myanmar/kyaiktiyo,Kyaiktiyo,Kyaiktiyo,0,6,see,Kyaiktiyo,0.85,candidate,has coordinates; has description; high-value type,17.481827,97.098678,,,0.0,,1.548,needs_external_source,,https://en.wikivoyage.org/wiki/Kyaiktiyo
europe/armenia/yerevan,Yerevan,Yerevan,53,133,see,Turkmenistan,0.85,candidate,has coordinates; has description; high-value type,40.1959,44.4922,Kentron,europe/armenia/yerevan/kentron,0.526,2.665,2.665,needs_external_source,,https://en.wikivoyage.org/wiki/Yerevan
northamerica/nicaragua/len,León,León (Nicaragua),12,79,see,Iglesia de San Juan Bautista de Sutiava,0.85,candidate,has coordinates; has description; high-value type,12.433622,-86.894907,Iglesia La Recolección,northamerica/nicaragua/len/iglesia_la_recoleccion,0.385,2.11,1.839,needs_external_source,,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Nicaragua%29
africa/congokinshasa/lubumbashi,Lubumbashi,Lubumbashi,4,8,do,Cercle Wallon,0.85,candidate,has coordinates; has description; high-value type,-11.641737,27.485104,Cathedral of Saints Peter and Paul,africa/congokinshasa/lubumbashi/sts_peter_paul_cathedral,0.298,2.729,2.628,needs_external_source,,https://en.wikivoyage.org/wiki/Lubumbashi
europe/slovakia/kosice,Košice,Košice,7,153,see,Jewish cemetery,0.85,candidate,has coordinates; has description; high-value type,48.72409,21.24168,St. Elisabeth Cathedral,europe/slovakia/kosice/st_elisabeth_cathedral,0.486,1.28,1.189,needs_external_source,,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
asia/southkorea/gyeongju,Gyeongju,Gyeongju,18,80,see,King Muyeol's tomb,0.85,candidate,has coordinates; has description; high-value type,35.8212,129.1856,Golgulsa Temple,asia/southkorea/gyeongju/golgulsa,0.424,19.94,5.251,needs_external_source,,https://en.wikivoyage.org/wiki/Gyeongju
europe/hungary/veszprem,Veszprém,Veszprém,11,105,see,Bridge of Fejesvölgy,0.85,candidate,has coordinates; has description; high-value type,47.0906,17.8996,Heroes' Gate,europe/hungary/veszprem/heroes_gate,0.387,0.722,0.708,needs_external_source,,https://en.wikivoyage.org/wiki/Veszpr%C3%A9m
