world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/newfoundland/terranovanationa,Terra Nova National Park,Terra Nova National Park,10,11,do,Visitors Centre and Marine Interpretation Centre,0.85,candidate,has coordinates; has description; high-value type,48.578414,-53.949033,Malady Head,northamerica/canada/newfoundland/terranovanationa/malady_head,0.41,0.59,5.535,needs_external_source,,https://en.wikivoyage.org/wiki/Terra_Nova_National_Park
europe/romania/bucharest,Bucharest,Bucharest,11,139,do,Botanical Gardens,0.85,candidate,has coordinates; has description; high-value type,44.4379,26.063647,Romanian Athenaeum,europe/romania/bucharest/romanian_athenaeum,0.514,2.698,3.107,needs_external_source,,https://en.wikivoyage.org/wiki/Bucharest
southamerica/argentina/rosario,Rosario,Rosario,7,25,see,Estadio Gigante de Arroyito,0.85,candidate,has coordinates; has description; high-value type,-32.913997,-60.674567,Costanera and Waterfront,southamerica/argentina/rosario/costanera,0.458,5.19,5.185,needs_external_source,,https://en.wikivoyage.org/wiki/Rosario
europe/belgium/nieuwpoort,Nieuwpoort,Nieuwpoort,6,27,see,Staketsel,0.85,candidate,has coordinates; has description; high-value type,51.1555,2.71956,Ganzepoot Locks,europe/belgium/nieuwpoort/ganzepoot_locks,0.333,3.411,3.663,needs_external_source,,https://en.wikivoyage.org/wiki/Nieuwpoort
asia/china/gansu/tianshui,Tianshui,Tianshui,4,27,do,Maijishan Ski Resort,0.85,candidate,has coordinates; has description; high-value type,34.5861,105.8587,Tianshui City Museum,asia/china/gansu/tianshui/tianshui_city_museum,0.35,11.687,11.687,needs_external_source,,https://en.wikivoyage.org/wiki/Tianshui
europe/netherlands/delft,Delft,Delft,10,62,see,Artilleriemagazijn,0.85,candidate,has coordinates; has description; high-value type,52.017028,4.359223,Museum Prinsenhof,europe/netherlands/delft/prinsenhof,0.504,0.496,0.621,needs_external_source,,https://en.wikivoyage.org/wiki/Delft
europe/slovakia/ruomberok,Ružomberok,Ruzomberok,7,29,do,Hrabovo valley,0.85,candidate,has coordinates; has description; high-value type,49.0708,19.2726,Ľudovít Fulla Gallery,europe/slovakia/ruomberok/ludovit_fulla_gallery,0.471,2.477,2.545,needs_external_source,,https://en.wikivoyage.org/wiki/Ruzomberok
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/widecombe,Widecombe-in-the-Moor,Widecombe in the Moor,5,11,do,Bonehill Rocks,0.85,candidate,has coordinates; has description; high-value type,50.58303,-3.79305,Rugglestone Inn,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/widecombe/rugglestone_inn,0.276,1.712,1.542,needs_external_source,,https://en.wikivoyage.org/wiki/Widecombe_in_the_Moor
asia/kazakhstan/shimkent,Shymkent,Shymkent,12,32,see,Soviet mosaic with Lenin,0.85,candidate,has coordinates; has description; high-value type,42.30183292,69.60648957,Central Mosque,asia/kazakhstan/shimkent/central_mosque,0.368,1.843,2.07,needs_external_source,,https://en.wikivoyage.org/wiki/Shymkent
asia/india/kolkata,Kolkata,Kolkata,2,57,see,Nepal,0.85,candidate,has coordinates; has description; high-value type,22.53301,88.32762,Practical Information in Kolkata,asia/india/kolkata/practical_information,0.162,,5.767,needs_external_source,,https://en.wikivoyage.org/wiki/Kolkata
europe/germany/bavaria/wurzburg,Würzburg,Würzburg,9,45,do,Skatepark Würzburg,0.85,candidate,has coordinates; has description; high-value type,49.80021,9.90239,Würzburg Cathedral,europe/germany/bavaria/wurzburg/wurzburg_cathedral,0.444,2.274,2.188,needs_external_source,,https://en.wikivoyage.org/wiki/W%C3%BCrzburg
southamerica/brazil/ouropreto,Ouro Preto,Ouro Preto,15,48,see,Mina Velha,0.85,candidate,has coordinates; has description; high-value type,-20.38759,-43.48998,Capela do Padre Faria,southamerica/brazil/ouropreto/capela_padre_faria,0.515,0.485,1.437,needs_external_source,,https://en.wikivoyage.org/wiki/Ouro_Preto
asia/india/maharashtra/nagpur,Nagpur,Nagpur,8,31,see,Lok Bhavan,0.85,candidate,has coordinates; has description; high-value type,21.167871,79.074019,Tarri Poha,asia/india/maharashtra/nagpur/tarri_poha,0.3,2.163,2.174,needs_external_source,,https://en.wikivoyage.org/wiki/Nagpur
northamerica/unitedstates/massachusetts/plymouth,Plymouth,Plymouth (Massachusetts),6,68,do,Holy Ghost Festa,0.85,candidate,has coordinates; has description; high-value type,41.96929,-70.69293,Plymouth Rock,northamerica/unitedstates/massachusetts/plymouth/plymouth_rock,0.345,2.457,2.441,needs_external_source,,https://en.wikivoyage.org/wiki/Plymouth_%28Massachusetts%29
europe/poland/poznan,Poznan,Poznań,12,96,do,Kiekrz Lake,0.85,candidate,has coordinates; has description; high-value type,52.47408,16.78235,Działyński Palace,europe/poland/poznan/dzielnski_palace,0.429,12.526,12.263,needs_external_source,,https://en.wikivoyage.org/wiki/Pozna%C5%84
asia/palestinianauthority/bethlehem,Bethlehem,Bethlehem,8,48,see,Convent and the Chapel of Hortus Conclusus,0.85,candidate,has coordinates; has description; high-value type,31.6865,35.1863,The Walled Off Hotel,asia/palestinianauthority/bethlehem/walled_off_hotel,0.37,3.986,2.596,needs_external_source,,https://en.wikivoyage.org/wiki/Bethlehem
asia/india/maharashtra/lonavala,Lonavala,Lonavla,9,17,see,Duke's Nose,0.85,candidate,has coordinates; has description; high-value type,18.73695,73.3645,Chikki Shops,asia/india/maharashtra/lonavala/chikki_shops,0.435,4.675,4.712,needs_external_source,,https://en.wikivoyage.org/wiki/Lonavla
asia/china/jilin/changchun,Changchun,Changchun,50,41,do,Longtou Mountain,0.85,candidate,has coordinates; has description; high-value type,44.051586,125.206602,Changchun Tram (Light Rail),asia/china/jilin/changchun/changchun_tram,0.4,20.563,16.864,needs_external_source,,https://en.wikivoyage.org/wiki/Changchun
europe/moldova/tiraspol,Tiraspol,Tiraspol,8,19,see,House of Soviets,0.85,candidate,has coordinates; has description; high-value type,46.83725,29.62814,Church of the Nativity,europe/moldova/tiraspol/church_of_the_nativity,0.529,1.046,1.304,needs_external_source,,https://en.wikivoyage.org/wiki/Tiraspol
northamerica/mexico/juarez,Juarez,Juarez,4,23,see,Juan Gabriel's mansion,0.85,candidate,has coordinates; has description; high-value type,31.73874,-106.46959,Museo de la Revolución en la Frontera,northamerica/mexico/juarez/museo_revolucion,0.28,1.534,6.779,needs_external_source,,https://en.wikivoyage.org/wiki/Juarez
northamerica/unitedstates/louisiana/bossiercity,Bossier City,Bossier City,14,12,see,Cross on the Hill,0.85,candidate,has coordinates; has description; high-value type,32.554715,-93.622528,Cyber Innovation Center,northamerica/unitedstates/louisiana/bossiercity/cyber_innovation_center,0.333,3.555,11.277,needs_external_source,,https://en.wikivoyage.org/wiki/Bossier_City
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,Correos de El Salvador,0.85,candidate,has coordinates; has description; high-value type,13.98853,-89.55837,Iglesia El Calvario,northamerica/elsalvador/santaana/iglesia_el_calvario,0.5,0.512,0.647,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29
asia/oman/salalah,Salalah,Salalah,9,48,see,Footprint of Prophet Saleh's Camel,0.85,candidate,has coordinates; has description; high-value type,17.018581,54.119352,Tomb of the Prophet Job (Nabi Ayub),asia/oman/salalah/tomb_of_job,0.491,5.924,1.945,needs_external_source,,https://en.wikivoyage.org/wiki/Salalah
northamerica/unitedstates/georgia/savannah,Savannah,Savannah,12,86,see,1960s-Era Taco Bell Sign,0.85,candidate,has coordinates; has description; high-value type,32.0421,-81.064,Moon River Brewing Company,northamerica/unitedstates/georgia/savannah/moon_river_brewing,0.32,5.067,4.886,needs_external_source,,https://en.wikivoyage.org/wiki/Savannah
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,see,Buddhist caves,0.85,candidate,has coordinates; has description; high-value type,21.5259,70.4696,Junagadh Museum,asia/india/gujarat/junagadh/junagadh_museum,0.345,1.364,1.044,needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh
europe/germany/badenwrttemberg/ravensburg,Ravensburg,Ravensburg,5,15,see,Veitsburg,0.85,candidate,has coordinates; has description; high-value type,47.77828,9.61644,Ravensburger Museum,europe/germany/badenwrttemberg/ravensburg/ravensburger_museum,0.5,0.655,0.432,needs_external_source,,https://en.wikivoyage.org/wiki/Ravensburg
asia/china/jiangsu_province/wuxi,Wuxi,Wuxi,12,32,do,Wuxi Sunac Sea World,0.85,candidate,has coordinates; has description; high-value type,31.44775,120.27081,Wuxi Grand Theatre,asia/china/jiangsu_province/wuxi/wuxi_grand_theatre,0.526,7.697,5.99,needs_external_source,,https://en.wikivoyage.org/wiki/Wuxi
europe/greece/florina,Florina,Florina,3,6,see,Petres,0.85,candidate,has coordinates; has description; high-value type,40.72359,21.65875,Prespa Lakes National Park,europe/greece/florina/prespa_lakes,0.25,51.445,22.055,needs_external_source,,https://en.wikivoyage.org/wiki/Florina
southamerica/colombia/neiva,Neiva,Neiva,6,13,see,Museo Arqueológico Regional,0.85,candidate,has coordinates; has description; high-value type,2.93733,-75.29323,San Agustín Archaeological Park,southamerica/colombia/neiva/parque_arqueologico_san_agustin,0.448,159.568,10.776,needs_external_source,,https://en.wikivoyage.org/wiki/Neiva
northamerica/unitedstates/massachusetts/provincetown,Provincetown,Provincetown,1,89,do,Herring Cove,0.85,candidate,has coordinates; has description; high-value type,42.047778,-70.220278,Lobster Pot,northamerica/unitedstates/massachusetts/provincetown/lobster_pot,0.348,2.934,2.893,needs_external_source,,https://en.wikivoyage.org/wiki/Provincetown
asia/india/himachalpradesh/dharamsala,Dharamsala,Dharamsala,9,56,do,Toral Pass,0.85,candidate,has coordinates; has description; high-value type,32.26504,76.43062,Bhagsu Waterfall and Temple,asia/india/himachalpradesh/dharamsala/bhagsu_waterfall,0.324,9.956,11.862,needs_external_source,,https://en.wikivoyage.org/wiki/Dharamsala
southamerica/brazil/ilhabela,Ilhabela,Ilhabela,11,26,see,Ponta Azeda,0.85,candidate,has coordinates; has description; high-value type,-23.7437788,-45.3488771,Praia de Castelhanos,southamerica/brazil/ilhabela/praia_de_castelhanos,0.429,13.873,8.347,needs_external_source,,https://en.wikivoyage.org/wiki/Ilhabela
asia/indonesia/java/ambarawa,Ambarawa,Ambarawa,7,18,do,Nature Gumuk Reco,0.85,candidate,has coordinates; has description; high-value type,-7.341812,110.427188,Ambarawa Train Museum,asia/indonesia/java/ambarawa/ambarawa_train_museum,0.316,8.96,8.939,needs_external_source,,https://en.wikivoyage.org/wiki/Ambarawa
europe/belgium/bruges,Bruges,Bruges,16,55,see,Smedenpoort,0.85,candidate,has coordinates; has description; high-value type,51.204588,3.212321,Belfort,europe/belgium/bruges/belfort,0.444,0.958,1.099,needs_external_source,,https://en.wikivoyage.org/wiki/Bruges
europe/unitedkingdom/england/gloucestershire/cheltenham,Cheltenham,Cheltenham,10,51,see,Cleeve Hill,0.85,candidate,has coordinates; has description; high-value type,51.93633,-2.01977,Everyman Theatre,europe/unitedkingdom/england/gloucestershire/cheltenham/everyman_theatre,0.37,5.567,5.397,needs_external_source,,https://en.wikivoyage.org/wiki/Cheltenham
europe/hungary/budapest,Budapest,Budapest,57,94,see,Emergency medical service for kids,0.85,candidate,has coordinates; has description; high-value type,47.5107,19.003526,Széchenyi Chain Bridge,europe/hungary/budapest/szechenyi_chain_bridge,0.357,3.284,3.101,needs_external_source,,https://en.wikivoyage.org/wiki/Budapest
asia/china/ningxia/xixia-wangling,Xixia Wangling National Park,Xixia Wangling National Park,2,6,see,First Tomb,0.85,candidate,has coordinates; has description; high-value type,38.3988,105.9702,Imperial Tomb Mounds,asia/china/ningxia/xixia-wangling/imperial_tomb_mounds,0.467,4.289,4.289,needs_external_source,,https://en.wikivoyage.org/wiki/Xixia_Wangling_National_Park
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Kernenturm,0.85,candidate,has coordinates; has description; high-value type,48.782426,9.310982,Rosenau,europe/germany/badenwrttemberg/stuttgart/rosenau,0.471,10.665,9.606,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Zakhidnyi (North) Bus station,0.85,candidate,has coordinates; has description; high-value type,48.04437,37.69729,Donbass Palace Restaurant,europe/ukraine/donetsk/donbass_palace_restaurant,0.391,8.691,8.467,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
europe/norway/bergen,Bergen,Bergen,26,125,see,Tippetue panorama point,0.85,candidate,has coordinates; has description; high-value type,60.4,5.3346,Fløibanen Funicular,europe/norway/bergen/floibanen,0.478,0.522,0.793,needs_external_source,,https://en.wikivoyage.org/wiki/Bergen
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Kandawlay Shi'a Muslim Cemetery,0.85,candidate,has coordinates; has description; high-value type,16.78442,96.16594,Taukkyan War Cemetery,asia/myanmar/yangon/taukkyan_war_cemetery,0.52,32.462,1.465,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
europe/russia/kronstadt,Kronstadt,Kronstadt,5,38,see,Solar World Clock,0.85,candidate,has coordinates; has description; high-value type,59.9864807,29.7888264,Saint Andrew's Cathedral,europe/russia/kronstadt/saint_andrews_cathedral,0.341,1.606,1.306,needs_external_source,,https://en.wikivoyage.org/wiki/Kronstadt
