world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/himachalpradesh/manali,Manali,Manali,10,47,see,Rahala waterfalls,0.85,candidate,has coordinates; has description; high-value type,32.33655,77.21851,Solang Valley,asia/india/himachalpradesh/manali/solang_valley,0.4,6.219,10.541,needs_external_source,,https://en.wikivoyage.org/wiki/Manali
asia/china/shandong_province/weihai,Weihai,Weihai,4,37,see,Cat Head Mountain,0.85,candidate,has coordinates; has description; high-value type,37.56,122.15,Chengshantou (Cape Chengshan),asia/china/shandong_province/weihai/chengshantou,0.414,51.265,5.973,needs_external_source,,https://en.wikivoyage.org/wiki/Weihai
europe/france/alpes/chamonix,Chamonix,Chamonix,19,38,do,Grands Montets,0.85,candidate,has coordinates; has description; high-value type,45.9686,6.945,Tour du Mont Blanc,europe/france/alpes/chamonix/tour_du_mont_blanc,0.414,7.423,7.421,needs_external_source,,https://en.wikivoyage.org/wiki/Chamonix
europe/greece/athens,Athens,Athens,48,150,see,Kaisariani Monastery and Gardens,0.85,candidate,has coordinates; has description; high-value type,37.960833,23.798333,National Garden,europe/greece/athens/national_garden,0.511,5.511,5.803,needs_external_source,,https://en.wikivoyage.org/wiki/Athens
australiaandpacific/newzealand/north_island/hawkes_bay/wairoa,Wairoa,Wairoa,5,13,see,Public toilets,0.85,candidate,has coordinates; has description; high-value type,-39.0303,177.4185,Portland Island Lighthouse,australiaandpacific/newzealand/north_island/hawkes_bay/wairoa/portland_lighthouse,0.3,1.084,1.256,needs_external_source,,https://en.wikivoyage.org/wiki/Wairoa
northamerica/mexico/yucatan/chichen_itza,Chichen Itza,Chichen Itza,0,27,see,The Caves of Balankanche,0.85,candidate,has coordinates; has description; high-value type,20.65861111,-88.535,,,0.0,,4.424,needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza
asia/china/shandong_province/zaozhuang,Zaozhuang,Zaozhuang,2,29,do,Lunan Shuicheng,0.85,candidate,has coordinates; has description; high-value type,34.847598,117.533931,Lu Ban Memorial Hall,asia/china/shandong_province/zaozhuang/luban_memorial,0.343,18.864,18.864,needs_external_source,,https://en.wikivoyage.org/wiki/Zaozhuang
europe/romania/curtea_de_arges,Curtea de Arges,Curtea de Argeș,4,17,see,Manole's Well,0.85,candidate,has coordinates; has description; high-value type,45.15541,24.674412,Poienari Citadel (Vlad Tepes),europe/romania/curtea_de_arges/vlad_tepes_vs_dra,0.345,22.759,1.681,needs_external_source,,https://en.wikivoyage.org/wiki/Curtea_de_Arge%C8%99
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,416-418 Sharrow Vale Road,0.85,candidate,has coordinates; has description; high-value type,53.367349,-1.501442,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.316,3.103,2.549,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
southamerica/colombia/tunja,Tunja,Tunja,10,26,see,Parroquia San Laureano,0.85,candidate,has coordinates; has description; high-value type,5.5268,-73.36351,Capilla y Museo de Santa Clara La Real,southamerica/colombia/tunja/santa_clara_la_real,0.481,0.938,1.058,needs_external_source,,https://en.wikivoyage.org/wiki/Tunja
northamerica/unitedstates/massachusetts/nantucket,Nantucket,Nantucket,14,51,see,Sankaty Head Light,0.85,candidate,has coordinates; has description; high-value type,41.284383,-69.966236,Brant Point Lighthouse,northamerica/unitedstates/massachusetts/nantucket/brant_point_lighthouse,0.5,10.289,11.045,needs_external_source,,https://en.wikivoyage.org/wiki/Nantucket
europe/hungary/godollo,Gödöllő,Gödöllő,3,60,see,Gödöllő-Állami telepek train stop,0.85,candidate,has coordinates; has description; high-value type,47.56411,19.3757,Queen Elisabeth Park,europe/hungary/godollo/queen_elisabeth_park,0.275,4.062,4.342,needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%B6d%C3%B6ll%C5%91
northamerica/unitedstates/ohio/kent,Kent,Kent (Ohio),8,75,do,Standing Rock,0.85,candidate,has coordinates; has description; high-value type,41.166,-81.3504,Portage Hike and Bike Trail,northamerica/unitedstates/ohio/kent/portage_hike_bike_trail,0.3,1.686,1.505,needs_external_source,,https://en.wikivoyage.org/wiki/Kent_%28Ohio%29
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,see,Intempo,0.85,candidate,has coordinates; has description; high-value type,38.53784,-0.1546,Poniente Beach,europe/spain/spanishcostas/benidorm/poniente_beach,0.381,1.619,2.24,needs_external_source,,https://en.wikivoyage.org/wiki/Benidorm
europe/unitedkingdom/england/south_east/guildford,Guildford,Guildford,17,84,see,St Catherine's Chapel,0.85,candidate,has coordinates; has description; high-value type,51.224273,-0.578683,St Mary's Church,europe/unitedkingdom/england/south_east/guildford/st_marys_church,0.541,1.152,1.317,needs_external_source,,https://en.wikivoyage.org/wiki/Guildford
northamerica/jamaica/montegobay,Montego Bay,Montego Bay,13,22,do,Mayfield Falls,0.85,candidate,has coordinates; has description; high-value type,18.352362,-78.085228,The Pelican Grill,northamerica/jamaica/montegobay/the_pelican_grill,0.37,22.189,24.435,needs_external_source,,https://en.wikivoyage.org/wiki/Montego_Bay
northamerica/mexico/merida,Mérida,Mérida (Mexico),23,119,see,Cuba,0.85,candidate,has coordinates; has description; high-value type,21.015348,-89.619346,La Chaya Maya,northamerica/mexico/merida/la_chaya_maya,0.286,5.273,5.348,needs_external_source,,https://en.wikivoyage.org/wiki/M%C3%A9rida_%28Mexico%29
europe/azerbaijan/baku,Baku,Baku,52,148,see,National Flag Square,0.85,candidate,has coordinates; has description; high-value type,40.344167,49.844722,Fountain Square,europe/azerbaijan/baku/fountain_square,0.514,3.035,3.637,needs_external_source,,https://en.wikivoyage.org/wiki/Baku
asia/indonesia/java/karimunjawa,Karimunjawa,Karimunjawa,12,26,see,Konservasi Penyu Taman Nasional Karimunjawa,0.85,candidate,has coordinates; has description; high-value type,-5.865813,110.454687,Karimunjawa Village,asia/indonesia/java/karimunjawa/karimunjawa_village,0.355,2.075,2.856,needs_external_source,,https://en.wikivoyage.org/wiki/Karimunjawa
europe/italy/lombardia/como,Como,Como,10,35,see,Como Borghi,0.85,candidate,has coordinates; has description; high-value type,45.804904,9.090853,Como–Brunate Funicular,europe/italy/lombardia/como/brunate_funicular,0.485,12.859,12.599,needs_external_source,,https://en.wikivoyage.org/wiki/Como
europe/italy/liguria/italianriviera/finaleligure,Finale Ligure,Finale Ligure,7,21,see,Porta Testa,0.85,candidate,has coordinates; has description; high-value type,44.175159,8.326838,Mountain Biking Trails,europe/italy/liguria/italianriviera/finaleligure/mountain_biking,0.364,1.924,1.516,needs_external_source,,https://en.wikivoyage.org/wiki/Finale_Ligure
europe/russia/samara,Samara,Samara,7,48,see,Philharmonic Hall,0.85,candidate,has coordinates; has description; high-value type,53.19152,50.09499,Stalin's Bunker,europe/russia/samara/stalins_bunker,0.388,0.612,0.629,needs_external_source,,https://en.wikivoyage.org/wiki/Samara
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Viewing Fish at Flower Pond,0.85,candidate,has coordinates; has description; high-value type,30.2333066,120.1354451,Jingci Temple,asia/china/zhejiang/hangzhou/jingci_temple,0.4,1.369,6.926,needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
asia/philippines/baler,Baler,Baler,4,46,see,Baler Lighthouse,0.85,candidate,has coordinates; has description; high-value type,15.7536,121.63,Museo de Baler,asia/philippines/baler/museo_de_baler,0.37,7.344,7.225,needs_external_source,,https://en.wikivoyage.org/wiki/Baler
europe/sweden/karlskrona,Karlskrona,Karlskrona,12,20,see,Old Workers Cottages,0.85,candidate,has coordinates; has description; high-value type,56.162098,15.572013,Stortorget,europe/sweden/karlskrona/stortorget,0.333,0.892,0.906,needs_external_source,,https://en.wikivoyage.org/wiki/Karlskrona
asia/cambodia/battambang,Battambang,Battambang,6,34,see,Lok Ta Dambong Kra Nhoung,0.85,candidate,has coordinates; has description; high-value type,13.091608,103.208481,Battambang Provincial Museum,asia/cambodia/battambang/battambang_provincial_museum,0.377,1.177,18.621,needs_external_source,,https://en.wikivoyage.org/wiki/Battambang
asia/indonesia/java/solo,Solo,Solo,20,80,see,Taman Balekambang,0.85,candidate,has coordinates; has description; high-value type,-7.55224,110.80845,Pura Mangkunegaran,asia/indonesia/java/solo/pura_mangkunegaran,0.457,2.255,2.897,needs_external_source,,https://en.wikivoyage.org/wiki/Solo
southamerica/colombia/palmira,Palmira,Palmira,3,5,see,Old City Hall,0.85,candidate,has coordinates; has description; high-value type,3.5274,-76.30085,Estadio Francisco Rivera Escobar,southamerica/colombia/palmira/estadio_francisco_rivera,0.374,0.626,0.444,needs_external_source,,https://en.wikivoyage.org/wiki/Palmira
