world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/brazil/fortaleza,Fortaleza,Fortaleza,10,87,see,Iracema Statue,0.85,candidate,has coordinates; has description; high-value type,-3.7203,-38.509,Praia de Iracema,southamerica/brazil/fortaleza/praia_de_iracema,0.519,0.741,1.814,needs_external_source,,https://en.wikivoyage.org/wiki/Fortaleza
europe/russia/ural/ekaterinburg,Ekaterinburg,Yekaterinburg,11,72,see,Central Military District,0.85,candidate,has coordinates; has description; high-value type,56.84133,60.62428,Ural Geological Museum,europe/russia/ural/ekaterinburg/geological_museum,0.533,0.467,1.47,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
northamerica/mexico/guadalajara,Guadalajara,Guadalajara,43,110,see,Huentitán-Oblatos Canyon,0.85,candidate,has coordinates; has description; high-value type,20.70583,-103.28306,Panteón de Belén (Santa Paula Cemetery),northamerica/mexico/guadalajara/panteon_belen,0.486,7.106,8.615,needs_external_source,,https://en.wikivoyage.org/wiki/Guadalajara
australiaandpacific/newzealand/greymouth,Greymouth,Greymouth,6,51,do,Gun Emplacement Walkway,0.85,candidate,has coordinates; has description; high-value type,-42.435313,171.212438,Floodwall Walk,australiaandpacific/newzealand/greymouth/floodwall_walk,0.378,1.526,1.683,needs_external_source,,https://en.wikivoyage.org/wiki/Greymouth
asia/india/maharashtra/ellora,Ellora,Ellora,0,9,see,Jain Group of Ellora Caves,0.85,candidate,has coordinates; has description; high-value type,20.033,75.1739,,,0.0,,1.574,needs_external_source,,https://en.wikivoyage.org/wiki/Ellora
asia/india/kerala/thrissur,Thrissur,Thrissur,5,58,see,Kallayikkunnu,0.85,candidate,has coordinates; has description; high-value type,10.67197,76.09058,Vadakkunnathan Temple,asia/india/kerala/thrissur/vadakkunnathan_temple,0.412,21.27,21.062,needs_external_source,,https://en.wikivoyage.org/wiki/Thrissur
northamerica/trinidadandtobago/port_of_spain,Port of Spain,Port of Spain,9,42,see,International Waterfront Centre,0.85,candidate,has coordinates; has description; high-value type,10.6498822,-61.51789,National Museum and Art Gallery,northamerica/trinidadandtobago/port_of_spain/national_museum,0.484,0.614,1.834,needs_external_source,,https://en.wikivoyage.org/wiki/Port_of_Spain
europe/france/midi/provence/arles,Arles,Arles,12,22,see,Camargue,0.85,candidate,has coordinates; has description; high-value type,43.541718,4.619362,LUMA Arles,europe/france/midi/provence/arles/luma_arles,0.444,14.699,15.141,needs_external_source,,https://en.wikivoyage.org/wiki/Arles
europe/belgium/ghent,Ghent,Ghent,18,77,see,Campo Santo Cemetery,0.85,candidate,has coordinates; has description; high-value type,51.0645,3.7498,Saint Bavo's Cathedral,europe/belgium/ghent/saint_bavos_cathedral,0.429,2.043,2.1,needs_external_source,,https://en.wikivoyage.org/wiki/Ghent
europe/estonia/rakvere,Rakvere,Rakvere,7,41,see,Voore Manor,0.85,candidate,has coordinates; has description; high-value type,59.2417,26.52134,Rakvere Theatre,europe/estonia/rakvere/rakvere_theatre,0.462,15.496,14.913,needs_external_source,,https://en.wikivoyage.org/wiki/Rakvere
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Thailand,0.85,candidate,has coordinates; has description; high-value type,22.3243601,91.8093377,DC Hill,asia/bangladesh/chittagong/dc_hill,0.4,3.258,2.786,needs_external_source,,https://en.wikivoyage.org/wiki/Chittagong
