world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/latvia/daugavpils,Daugavpils,Daugavpils,7,30,do,Stropi,0.85,candidate,has coordinates; has description; high-value type,55.919274,26.628687,Centre Bars,europe/latvia/daugavpils/centre_bars,0.235,8.307,8.83,needs_external_source,,https://en.wikivoyage.org/wiki/Daugavpils
europe/hungary/hortobagy,Hortobágy,Hortobágy,4,18,do,Függőcinege torony,0.85,candidate,has coordinates; has description; high-value type,47.6133587,21.0729196,Nine-Arched Bridge,europe/hungary/hortobagy/nine_arched_bridge,0.278,6.819,6.879,needs_external_source,,https://en.wikivoyage.org/wiki/Hortob%C3%A1gy
africa/nigeria/warri,Warri,Warri,6,33,see,Red Mangrove swamp,0.85,candidate,has coordinates; has description; high-value type,5.6432,5.7854,Efferun Market,africa/nigeria/warri/efferun_market,0.375,13.763,14.46,needs_external_source,,https://en.wikivoyage.org/wiki/Warri
southamerica/peru/iquitos,Iquitos,Iquitos,8,28,see,La Plaza 28 de Julio,0.85,candidate,has coordinates; has description; high-value type,-3.7544,-73.2493,Lake Quistococha,southamerica/peru/iquitos/quistococha,0.4,12.254,0.779,needs_external_source,,https://en.wikivoyage.org/wiki/Iquitos
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,What If?,0.85,candidate,has coordinates; has description; high-value type,53.378737,-1.465571,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.4,1.294,0.377,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
asia/china/shaanxi/yulin,Yulin,Yulin (Shaanxi),4,36,see,Wenchang Pavilion,0.85,candidate,has coordinates; has description; high-value type,38.28302453059644,109.75434105834444,Zhenbei Platform (Zhenbeitai),asia/china/shaanxi/yulin/zhenbei_platform,0.364,3.53,2.374,needs_external_source,,https://en.wikivoyage.org/wiki/Yulin_%28Shaanxi%29
australiaandpacific/newzealand/motueka,Motueka,Motueka,5,7,do,Riwaka Resurgence,0.85,candidate,has coordinates; has description; high-value type,-41.034031,172.901054,Motueka River,australiaandpacific/newzealand/motueka/motueka_river,0.4,11.137,12.599,needs_external_source,,https://en.wikivoyage.org/wiki/Motueka
europe/hungary/sopron,Sopron,Sopron,9,234,do,Outdoor Zone,0.85,candidate,has coordinates; has description; high-value type,47.67258,16.57982,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.345,1.399,1.632,needs_external_source,,https://en.wikivoyage.org/wiki/Sopron
asia/india/karnataka/hubli,Hubli,Hubli,4,18,see,Indira Gandhi Glass House,0.85,candidate,has coordinates; has description; high-value type,15.351285,75.132901,Nrupatunga Hill,asia/india/karnataka/hubli/nrupatunga_hill,0.35,0.78,0.549,needs_external_source,,https://en.wikivoyage.org/wiki/Hubli
northamerica/unitedstates/indiana/evansville,Evansville,Evansville,12,34,see,USS LST-325,0.85,candidate,has coordinates; has description; high-value type,37.953056,-87.576944,Bosse Field,northamerica/unitedstates/indiana/evansville/bosse_field,0.364,2.666,1.996,needs_external_source,,https://en.wikivoyage.org/wiki/Evansville
asia/southkorea/suwon,Suwon,Suwon,6,131,see,Budeunae Sanjedang,0.85,candidate,has coordinates; has description; high-value type,37.261356,127.015915,Hwaseong Fortress,asia/southkorea/suwon/hwaseong_fortress_1,0.286,1.157,1.867,needs_external_source,,https://en.wikivoyage.org/wiki/Suwon
