world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/spain/centralspain/elescorial,El Escorial,El Escorial,4,5,see,Silla de Felipe II,0.85,candidate,has coordinates; has description; high-value type,40.57,-4.153,Philip II's Chair (Silla de Felipe II),europe/spain/centralspain/elescorial/philips_chair,0.438,3.001,2.59,needs_external_source,,https://en.wikivoyage.org/wiki/El_Escorial
asia/india/orissa/chilika,Chilika Lake,Chilika Lake,2,10,see,Satapada,0.85,candidate,has coordinates; has description; high-value type,19.66623,85.43741,Kalijai Island,asia/india/orissa/chilika/kalijai_island,0.364,23.383,13.827,needs_external_source,,https://en.wikivoyage.org/wiki/Chilika_Lake
europe/estonia/toila,Toila,Toila,3,6,see,Toila Gymnasium Watchtower,0.85,candidate,has coordinates; has description; high-value type,59.422027,27.536642,Valaste Waterfall,europe/estonia/toila/valaste_waterfall,0.419,1.337,1.326,needs_external_source,,https://en.wikivoyage.org/wiki/Toila
asia/india/westbengal/nabadwip,Nabadwip,Nabadwip,11,34,see,Purbasthali Oxbow Lake,0.85,candidate,has coordinates; has description; high-value type,23.45,88.35,Poramatala (Mahaprabhu Mandir),asia/india/westbengal/nabadwip/poramatala_mahaprabhu,0.438,4.536,4.87,needs_external_source,,https://en.wikivoyage.org/wiki/Nabadwip
europe/norway/drammen,Drammen,Drammen,10,33,do,Skoger Golfbane,0.85,candidate,has coordinates; has description; high-value type,59.670002,10.2203598,Bragernes Torg,europe/norway/drammen/bragernes_torg,0.345,8.446,8.276,needs_external_source,,https://en.wikivoyage.org/wiki/Drammen
europe/bosniaandherzegovina/banjaluka,Banja Luka,Banja Luka,9,36,see,Monastery of Gomionica,0.85,candidate,has coordinates; has description; high-value type,44.7297,16.9103,Cathedral of Saint Bonaventure,europe/bosniaandherzegovina/banjaluka/cathedral_saint_bonaventure,0.462,23.034,23.069,needs_external_source,,https://en.wikivoyage.org/wiki/Banja_Luka
europe/hungary/sopron,Sopron,Sopron,9,234,see,Gate of Faith,0.85,candidate,has coordinates; has description; high-value type,47.68698,16.59181,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.472,0.528,0.889,needs_external_source,,https://en.wikivoyage.org/wiki/Sopron
europe/greece/crete/sitia,Sitia,Sitia,8,5,see,Moni Toplou,0.85,candidate,has coordinates; has description; high-value type,35.221417,26.216056,Toplou Monastery,europe/greece/crete/sitia/toplou_monastery,0.444,0.804,10.545,needs_external_source,,https://en.wikivoyage.org/wiki/Sitia
europe/italy/veneto/verona,Verona,Verona,22,46,do,Minigolf La Torretta,0.85,candidate,has coordinates; has description; high-value type,45.47026,11.007227,Ponte Pietra,europe/italy/veneto/verona/ponte_pietra,0.345,2.502,3.736,needs_external_source,,https://en.wikivoyage.org/wiki/Verona
northamerica/mexico/piedras_negras_co,Piedras Negras,Piedras Negras (Mexico),3,10,see,Macroplaza I,0.85,candidate,has coordinates; has description; high-value type,28.7075,-100.5306,Plaza Central,northamerica/mexico/piedras_negras_co/plaza_central,0.48,1.021,1.021,needs_external_source,,https://en.wikivoyage.org/wiki/Piedras_Negras_%28Mexico%29
asia/china/shandong_province/dezhou,Dezhou,Dezhou,3,33,do,Bangzi Yangko,0.85,candidate,has coordinates; has description; high-value type,37.448117,116.301015,Tomb of Sultan Paduka Pahala,asia/china/shandong_province/dezhou/sulu_sultan_tomb,0.293,2.659,0.855,needs_external_source,,https://en.wikivoyage.org/wiki/Dezhou
