world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/russia/ural/ekaterinburg,Ekaterinburg,Yekaterinburg,11,72,see,Geologicheskaya,0.85,candidate,has coordinates; has description; high-value type,56.82682,60.60247,Ural Geological Museum,europe/russia/ural/ekaterinburg/geological_museum,0.486,1.744,1.27,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
asia/china/sichuanprovince/xichang,Xichang,Xichang,6,23,do,Moonlight style town,0.85,candidate,has coordinates; has description; high-value type,27.83723,102.272436,Liangshan Yi Slave Society Museum,asia/china/sichuanprovince/xichang/yi_slave_society_museum,0.377,6.505,5.994,needs_external_source,,https://en.wikivoyage.org/wiki/Xichang
asia/japan/hokkaido/sapporo,Sapporo,Sapporo,20,42,see,Moiwayama,0.85,candidate,has coordinates; has description; high-value type,43.022139,141.322111,Sarara,asia/japan/hokkaido/sapporo/sarara,0.4,4.654,5.151,needs_external_source,,https://en.wikivoyage.org/wiki/Sapporo
asia/thailand/sukhothai,Sukhothai,Sukhothai,12,72,see,Phra Mae Ya Shrine,0.85,candidate,has coordinates; has description; high-value type,17.0057,99.82588,Wat Sa Si,asia/thailand/sukhothai/wat_sa_si,0.444,13.282,12.83,needs_external_source,,https://en.wikivoyage.org/wiki/Sukhothai
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,do,Paolo Soleri Theater,0.85,candidate,has coordinates; has description; high-value type,35.6724,-105.9678,Palace of the Governors,northamerica/unitedstates/newmexico/santafe/palace_of_the_governors,0.41,3.228,3.14,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Severinstorburg,0.85,candidate,has coordinates; has description; high-value type,50.9219,6.95926,Hohenzollernbrücke (Love Locks Bridge),europe/germany/northrhinewestphalia/cologne/hohenzollern_bridge,0.364,1.812,1.831,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
northamerica/unitedstates/california/shastacascade/oroville,Oroville,Oroville (California),5,21,see,Mother Orange Tree,0.85,candidate,has coordinates; has description; high-value type,39.51111,-121.50428,Oroville Chinese Temple,northamerica/unitedstates/california/shastacascade/oroville/oroville_chinese_temple,0.39,,4.477,needs_external_source,,https://en.wikivoyage.org/wiki/Oroville_%28California%29
europe/finland/pori,Pori,Pori,8,41,do,Ice hockey,0.85,candidate,has coordinates; has description; high-value type,61.473,21.765,Juselius Mausoleum,europe/finland/pori/juselius_mausoleum,0.286,2.289,2.282,needs_external_source,,https://en.wikivoyage.org/wiki/Pori
europe/netherlands/waddenislands/schiermonnikoog_is,Schiermonnikoog,Schiermonnikoog,10,37,see,Wassermann-bunker,0.85,candidate,has coordinates; has description; high-value type,53.48701,6.18184,Schiermonnikoog Beach,europe/netherlands/waddenislands/schiermonnikoog_is/schiermonnikoog_beach,0.474,1.184,1.716,needs_external_source,,https://en.wikivoyage.org/wiki/Schiermonnikoog
asia/china/henan_province/xinxiang,Xinxiang,Xinxiang,4,36,see,Lu Wang's Tomb,0.85,candidate,has coordinates; has description; high-value type,35.41921,113.92035,Guoliang Tunnel,asia/china/henan_province/xinxiang/guoliang_tunnel,0.414,56.98,13.72,needs_external_source,,https://en.wikivoyage.org/wiki/Xinxiang
asia/indonesia/maluku/ternate,Ternate,Ternate,5,27,see,Lake Tolire,0.85,candidate,has coordinates; has description; high-value type,0.83765,127.30487,Fort Tolukko,asia/indonesia/maluku/ternate/fort_tolukko,0.348,9.623,10.484,needs_external_source,,https://en.wikivoyage.org/wiki/Ternate
