world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,Reka e Allages village,0.85,candidate,has coordinates; has description; high-value type,42.701,20.171,Tahir Bey's Palace,europe/serbia/kosovoprovince/peja/tahir_bey_palace,0.45,10.962,10.632,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
europe/portugal/aveiro,Aveiro,Aveiro,5,35,see,Salineira Aveirense,0.85,candidate,has coordinates; has description; high-value type,40.6467,-8.6515,Cathedral of Aveiro,europe/portugal/aveiro/cathedral_of_aveiro,0.526,0.785,0.716,needs_external_source,,https://en.wikivoyage.org/wiki/Aveiro
europe/hungary/budapest,Budapest,Budapest,57,94,see,Érd,0.85,candidate,has coordinates; has description; high-value type,47.377,18.923,Visegrád,europe/hungary/budapest/visegradvisegrd,0.4,46.047,16.076,needs_external_source,,https://en.wikivoyage.org/wiki/Budapest
europe/serbia/kosovoprovince/pristina,Pristina,Pristina,20,107,see,Jewish Cemetery,0.85,candidate,has coordinates; has description; high-value type,42.663196,21.180126,Gračanica Monastery,europe/serbia/kosovoprovince/pristina/gracanica_monastery,0.412,6.931,1.196,needs_external_source,,https://en.wikivoyage.org/wiki/Pristina
australiaandpacific/australia/australiancapitalterritory/canberra,Canberra,Canberra,42,34,see,Mount Majura,0.85,candidate,has coordinates; has description; high-value type,-35.2376,149.1815,Mount Ainslie Lookout,australiaandpacific/australia/australiancapitalterritory/canberra/mount_ainslie,0.485,3.615,9.877,needs_external_source,,https://en.wikivoyage.org/wiki/Canberra
asia/nepal/kathmandu,Kathmandu,Kathmandu,48,43,see,Vishnumati Bridge,0.85,candidate,has coordinates; has description; high-value type,27.69239,85.30106,Kashmiri Masjid,asia/nepal/kathmandu/kashmiri_masjid,0.438,2.274,2.614,needs_external_source,,https://en.wikivoyage.org/wiki/Kathmandu
europe/spain/castellon/peniscola,Peñíscola,Peñiscola,5,19,see,Torre Badum,0.85,candidate,has coordinates; has description; high-value type,40.32319,0.36345,Castle of Peñíscola,europe/spain/castellon/peniscola/castle,0.276,5.496,5.356,needs_external_source,,https://en.wikivoyage.org/wiki/Pe%C3%B1iscola
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Fish and Turtle Lake,0.85,candidate,has coordinates; has description; high-value type,16.79486,96.15099,Shwedagon Pagoda,asia/myanmar/yangon/shwedagonpagoda,0.504,0.496,1.084,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
northamerica/nicaragua/masaya,Masaya,Masaya,4,10,see,El Malecón,0.85,candidate,has coordinates; has description; high-value type,11.97437,-86.10501,Mercado de Artesanías,northamerica/nicaragua/masaya/mercado_artesanias,0.4,1.057,1.176,needs_external_source,,https://en.wikivoyage.org/wiki/Masaya
northamerica/mexico/san_carlos_sonora,San Carlos (Sonora),San Carlos (Mexico),5,14,do,Ocean Sports,0.85,candidate,has coordinates; has description; high-value type,27.949494,-111.054256,Sport Fishing,northamerica/mexico/san_carlos_sonora/sport_fishing,0.48,2.17,4.939,needs_external_source,,https://en.wikivoyage.org/wiki/San_Carlos_%28Mexico%29
asia/china/shanxiprovince/linfen,Linfen,Linfen,6,36,do,Red Leaf Valley,0.85,candidate,has coordinates; has description; high-value type,35.9025,111.4815,Guangsheng Lower Temple,asia/china/shanxiprovince/linfen/guangsheng_lower_temple,0.368,44.038,20.901,needs_external_source,,https://en.wikivoyage.org/wiki/Linfen
asia/kazakhstan/astana,Astana,Astana,26,82,see,Ramstore Bridge,0.85,candidate,has coordinates; has description; high-value type,51.15185,71.428037,Aqorda Residence,asia/kazakhstan/astana/aqorda_residence,0.516,3.167,2.636,needs_external_source,,https://en.wikivoyage.org/wiki/Astana
asia/uzbekistan/samarkand,Samarkand,Samarkand,19,61,see,Baha'i Spiritual Center,0.85,candidate,has coordinates; has description; high-value type,39.673,66.9492,Samarkand Plov Center,asia/uzbekistan/samarkand/samarkand_plov_center,0.455,2.7,2.275,needs_external_source,,https://en.wikivoyage.org/wiki/Samarkand
asia/china/hunan/zhuzhou,Zhuzhou,Zhuzhou,4,48,see,Yandi Square,0.85,candidate,has coordinates; has description; high-value type,27.820424,113.119889,Zhuzhou Television Tower,asia/china/hunan/zhuzhou/zhuzhou_television_tower,0.372,0.628,3.484,needs_external_source,,https://en.wikivoyage.org/wiki/Zhuzhou
asia/china/hunan/zhuzhou,Zhuzhou,Zhuzhou,4,48,see,Xiangyu Ling Farming and Eating College,0.85,candidate,has coordinates; has description; high-value type,27.936146,113.24357,Xiangjiang River Scenic Belt,asia/china/hunan/zhuzhou/xiangjiang_scenic_belt,0.478,15.4,14.244,needs_external_source,,https://en.wikivoyage.org/wiki/Zhuzhou
europe/netherlands/dordrecht,Dordrecht,Dordrecht,14,29,see,Kyck over den Dyck,0.85,candidate,has coordinates; has description; high-value type,51.815699,4.67891,Binnenvaartmuseum,europe/netherlands/dordrecht/binnenvaartmuseum,0.465,0.535,5.226,needs_external_source,,https://en.wikivoyage.org/wiki/Dordrecht
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Kyivskyi district Court,0.85,candidate,has coordinates; has description; high-value type,48.05573,37.78207,Pivnaya Khata,europe/ukraine/donetsk/pivnaya_khata,0.278,5.652,4.692,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
asia/taiwan/jiufen,Jiufen,Jiufen,8,13,do,Xiaojingua Peak,0.85,candidate,has coordinates; has description; high-value type,25.100026,121.845846,A-Mei Tea House,asia/taiwan/jiufen/amei_teahouse,0.286,1.015,0.955,needs_external_source,,https://en.wikivoyage.org/wiki/Jiufen
europe/italy/tuscany/cortona,Cortona,Cortona,18,30,do,Agriturismo Il Frantoio (Horseback Riding),0.85,candidate,has coordinates; has description; high-value type,43.28333,11.98333,Locanda al Pozzo Antico,europe/italy/tuscany/cortona/locanda_al_pozzo_antico,0.391,0.905,0.904,needs_external_source,,https://en.wikivoyage.org/wiki/Cortona
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Tim Hortons Iceplex Booth,0.85,candidate,has coordinates; has description; high-value type,43.098,-77.603,Mount Hope Cemetery,northamerica/unitedstates/newyorkstate/rochester/mount_hope_cemetery,0.409,3.485,6.533,needs_external_source,,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
asia/iraq/mosul,Mosul,Mosul,11,34,see,Nergal Gate,0.85,candidate,has coordinates; has description; high-value type,36.3713,43.1478,Khan al-Gumruk,asia/iraq/mosul/khan_al_gumruk,0.4,3.156,5.288,needs_external_source,,https://en.wikivoyage.org/wiki/Mosul
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Zoological Gardens,0.85,candidate,has coordinates; has description; high-value type,16.791667,96.159444,Colonial Downtown,asia/myanmar/yangon/colonial_downtown,0.514,1.477,0.585,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
europe/poland/torun,Toruń,Toruń,6,59,see,Piwnice Radio Observatory,0.85,candidate,has coordinates; has description; high-value type,53.0952,18.5597,Leaning Tower of Toruń,europe/poland/torun/leaning_tower,0.391,10.067,9.913,needs_external_source,,https://en.wikivoyage.org/wiki/Toru%C5%84
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Max-Eyth See,0.85,candidate,has coordinates; has description; high-value type,48.835404664277526,9.21690079552565,Rathaus,europe/germany/badenwrttemberg/stuttgart/rathaus,0.421,6.947,6.885,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
asia/thailand/huahin,Hua Hin,Hua Hin,41,98,see,Mail Boxes etc,0.85,candidate,has coordinates; has description; high-value type,12.547993,99.962229,Railway Hotel (Centara Grand),asia/thailand/huahin/railway_hotel,0.444,2.247,2.497,needs_external_source,,https://en.wikivoyage.org/wiki/Hua_Hin
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Instituto Municipal de Arte y Cultura,0.85,candidate,has coordinates; has description; high-value type,32.66482,-115.45602,Museo Universitario,northamerica/mexico/mexicali/museo_universitario,0.34,3.787,4.491,needs_external_source,,https://en.wikivoyage.org/wiki/Mexicali
europe/netherlands/gouda,Gouda,Gouda,6,83,see,Molen de Roode Leeuw,0.85,candidate,has coordinates; has description; high-value type,52.007712,4.707679,Gouda Town Hall (Stadhuis),europe/netherlands/gouda/stadhuis,0.534,0.466,0.466,needs_external_source,,https://en.wikivoyage.org/wiki/Gouda
asia/china/hubei/xiangyang,Xiangyang,Xiangyang,5,22,do,襄阳古城墙夜游,0.85,candidate,has coordinates; has description; high-value type,32.02,112.135,,,0.0,,5.329,needs_external_source,,https://en.wikivoyage.org/wiki/Xiangyang
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,see,Qingfeng Building,0.85,candidate,has coordinates; has description; high-value type,38.30514,116.85358,Cangzhou Iron Lion,asia/china/hebei/cangzhou/cangzhou_iron_lion,0.286,2.187,2.187,needs_external_source,,https://en.wikivoyage.org/wiki/Cangzhou
asia/northkorea/pyongyang,Pyongyang,Pyongyang,6,67,see,Chollima Statue,0.85,candidate,has coordinates; has description; high-value type,39.03432,125.752771,Kim Il-sung Square,asia/northkorea/pyongyang/kim_il_sung_square,0.364,1.648,2.088,needs_external_source,,https://en.wikivoyage.org/wiki/Pyongyang
asia/china/gansu/tianshui,Tianshui,Tianshui,4,27,do,Tianshui Folk Culture Village,0.85,candidate,has coordinates; has description; high-value type,34.5767,105.73,Tianshui City Museum,asia/china/gansu/tianshui/tianshui_city_museum,0.52,0.48,0.48,needs_external_source,,https://en.wikivoyage.org/wiki/Tianshui
australiaandpacific/australia/northernterritory/darwin,Darwin,Darwin,22,61,see,Lake Alexander,0.85,candidate,has coordinates; has description; high-value type,-12.414147,130.831738,Kafe Neon,australiaandpacific/australia/northernterritory/darwin/kafeneon,0.435,5.68,5.246,needs_external_source,,https://en.wikivoyage.org/wiki/Darwin
asia/india/karnataka/hampi,Hampi,Hampi,10,26,see,Mahanavmi Dibba,0.85,candidate,has coordinates; has description; high-value type,15.31597,76.47082,Matanga Hill,asia/india/karnataka/hampi/matanga_hill,0.519,2.612,2.443,needs_external_source,,https://en.wikivoyage.org/wiki/Hampi
northamerica/canada/alberta/banff,Banff,Banff,45,93,do,Mount Norquay Road,0.85,candidate,has coordinates; has description; high-value type,51.19,-115.5837,Moraine Lake,northamerica/canada/alberta/banff/moraine_lake,0.4,44.399,1.847,needs_external_source,,https://en.wikivoyage.org/wiki/Banff
asia/india/maharashtra/nagpur,Nagpur,Nagpur,8,31,see,Diamond Crossing,0.85,candidate,has coordinates; has description; high-value type,21.15836,79.08983,Raman Science Centre,asia/india/maharashtra/nagpur/raman_science_centre,0.333,1.455,1.246,needs_external_source,,https://en.wikivoyage.org/wiki/Nagpur
northamerica/unitedstates/california/coronado,Coronado,Coronado (California),7,23,do,Glorietta Bay,0.85,candidate,has coordinates; has description; high-value type,32.67819,-117.17235,Coronado Beach,northamerica/unitedstates/california/coronado/coronado_beach,0.444,0.81,1.537,needs_external_source,,https://en.wikivoyage.org/wiki/Coronado_%28California%29
europe/romania/arad,Arad,Arad (Romania),4,24,see,Bezdin Monastery,0.85,candidate,has coordinates; has description; high-value type,46.13985,21.027024,Ioan Slavici Classical Theatre,europe/romania/arad/slavici_theatre,0.348,22.508,22.881,needs_external_source,,https://en.wikivoyage.org/wiki/Arad_%28Romania%29
africa/tanzania/bagamoyo,Bagamoyo,Bagamoyo,9,24,do,Crocodile Farm,0.85,candidate,has coordinates; has description; high-value type,-6.4566,38.9302,Bagamoyo College of Arts (TaSUBa),africa/tanzania/bagamoyo/college_of_arts,0.474,2.287,3.095,needs_external_source,,https://en.wikivoyage.org/wiki/Bagamoyo
europe/denmark/fredericia,Fredericia,Fredericia,9,20,do,Fishing: Palsgaard Lake,0.85,candidate,has coordinates; has description; high-value type,55.6166,9.772,Madsby Park,europe/denmark/fredericia/madsbyparken,0.364,7.032,5.79,needs_external_source,,https://en.wikivoyage.org/wiki/Fredericia
northamerica/mexico/puerto_morelos,Puerto Morelos,Puerto Morelos,0,23,see,Faro Inclinado,0.85,candidate,has coordinates; has description; high-value type,20.847898408944804,-86.87510984612067,,,0.0,,0.357,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Morelos
africa/nigeria/akure,Akure,Akure,5,22,do,Egungun Festival,0.85,candidate,has coordinates; has description; high-value type,7.2213,5.2134,Akure Township Stadium,africa/nigeria/akure/akure_township_stadium,0.263,4.903,4.127,needs_external_source,,https://en.wikivoyage.org/wiki/Akure
asia/china/shaanxi/tongchuan,Tongchuan,Tongchuan,3,29,do,Yaowang Health and Wellness Culture Festival,0.85,candidate,has coordinates; has description; high-value type,34.8167,109.045,Yaowang Mountain,asia/china/shaanxi/tongchuan/yaowang_mountain,0.367,11.749,13.635,needs_external_source,,https://en.wikivoyage.org/wiki/Tongchuan
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,do,Minghu Ju,0.85,candidate,has coordinates; has description; high-value type,36.67238,117.02204,Daming Lake,asia/china/shandong_province/jinan/daming_lake,0.5,2.137,3.058,needs_external_source,,https://en.wikivoyage.org/wiki/Jinan
asia/philippines/iloilo_city,Iloilo City,Iloilo City,6,86,see,Iloilo Customs House,0.85,candidate,has coordinates; has description; high-value type,10.694172,122.572156,Iloilo Museum of Contemporary Art (ILOMOCA),asia/philippines/iloilo_city/ilomoca,0.415,3.725,3.096,needs_external_source,,https://en.wikivoyage.org/wiki/Iloilo_City
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Spring Dawn at Su Causeway,0.85,candidate,has coordinates; has description; high-value type,30.2484,120.1327,China National Silk Museum,asia/china/zhejiang/hangzhou/china_national_silk_museum,0.462,2.951,6.968,needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
southamerica/paraguay/ciudaddeleste,Ciudad del Este,Ciudad del Este,4,23,see,Scale model of the dam,0.85,candidate,has coordinates; has description; high-value type,-25.4417592,-54.6356474,Cathedral of Saint Blaise,southamerica/paraguay/ciudaddeleste/cathedral_of_saint_blaise,0.465,7.946,8.565,needs_external_source,,https://en.wikivoyage.org/wiki/Ciudad_del_Este
europe/netherlands/hoorn,Hoorn,Hoorn,4,9,see,Oosterpoort,0.85,candidate,has coordinates; has description; high-value type,52.64102,5.06869,Hoofdtoren,europe/netherlands/hoorn/hoofdtoren,0.476,0.924,0.681,needs_external_source,,https://en.wikivoyage.org/wiki/Hoorn
asia/indonesia/java/semarang,Semarang,Semarang,8,164,do,Burung Kuntul Banteng Raider,0.85,candidate,has coordinates; has description; high-value type,-7.054312,110.415937,Tawang Railway Station,asia/indonesia/java/semarang/semarang_tawang_station,0.32,10.083,7.148,needs_external_source,,https://en.wikivoyage.org/wiki/Semarang
southamerica/brazil/ilhabela,Ilhabela,Ilhabela,11,26,see,Indaiúba,0.85,candidate,has coordinates; has description; high-value type,-23.9089786,-45.3054829,Praia do Jabaquara,southamerica/brazil/ilhabela/praia_do_jabaquara,0.385,19.248,12.114,needs_external_source,,https://en.wikivoyage.org/wiki/Ilhabela
