world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/jiangsu_province/wuxi,Wuxi,Wuxi,12,32,do,a beautiful place,0.85,candidate,has coordinates; has description; high-value type,31.42592,120.10093,Wuxi Spareribs (Wuxi Paigu),asia/china/jiangsu_province/wuxi/wuxi_spareribs,0.414,24.804,21.072,needs_external_source,,https://en.wikivoyage.org/wiki/Wuxi
southamerica/brazil/fortaleza,Fortaleza,Fortaleza,10,87,see,Praça Portugal,0.85,candidate,has coordinates; has description; high-value type,-3.7333,-38.4973,Praia do Futuro,southamerica/brazil/fortaleza/praia_do_futuro,0.519,5.567,2.737,needs_external_source,,https://en.wikivoyage.org/wiki/Fortaleza
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Ulrepforte,0.85,candidate,has coordinates; has description; high-value type,50.925353,6.950636,Nature Rambles,europe/germany/northrhinewestphalia/cologne/naturerambles,0.417,,1.588,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
asia/india/westbengal/barrackpore,Barrackpore,Barrackpore,4,13,see,Lady Canning's Grave,0.85,candidate,has coordinates; has description; high-value type,22.7571,88.3598,Gandhi Ghat,asia/india/westbengal/barrackpore/gandhi_ghat,0.387,1.423,1.988,needs_external_source,,https://en.wikivoyage.org/wiki/Barrackpore
asia/japan/kyushu/fukuoka_city,Fukuoka,Fukuoka,10,85,see,Hakata Port Tower,0.85,candidate,has coordinates; has description; high-value type,33.604444,130.397778,Fukuoka Tower,asia/japan/kyushu/fukuoka_city/fukuoka_tower,0.533,4.453,1.704,needs_external_source,,https://en.wikivoyage.org/wiki/Fukuoka
europe/poland/lodz,Łódź,Łódź,7,114,see,Karol Scheibler's Chapel,0.85,candidate,has coordinates; has description; high-value type,51.776617,19.433292,Central Museum of Textiles,europe/poland/lodz/textile_museum,0.36,3.998,1.793,needs_external_source,,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Bellas Artes,0.85,candidate,has coordinates; has description; high-value type,32.66266,-115.48253,Plaza de los Tres Poderes,northamerica/mexico/mexicali/plaza_tres_poderes,0.4,1.853,5.082,needs_external_source,,https://en.wikivoyage.org/wiki/Mexicali
europe/finland/oulu,Oulu,Oulu,19,84,see,The Groke Stone,0.85,candidate,has coordinates; has description; high-value type,64.999167,25.451474,Sokeri-Jussin Kievari,europe/finland/oulu/sokeri_jussin_kievari,0.438,1.272,1.657,needs_external_source,,https://en.wikivoyage.org/wiki/Oulu
europe/croatia/sibenik,Sibenik,Šibenik,17,18,see,Trajektno pristanište,0.85,candidate,has coordinates; has description; high-value type,43.730282,15.89432,Azimut,europe/croatia/sibenik/azimut,0.462,0.538,0.425,needs_external_source,,https://en.wikivoyage.org/wiki/%C5%A0ibenik
asia/myanmar/inlelake,Inle Lake,Inle Lake,1,42,see,Maing Thauk Monastery & Pagoda,0.85,candidate,has coordinates; has description; high-value type,20.5779115,96.9601714,Shwe Inn Thein,asia/myanmar/inlelake/shwe_inn_thein,0.304,14.943,6.155,needs_external_source,,https://en.wikivoyage.org/wiki/Inle_Lake
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Kalurghat Bridge,0.85,candidate,has coordinates; has description; high-value type,22.3957156,91.8893675,Court Building,asia/bangladesh/chittagong/court_building,0.533,8.809,8.907,needs_external_source,,https://en.wikivoyage.org/wiki/Chittagong
europe/germany/lowersaxony/east_frisian_islands/baltrum,Baltrum,Baltrum,4,7,see,Alte Inselkirche Baltrum,0.85,candidate,has coordinates; has description; high-value type,53.72788,7.367041,North Beach,europe/germany/lowersaxony/east_frisian_islands/baltrum/north_beach,0.343,,2.134,needs_external_source,,https://en.wikivoyage.org/wiki/Baltrum
europe/portugal/sintra,Sintra,Sintra,7,17,see,Cabo da Roca,0.85,candidate,has coordinates; has description; high-value type,38.7833,-9.5,Quinta da Regaleira,europe/portugal/sintra/quinta_da_regaleira,0.452,9.1,14.06,needs_external_source,,https://en.wikivoyage.org/wiki/Sintra
