world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/vietnam/phu_quoc,Phu Quoc,Phu Quoc,13,28,see,Sunworld Cable Car,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.027080392845733,104.00733483872413,Fish Sauce Factories,asia/vietnam/phu_quoc/fish_sauce_factory,0.368,21.56,29.336,has_external_url; day_trip_review,https://honthom.sunworld.vn/,https://en.wikivoyage.org/wiki/Phu_Quoc
europe/greece/epirus,Epirus,Epirus,5,13,see,Nekromanteion,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.236211,20.534519,Voidomatis River Rafting,europe/greece/epirus/voidomatis_rafting,0.324,78.238,39.462,has_external_url; day_trip_review,http://odysseus.culture.gr/h/3/eh351.jsp?obj_id=13721,https://en.wikivoyage.org/wiki/Epirus
australiaandpacific/australia/northernterritory/darwin,Darwin,Darwin,22,61,do,Territory Wildlife Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-12.7102,130.99,Bicentennial Park,australiaandpacific/australia/northernterritory/darwin/bicentennial_park,0.45,32.308,32.134,has_external_url; day_trip_review,http://www.territorywildlifepark.com.au,https://en.wikivoyage.org/wiki/Darwin
asia/china/hunan/changsha,Changsha,Changsha,50,47,see,Hua Ming Lou,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.034099,112.64691,Hongshao Rou (Mao's Red-Braised Pork),asia/china/hunan/changsha/braised_pork_dish,0.5,37.205,36.669,has_external_url; day_trip_review,https://www.yichangly.com/tour/show-246.html,https://en.wikivoyage.org/wiki/Changsha
europe/finland/tampere,Tampere,Tampere,61,207,see,Milk Platform Museum,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.751785,23.935506,Postal Museum,europe/finland/tampere/tampere_postal_museu,0.545,29.327,29.7,has_external_url; day_trip_review,https://www.maitolaiturimuseo.net/english.htm,https://en.wikivoyage.org/wiki/Tampere
northamerica/mexico/merida,Mérida,Mérida (Mexico),23,119,do,Hacienda Sotuta de Peón,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.74176,-89.57555,Henequen Haciendas,northamerica/mexico/merida/haciendas,0.474,20.251,25.578,has_external_url; day_trip_review,https://javierla5ta.wixsite.com/sotuta,https://en.wikivoyage.org/wiki/M%C3%A9rida_%28Mexico%29
europe/finland/lahti,Lahti,Lahti,11,61,do,Päijänne National Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.373,25.444,Lanu Park,europe/finland/lahti/lanu_park,0.387,43.888,44.944,has_external_url; day_trip_review,http://www.nationalparks.fi/paijannenp,https://en.wikivoyage.org/wiki/Lahti
northamerica/unitedstates/oregon/salem,Salem,Salem (Oregon),6,36,see,Silver Falls,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.86968,-122.63696,Wild Pear,northamerica/unitedstates/oregon/salem/wild_pear,0.381,32.449,32.143,has_external_url; day_trip_review,https://stateparks.oregon.gov/index.cfm?do=park.profile&parkId=151,https://en.wikivoyage.org/wiki/Salem_%28Oregon%29
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,see,Zibo Shi Wenhui taoci Bowuguan,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.4951,117.8587,Zibo Barbecue,asia/china/shandong_province/zibo/zibo_barbecue,0.326,36.308,36.308,has_external_url; day_trip_review,http://www.whmuseum.org.cn/,https://en.wikivoyage.org/wiki/Zibo
asia/thailand/nongkhai,Nong Khai,Nong Khai,6,42,see,Phu Phra Bat Historical Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,17.733333,102.358333,Tha Sadet Market,asia/thailand/nongkhai/tha_sadet_market,0.409,44.519,43.995,has_external_url; day_trip_review,http://www.mutmee.com/040010_historical_park.htm,https://en.wikivoyage.org/wiki/Nong_Khai
