world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/iran/tehran,Tehran,Tehran,44,119,do,Talar Vahdat Theater,0.81,candidate,has coordinates; high-value type; has external URL,35.699592,51.411725,Restaurante Iran (Lalezar),asia/iran/tehran/restaurant_iran,0.484,0.516,2.305,has_external_url,http://www.talarvahdat.com/,https://en.wikivoyage.org/wiki/Tehran
europe/germany/berlin,Berlin,Berlin,161,123,see,Israel,0.81,candidate,has coordinates; high-value type; has external URL,52.4836,13.2888,Prater,europe/germany/berlin/prater,0.5,10.315,8.119,has_external_url,http://embassies.gov.il/berlin/,https://en.wikivoyage.org/wiki/Berlin
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,see,Java Joe's Siler,0.81,candidate,has coordinates; high-value type; has external URL,35.6586622,-105.9934981,Santa Fe Railyard,northamerica/unitedstates/newmexico/santafe/santa_fe_railyard,0.485,4.8,5.919,has_external_url,http://www.javajoessantafenm.com/,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29
northamerica/unitedstates/arizona/scottsdale,Scottsdale,Scottsdale (Arizona),18,37,do,Cactus League Game,0.81,candidate,has coordinates; high-value type; has external URL,33.545526,-111.884683,OdySea Aquarium,northamerica/unitedstates/arizona/scottsdale/odysea_aquarium,0.364,1.203,6.872,has_external_url,http://www.cactusleague.com,https://en.wikivoyage.org/wiki/Scottsdale_%28Arizona%29
europe/unitedkingdom/england/suffolk/lowestoft,Lowestoft,Lowestoft,7,20,see,Alexandra Road Surgery,0.81,candidate,has coordinates; high-value type; has external URL,52.4804,1.7524,Claremont Pier,europe/unitedkingdom/england/suffolk/lowestoft/claremont_pier,0.389,1.684,0.429,has_external_url,http://www.alexandracrestviewsurgeries.co.uk,https://en.wikivoyage.org/wiki/Lowestoft
europe/france/midi/languedoc/toulouse,Toulouse,Toulouse,8,49,see,Portugal,0.81,candidate,has coordinates; high-value type; has external URL,43.6013,1.461,Pont Neuf,europe/france/midi/languedoc/toulouse/pont_neuf,0.471,1.809,1.405,has_external_url,https://www.portaldascomunidades.mne.pt/pt/,https://en.wikivoyage.org/wiki/Toulouse
asia/indonesia/maluku/ambon,Ambon,Ambon,5,38,see,RSUD Dr. M. Haulussy,0.81,candidate,has coordinates; high-value type; has external URL,-3.708563,128.165563,Museum Siwalima,asia/indonesia/maluku/ambon/siwalima_museum,0.333,0.667,2.03,has_external_url,https://www.rsudhaulussy.malukuprov.go.id/,https://en.wikivoyage.org/wiki/Ambon
europe/ireland/galway,Galway,Galway,11,67,see,Cloonacauneen,0.81,candidate,has coordinates; high-value type; has external URL,53.323,-8.988,Galway Cathedral,europe/ireland/galway/galway_cathedral,0.276,7.035,6.757,has_external_url,https://www.clooncastle.com/,https://en.wikivoyage.org/wiki/Galway
europe/greece/poros,Poros,Poros,3,42,see,Moto Stelios (Askeli),0.81,candidate,has coordinates; high-value type; has external URL,37.5096801,23.4704044,Sanctuary of Poseidon,europe/greece/poros/sanctuary_of_poseidon,0.242,1.258,1.964,has_external_url,http://www.motostelios.gr/,https://en.wikivoyage.org/wiki/Poros
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,RSI. Sultan Agung,0.81,candidate,has coordinates; high-value type; has external URL,-6.955813,110.461562,Lawang Sewu,asia/indonesia/java/semarang/lawang_sewu,0.37,6.432,5.745,has_external_url,https://www.rsisultanagung.co.id/,https://en.wikivoyage.org/wiki/Semarang
northamerica/unitedstates/arizona/flagstaff,Flagstaff,Flagstaff,12,67,see,Picture Canyon Natural and Cultural Preserve,0.81,candidate,has coordinates; high-value type; has external URL,35.22903,-111.55347,Walnut Canyon National Monument,northamerica/unitedstates/arizona/flagstaff/walnut_canyon,0.48,8.203,9.548,has_external_url,https://www.flagstaff.az.gov/2881/Picture-Canyon,https://en.wikivoyage.org/wiki/Flagstaff
asia/indonesia/java/surabaya,Surabaya,Surabaya,12,138,see,East Timor,0.81,candidate,has coordinates; high-value type; has external URL,-7.293345,112.717217,Masjid Ampel,asia/indonesia/java/surabaya/masjid_ampel,0.364,7.561,5.703,has_external_url,http://timor-leste.gov.tl/?p=142&lang=en#id,https://en.wikivoyage.org/wiki/Surabaya
northamerica/unitedstates/indiana/crawfordsville,Crawfordsville,Crawfordsville (Indiana),5,5,do,Ironman Raceway,0.81,candidate,has coordinates; high-value type; has external URL,40.005556,-86.929167,Sugar Creek & State Parks,northamerica/unitedstates/indiana/crawfordsville/sugar_creek,0.333,5.196,4.658,has_external_url,https://ironmanraceway.com/,https://en.wikivoyage.org/wiki/Crawfordsville_%28Indiana%29
northamerica/elsalvador/sansalvador,San Salvador,San Salvador,8,55,do,Teatro Presidente,0.81,candidate,has coordinates; high-value type; has external URL,13.6934,-89.241491,Mercado Central,northamerica/elsalvador/sansalvador/mercado_central,0.438,5.359,2.517,has_external_url,http://www.cultura.gob.sv/tag/teatro-presidente/,https://en.wikivoyage.org/wiki/San_Salvador
northamerica/unitedstates/ohio/newark,Newark,Newark (Ohio),4,11,do,Blackhand Gorge State Nature Preserve,0.81,candidate,has coordinates; high-value type; has external URL,40.056,-82.2485,Longaberger Basket Building,northamerica/unitedstates/ohio/newark/longaberger_basket_building,0.281,8.28,13.007,has_external_url,http://naturepreserves.ohiodnr.gov/blackhandgorge,https://en.wikivoyage.org/wiki/Newark_%28Ohio%29
europe/slovakia/kosice,Košice,Košice,7,153,see,Foreigner's police,0.81,candidate,has coordinates; high-value type; has external URL,48.71506,21.23575,Executioner's Bastion,europe/slovakia/kosice/executioners_bastion,0.462,2.027,1.707,has_external_url,http://www.minv.sk/?ocp-1,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
australiaandpacific/newzealand/timaru,Timaru,Timaru,7,31,do,CBay Aquatic Centre,0.81,candidate,has coordinates; high-value type; has external URL,-44.38592,171.24327,Aigantighe Art Gallery,australiaandpacific/newzealand/timaru/aigantighe_art_gallery,0.413,0.587,1.0,has_external_url,https://www.cbaytimaru.co.nz/,https://en.wikivoyage.org/wiki/Timaru
