world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/maryland/annapolis,Annapolis,Annapolis,18,29,do,Maryland Hall for the Creative Arts,0.81,candidate,has coordinates; high-value type; has external URL,38.9739,-76.5056,Maryland State House,northamerica/unitedstates/maryland/annapolis/maryland_state_house,0.549,1.37,1.227,has_external_url,https://www.marylandhall.org,https://en.wikivoyage.org/wiki/Annapolis
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,see,Nebraska Methodist College,0.81,candidate,has coordinates; high-value type; has external URL,41.26353,-96.0484,Bohemian Cafe,northamerica/unitedstates/nebraska/omaha/bohemiancafe,0.308,9.551,9.212,has_external_url,https://www.methodistcollege.edu/,https://en.wikivoyage.org/wiki/Omaha
northamerica/unitedstates/wyoming/cody,Cody,Cody,13,14,see,Heart Mountain Interpretive Center,0.81,candidate,has coordinates; high-value type; has external URL,44.671667,-108.946389,Chamberlin Inn,northamerica/unitedstates/wyoming/cody/chamberlin_inn,0.375,18.604,18.36,has_external_url,http://www.heartmountain.org/,https://en.wikivoyage.org/wiki/Cody
europe/poland/warsaw,Warsaw,Warsaw,56,70,see,Sweden,0.81,candidate,has coordinates; high-value type; has external URL,52.21336,21.0253,Saxon Garden (Ogród Saski),europe/poland/warsaw/saxony_garden,0.444,3.48,3.835,has_external_url,http://www.swedenabroad.com/Warszawa/,https://en.wikivoyage.org/wiki/Warsaw
europe/netherlands/aalsmeer,Aalsmeer,Aalsmeer,3,5,see,Floriworld,0.81,candidate,has coordinates; high-value type; has external URL,52.25963,4.78682,Royal FloraHolland Flower Auction,europe/netherlands/aalsmeer/royal_floraholland,0.326,2.633,2.677,has_external_url,https://floriworld.nl/,https://en.wikivoyage.org/wiki/Aalsmeer
northamerica/canada/britishcolumbia/nelson,Nelson,Nelson (British Columbia),13,43,see,Practicar Car and Truck Rentals,0.81,candidate,has coordinates; high-value type; has external URL,49.50315,-117.27906,Whitewater Ski Resort,northamerica/canada/britishcolumbia/nelson/whitewater_ski_resort,0.346,12.766,1.211,has_external_url,https://www.practicar.ca/,https://en.wikivoyage.org/wiki/Nelson_%28British_Columbia%29
northamerica/unitedstates/florida/gainesville,Gainesville,Gainesville (Florida),8,43,see,Curtis M. Phillips Center for the Performing Arts,0.81,candidate,has coordinates; high-value type; has external URL,29.6376,-82.3642,Samuel P. Harn Museum of Art,northamerica/unitedstates/florida/gainesville/harn_museum_of_art,0.434,0.566,4.113,has_external_url,http://performingarts.ufl.edu/,https://en.wikivoyage.org/wiki/Gainesville_%28Florida%29
northamerica/unitedstates/louisiana/bossiercity,Bossier City,Bossier City,14,12,see,Red River National Wildlife Refuge,0.81,candidate,has coordinates; high-value type; has external URL,32.447504,-93.672307,Bossier City Municipal Building,northamerica/unitedstates/louisiana/bossiercity/bossier_city_municipal_building,0.431,9.435,9.536,has_external_url,https://www.fws.gov/refuge/red_river,https://en.wikivoyage.org/wiki/Bossier_City
asia/thailand/bangkok,Bangkok,Bangkok,108,116,see,Luxembourg,0.81,candidate,has coordinates; high-value type; has external URL,13.7254,100.5444,Lak Muang,asia/thailand/bangkok/lak_muang,0.421,6.124,5.743,has_external_url,https://bangkok.mae.lu/en.html,https://en.wikivoyage.org/wiki/Bangkok
northamerica/unitedstates/connecticut/middletown,Middletown,Middletown (Connecticut),9,20,see,Wadsworth Mansion,0.81,candidate,has coordinates; high-value type; has external URL,41.53548,-72.67609,Samuel Wadsworth Russell House,northamerica/unitedstates/connecticut/middletown/russell_house,0.511,3.235,3.645,has_external_url,https://www.wadsworthmansion.com/,https://en.wikivoyage.org/wiki/Middletown_%28Connecticut%29
northamerica/unitedstates/nevada/virginiacity,Virginia City,Virginia City (Nevada),5,26,see,Historical Society of Dayton Valley,0.81,candidate,has coordinates; high-value type; has external URL,39.237883,-119.592582,Comstock Mine Tours,northamerica/unitedstates/nevada/virginiacity/comstock_mine_tours,0.37,9.239,9.475,has_external_url,http://daytonnvhistory.org/,https://en.wikivoyage.org/wiki/Virginia_City_%28Nevada%29
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Laos,0.81,candidate,has coordinates; high-value type; has external URL,59.32323,17.99206,Gamla Stan,europe/sweden/stockholm/gamla_stan,0.429,4.521,4.488,has_external_url,http://www.laosembassystockholm.egnaverk.se/,https://en.wikivoyage.org/wiki/Stockholm
