world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/iran/khoram_abad,Khorramabad,Khorramabad,4,9,see,Gilvaran Cave,0.81,candidate,has coordinates; high-value type; strong travel term,33.470094,48.315611,Falak-ol-Aflak Castle,asia/iran/khoram_abad/falak_ol_aflak,0.353,3.817,4.215,needs_external_source,,https://en.wikivoyage.org/wiki/Khorramabad
europe/serbia/zlatibor,Zlatibor,Zlatibor,13,14,see,Old Wooden Church,0.81,candidate,has coordinates; high-value type; strong travel term,43.65208,19.58336,Mokra Gora Station Restaurant,europe/serbia/zlatibor/mokra_gora_station_restaurant,0.348,13.479,3.399,needs_external_source,,https://en.wikivoyage.org/wiki/Zlatibor
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,see,The Lagoon Park,0.81,candidate,has coordinates; high-value type; strong travel term,6.13378,116.136545,Handicraft Market,asia/malaysia/kotakinabalu/handicraft_market,0.429,18.887,18.696,needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu
europe/slovakia/banskabystrica,Banská Bystrica,Banská Bystrica,5,32,do,Tajovského park,0.81,candidate,has coordinates; high-value type; strong travel term,48.7368,19.1378,Námestie SNP (Slovak National Uprising Square),europe/slovakia/banskabystrica/namestie_snp,0.432,0.568,1.534,needs_external_source,,https://en.wikivoyage.org/wiki/Bansk%C3%A1_Bystrica
asia/philippines/siquijor,Siquijor,Siquijor,10,24,see,Our Lady of the Divine Providence church,0.81,candidate,has coordinates; high-value type; strong travel term,9.1970728,123.655146,Salagdoong Beach,asia/philippines/siquijor/salagdoong_beach,0.346,4.378,8.464,needs_external_source,,https://en.wikivoyage.org/wiki/Siquijor
europe/netherlands/utrecht,Utrecht,Utrecht,14,77,do,Park Lepelenburg,0.81,candidate,has coordinates; high-value type; strong travel term,52.089386,5.128437,Spoorwegmuseum (Railway Museum),europe/netherlands/utrecht/spoorwegmuseum,0.539,0.461,0.492,needs_external_source,,https://en.wikivoyage.org/wiki/Utrecht
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,see,Waterfront Park,0.81,candidate,has coordinates; high-value type; strong travel term,38.26,-85.7446,Falls of the Ohio State Park,northamerica/unitedstates/kentucky/louisville/falls_of_the_ohio,0.41,5.103,1.444,needs_external_source,,https://en.wikivoyage.org/wiki/Louisville
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,St. Nicholas church,0.81,candidate,has coordinates; high-value type; strong travel term,56.42787,40.43562,Monastery of Saint Euthymius,europe/russia/suzdal/monastery_of_saint_euthymius,0.331,0.669,1.243,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal
asia/thailand/kosamet,Ko Samet,Ko Samet,5,26,see,Noi Na Beach,0.81,candidate,has coordinates; high-value type; strong travel term,12.58116,101.45166,Hat Sai Kaew (Diamond Beach),asia/thailand/kosamet/hat_sai_kaew,0.333,1.522,3.23,needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Samet
europe/ireland/waterford,Waterford,Waterford,6,48,do,Walsh Park,0.81,candidate,has coordinates; high-value type; strong travel term,52.25478,-7.12901,Bishop's Palace,europe/ireland/waterford/bishops_palace,0.4,1.634,1.354,needs_external_source,,https://en.wikivoyage.org/wiki/Waterford
europe/ireland/cashel,Cashel,Cashel,4,13,see,Golden Castle,0.81,candidate,has coordinates; high-value type; strong travel term,52.4971,-7.9832,Rock of Cashel,europe/ireland/cashel/rock_of_cashel,0.444,6.921,6.584,needs_external_source,,https://en.wikivoyage.org/wiki/Cashel
africa/malawi/lilongwe,Lilongwe,Lilongwe,6,16,see,World War I Memorial tower and statue of Hastings Kamuzu Banda,0.81,candidate,has coordinates; high-value type; strong travel term,-13.9461,33.7847,Old Town Market,africa/malawi/lilongwe/old_town_market,0.286,4.29,2.162,needs_external_source,,https://en.wikivoyage.org/wiki/Lilongwe
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Amgalan Botanical Garden,0.81,candidate,has coordinates; high-value type; strong travel term,47.910082,107.000472,Zaisan Memorial,asia/mongolia/ulaanbaatar/zaisan_memorial,0.41,6.937,6.238,needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar
europe/spain/andalucia/algeciras,Algeciras,Algeciras,4,17,do,Rinconcillo beach,0.81,candidate,has coordinates; high-value type; strong travel term,36.156774,-5.44411,Marinid Walls,europe/spain/andalucia/algeciras/marinid_walls,0.4,2.554,2.859,needs_external_source,,https://en.wikivoyage.org/wiki/Algeciras
northamerica/unitedstates/florida/daytona_beach,Daytona Beach,Daytona Beach,17,102,see,Derbyshire Park,0.81,candidate,has coordinates; high-value type; strong travel term,29.2219,-81.0564,The Oyster Pub,northamerica/unitedstates/florida/daytona_beach/oyster_pub,0.4,4.364,3.487,needs_external_source,,https://en.wikivoyage.org/wiki/Daytona_Beach
asia/taiwan/torokogorge,Taroko Gorge,Taroko Gorge,9,23,see,Xiangde Temple,0.81,candidate,has coordinates; high-value type; strong travel term,24.1799,121.4962,Tianxiang,asia/taiwan/torokogorge/tianxiang,0.435,5.034,12.545,needs_external_source,,https://en.wikivoyage.org/wiki/Taroko_Gorge
asia/indonesia/irianjaya/sorong,Sorong,Sorong,6,13,see,Tanjung Batu Beach,0.81,candidate,has coordinates; high-value type; strong travel term,-0.816188,131.253562,Tembok Berlin Beach,asia/indonesia/irianjaya/sorong/tembok_berlin_beach,0.486,7.597,5.251,needs_external_source,,https://en.wikivoyage.org/wiki/Sorong
europe/greece/athens,Athens,Athens,48,150,see,Digital Museum Plato,0.81,candidate,has coordinates; high-value type; strong travel term,37.9944535,23.7073032,Acropolis Museum,europe/greece/athens/acropolis_museum,0.5,3.418,3.199,needs_external_source,,https://en.wikivoyage.org/wiki/Athens
europe/armenia/ani,Ani,Ani,8,14,see,Church of the Holy Redeemer,0.81,candidate,has coordinates; high-value type; strong travel term,40.5071,43.5768,Central Bank of Armenia,europe/armenia/central_bank_of_ar,0.391,87.272,0.341,needs_external_source,,https://en.wikivoyage.org/wiki/Ani
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Crookes Valley Park,0.81,candidate,has coordinates; high-value type; strong travel term,53.383,-1.491,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.25,1.395,1.403,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
europe/isleofman/douglas,Douglas,Douglas (Isle of Man),5,30,see,Castle Mona,0.81,candidate,has coordinates; high-value type; strong travel term,54.1619,-4.4733,TT Motorcycle Races,europe/isleofman/douglas/tt_motorcycle_races,0.333,1.351,1.381,needs_external_source,,https://en.wikivoyage.org/wiki/Douglas_%28Isle_of_Man%29
europe/unitedkingdom/england/manchester_liverpool_and_north_west/bolton,Bolton,Bolton,14,32,do,Moses Gate Country Park,0.81,candidate,has coordinates; high-value type; strong travel term,53.5527,-2.38033,Bolton Market,europe/unitedkingdom/england/manchester_liverpool_and_north_west/bolton/bolton_market,0.444,4.408,4.344,needs_external_source,,https://en.wikivoyage.org/wiki/Bolton
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,Ulaanbaatar Park,0.81,candidate,has coordinates; high-value type; strong travel term,47.909162,106.916782,Sükhbaatar Square,asia/mongolia/ulaanbaatar/sukhbaatar_square,0.545,1.082,1.029,needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar
asia/mongolia/erdenet,Erdenet,Erdenet,0,6,see,Friendship Monument,0.81,candidate,has coordinates; high-value type; strong travel term,49.034604,104.06094,,,0.0,,1.412,needs_external_source,,https://en.wikivoyage.org/wiki/Erdenet
