world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/gujarat/patan,Patan,Patan (Gujarat),13,23,see,Regional Science Museum,0.81,candidate,has coordinates; high-value type; strong travel term,23.889184,72.138585,Patan Patola Heritage Museum,asia/india/gujarat/patan/patan_patola_heritage_museum,0.392,4.634,4.571,needs_external_source,,https://en.wikivoyage.org/wiki/Patan_%28Gujarat%29
europe/unitedkingdom/scotland/inverness,Inverness,Inverness,9,41,see,Druid Temple,0.81,candidate,has coordinates; high-value type; strong travel term,57.4494,-4.1926,Cawdor Castle,europe/unitedkingdom/scotland/inverness/cawdor_castle,0.48,18.461,3.841,needs_external_source,,https://en.wikivoyage.org/wiki/Inverness
europe/unitedkingdom/scotland/crieff,Crieff,Crieff,7,9,see,Muthill Old Church,0.81,candidate,has coordinates; high-value type; strong travel term,56.332,-3.833,Drummond Castle Gardens,europe/unitedkingdom/scotland/crieff/drummond_castle_gardens,0.293,,4.547,needs_external_source,,https://en.wikivoyage.org/wiki/Crieff
northamerica/mexico/sancristobaldelascasas,San Cristóbal de las Casas,San Cristóbal de las Casas,9,52,see,church,0.81,candidate,has coordinates; high-value type; strong travel term,16.76025,-92.723512,Catedral de San Cristóbal,northamerica/mexico/sancristobaldelascasas/catedral,0.214,9.422,9.55,needs_external_source,,https://en.wikivoyage.org/wiki/San_Crist%C3%B3bal_de_las_Casas
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Siyin Baptist Church,0.81,candidate,has coordinates; high-value type; strong travel term,16.7733,96.1705,Chin Tsong Palace,asia/myanmar/yangon/chin_tsong_palace,0.378,2.246,2.793,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
asia/turkey/olympos,Olympos,Olympos (Turkey),7,5,see,Çıralı mosque,0.81,candidate,has coordinates; high-value type; strong travel term,36.412,30.4753,Çıralı Beach,asia/turkey/olympos/cirali_beach,0.526,0.832,1.895,needs_external_source,,https://en.wikivoyage.org/wiki/Olympos_%28Turkey%29
asia/papuanewguinea/portmoresby,Port Moresby,Port Moresby,10,39,do,Hiking,0.81,candidate,has coordinates; high-value type; strong travel term,-9.5223,147.257,Vision City Mega Mall,asia/papuanewguinea/portmoresby/vision_city_mall,0.296,11.737,11.905,needs_external_source,,https://en.wikivoyage.org/wiki/Port_Moresby
northamerica/unitedstates/michigan/muskegon,Muskegon,Muskegon,13,29,do,Pere Marquette Beach,0.81,candidate,has coordinates; high-value type; strong travel term,43.2223,-86.3348,Muskegon State Park,northamerica/unitedstates/michigan/muskegon/muskegon_state_park,0.41,5.082,7.124,needs_external_source,,https://en.wikivoyage.org/wiki/Muskegon
asia/pakistan/lahore,Lahore,Lahore,68,87,see,National Museum of Science and Technology,0.81,candidate,has coordinates; high-value type; strong travel term,31.5767,74.3533,National History Museum,asia/pakistan/lahore/national_history_museum,0.469,4.408,3.903,needs_external_source,,https://en.wikivoyage.org/wiki/Lahore
northamerica/canada/britishcolumbia/victoria,Victoria,Victoria (British Columbia),12,87,do,Mount Douglas Park,0.81,candidate,has coordinates; high-value type; strong travel term,48.49363,-123.34342,Emily Carr House,northamerica/canada/britishcolumbia/victoria/emily_carr_house,0.294,8.771,7.435,needs_external_source,,https://en.wikivoyage.org/wiki/Victoria_%28British_Columbia%29
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,see,National Park,0.81,candidate,has coordinates; high-value type; strong travel term,47.898528,106.947667,National Museum of Mongolia,asia/mongolia/ulaanbaatar/national_museum,0.5,3.452,3.142,needs_external_source,,https://en.wikivoyage.org/wiki/Ulaanbaatar
asia/indonesia/java/karimunjawa,Karimunjawa,Karimunjawa,12,26,see,Batu Topeng Beach,0.81,candidate,has coordinates; high-value type; strong travel term,-5.838313,110.415063,Pulau Menjangan Besar,asia/indonesia/java/karimunjawa/menjangan_besar,0.526,7.083,4.997,needs_external_source,,https://en.wikivoyage.org/wiki/Karimunjawa
europe/finland/turku,Turku,Turku,5,262,do,Sorttamäki beach,0.81,candidate,has coordinates; high-value type; strong travel term,60.4084,22.2547,Forum Marinum,europe/finland/turku/forum_marinum,0.345,3.395,4.85,needs_external_source,,https://en.wikivoyage.org/wiki/Turku
northamerica/unitedstates/california/malibu,Malibu,Malibu,0,18,do,Westward Beach,0.81,candidate,has coordinates; high-value type; strong travel term,34.0044,-118.811,,,0.0,,3.74,needs_external_source,,https://en.wikivoyage.org/wiki/Malibu
europe/unitedkingdom/scotland/lochinver,Lochinver,Lochinver,5,16,see,Hermit's Castle,0.81,candidate,has coordinates; high-value type; strong travel term,58.1686,-5.3138,Lochinver Larder,europe/unitedkingdom/scotland/lochinver/lochinver_larder,0.387,4.586,4.658,needs_external_source,,https://en.wikivoyage.org/wiki/Lochinver
europe/ireland/galway,Galway,Galway,11,67,see,Merlin Park Woods,0.81,candidate,has coordinates; high-value type; strong travel term,53.2792,-8.9971,Charlie Byrne's Bookshop,europe/ireland/galway/charlie_byrnes,0.439,3.8,3.496,needs_external_source,,https://en.wikivoyage.org/wiki/Galway
europe/georgia/kutaisi,Kutaisi,Kutaisi,8,48,see,St Elijah the prophet church.,0.81,candidate,has coordinates; high-value type; strong travel term,42.25509,42.68809,Sataplia Nature Reserve,europe/georgia/kutaisi/sataplia_nature_reserve,0.383,6.088,2.327,needs_external_source,,https://en.wikivoyage.org/wiki/Kutaisi
asia/india/dadraandnagarhaveli/silvassa,Silvassa,Silvassa,3,12,see,Children's Park,0.81,candidate,has coordinates; high-value type; strong travel term,20.27256,73.00391,Our Lady of Piety Church,asia/india/dadraandnagarhaveli/silvassa/our_lady_of_piety_church,0.256,1.245,1.427,needs_external_source,,https://en.wikivoyage.org/wiki/Silvassa
europe/italy/lazio/gaeta__ulysses_ri,Gaeta,Gaeta,10,10,see,Saint Francis church,0.81,candidate,has coordinates; high-value type; strong travel term,41.2108314,13.5804754,San Giovanni a Mare,europe/italy/lazio/gaeta__ulysses_ri/san_giovanni_a_mare,0.486,0.652,0.77,needs_external_source,,https://en.wikivoyage.org/wiki/Gaeta
northamerica/mexico/puertovallarta,Puerto Vallarta,Puerto Vallarta,34,88,do,Trail to Las Carmelitas,0.81,candidate,has coordinates; high-value type; strong travel term,20.6131667,-105.2236994,Punta Mita,northamerica/mexico/puertovallarta/punta_mita,0.483,35.21,3.084,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Vallarta
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Great War Island,0.81,candidate,has coordinates; high-value type; strong travel term,44.831,20.434,Tri Šešira,europe/serbia/belgrade/tri_sesira,0.4,2.798,1.975,needs_external_source,,https://en.wikivoyage.org/wiki/Belgrade
asia/india/maharashtra/nagpur,Nagpur,Nagpur,8,31,see,Dragon Palace Temple,0.81,candidate,has coordinates; high-value type; strong travel term,21.208306,79.203083,Raman Science Centre,asia/india/maharashtra/nagpur/raman_science_centre,0.45,13.261,14.134,needs_external_source,,https://en.wikivoyage.org/wiki/Nagpur
europe/armenia/ani,Ani,Ani,8,14,see,Church of the Holy Apostles,0.81,candidate,has coordinates; high-value type; strong travel term,40.5087,43.5707,Zvartnots International Airport,europe/armenia/zvarnots,0.37,87.062,0.222,needs_external_source,,https://en.wikivoyage.org/wiki/Ani
europe/poland/czestochowa,Częstochowa,Częstochowa,5,20,see,Church of St Roque and St Sebastian,0.81,candidate,has coordinates; high-value type; strong travel term,50.8193,19.0866,Częstochowa Cathedral,europe/poland/czestochowa/czestochowa_cathedral,0.357,3.078,2.036,needs_external_source,,https://en.wikivoyage.org/wiki/Cz%C4%99stochowa
asia/turkey/cappadocia/goreme,Göreme,Göreme,9,21,see,Cave Castle,0.81,candidate,has coordinates; high-value type; strong travel term,38.6523,34.8443,Love Valley,asia/turkey/cappadocia/goreme/love_valley,0.545,2.339,1.707,needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%B6reme
europe/greece/thessaloniki,Thessaloniki,Thessaloniki,37,92,see,Municipal Gallery of Art,0.81,candidate,has coordinates; high-value type; strong travel term,40.5964,22.9557,Arch of Galerius,europe/greece/thessaloniki/arch_of_galerius,0.4,4.035,4.952,needs_external_source,,https://en.wikivoyage.org/wiki/Thessaloniki
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,do,Lampedžiai Lake Beach,0.81,candidate,has coordinates; high-value type; strong travel term,54.9123,23.8265,Laisves Aleja,europe/lithuania/kaunas/romuva_cinema,0.353,5.893,5.162,needs_external_source,,https://en.wikivoyage.org/wiki/Kaunas
europe/unitedkingdom/northernireland/belfast,Belfast,Belfast,25,97,see,Falls Park,0.81,candidate,has coordinates; high-value type; strong travel term,54.587,-5.98,Cave Hill Country Park,europe/unitedkingdom/northernireland/belfast/cave_hill,0.5,5.258,3.57,needs_external_source,,https://en.wikivoyage.org/wiki/Belfast
asia/china/guangdong/zhongshan,Zhongshan,Zhongshan,13,37,see,Baiyi Temple,0.81,candidate,has coordinates; high-value type; strong travel term,22.5341932717,113.3741515083,Shiqi roast pigeon,asia/china/guangdong/zhongshan/shiqi_roast_pigeon,0.4,2.165,2.655,needs_external_source,,https://en.wikivoyage.org/wiki/Zhongshan
asia/turkey/trabzon,Trabzon,Trabzon,5,75,see,Fatih Park,0.81,candidate,has coordinates; high-value type; strong travel term,41.0031,39.7314,Fatih Mosque (Chrysokephalos),asia/turkey/trabzon/fatih_mosque,0.545,1.011,0.326,needs_external_source,,https://en.wikivoyage.org/wiki/Trabzon
asia/china/zhejiang/mount-putuo,Mount Putuo,Mount Putuo,6,24,do,beach on the south side of the island,0.81,candidate,has coordinates; high-value type; strong travel term,29.9795,122.3847,Nanhai Guanyin Statue,asia/china/zhejiang/mount-putuo/nanhai_guanyin,0.32,3.358,3.358,needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Putuo
asia/india/madhyapradesh/raipur,Raipur,Raipur,8,8,see,Mahaveer Park,0.81,candidate,has coordinates; high-value type; strong travel term,21.24358,81.60905,Telibandha Lake,asia/india/madhyapradesh/raipur/telibandha_lake,0.429,5.202,2.627,needs_external_source,,https://en.wikivoyage.org/wiki/Raipur
europe/greece/skyros,Skyros,Skyros,8,39,do,Fokiotrypa Beach,0.81,candidate,has coordinates; high-value type; strong travel term,38.847,24.5269,Magazia and Molos Beaches,europe/greece/skyros/magazia_beach,0.341,7.504,2.904,needs_external_source,,https://en.wikivoyage.org/wiki/Skyros
northamerica/mexico/doloreshidalgo,Dolores Hidalgo,Dolores Hidalgo,5,17,see,Parish Church of our Lady of Sorrows,0.81,candidate,has coordinates; high-value type; strong travel term,21.15856,-100.93397,Mausoleum of José Alfredo Jiménez,northamerica/mexico/doloreshidalgo/mausoleo_jose_alfredo_jimenez,0.479,0.521,0.831,needs_external_source,,https://en.wikivoyage.org/wiki/Dolores_Hidalgo
europe/belgium/arlon,Arlon,Arlon,0,21,see,Provincial Palace,0.81,candidate,has coordinates; high-value type; strong travel term,49.682821,5.812762,,,0.0,,0.297,needs_external_source,,https://en.wikivoyage.org/wiki/Arlon
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,see,Manyawar Shri Kanshiram Ji Green Eco Park,0.81,candidate,has coordinates; high-value type; strong travel term,26.810954,80.919403,Janeshwar Mishra Park,asia/india/uttarpradesh/lucknow/janeshwar_mishra_park,0.484,10.205,3.374,needs_external_source,,https://en.wikivoyage.org/wiki/Lucknow
asia/china/guangdong/zhongshan,Zhongshan,Zhongshan,13,37,see,Yixian Lake Park,0.81,candidate,has coordinates; high-value type; strong travel term,22.5319765414,113.3675454664,Zhongshan Park (Yantai Garden),asia/china/guangdong/zhongshan/zhongshan_park,0.467,1.686,3.043,needs_external_source,,https://en.wikivoyage.org/wiki/Zhongshan
europe/ireland/mullingar,Mullingar,Mullingar,5,16,see,Delvin Castle,0.81,candidate,has coordinates; high-value type; strong travel term,53.611,-7.094,Tullynally Castle and Gardens,europe/ireland/mullingar/tullynally_castle,0.429,17.382,19.294,needs_external_source,,https://en.wikivoyage.org/wiki/Mullingar
asia/china/jilin/baicheng,Baicheng,Baicheng,4,21,do,Venice Water Park,0.81,candidate,has coordinates; high-value type; strong travel term,45.591602,122.865476,Chengsijiazi Liao Dynasty Ruins,asia/china/jilin/baicheng/chengsijiazi_liao_ruins,0.292,5.35,3.666,needs_external_source,,https://en.wikivoyage.org/wiki/Baicheng
europe/ireland/galway,Galway,Galway,11,67,see,South Park,0.81,candidate,has coordinates; high-value type; strong travel term,53.2656,-9.0529,Spanish Arch,europe/ireland/galway/spanish_arch,0.531,0.469,1.013,needs_external_source,,https://en.wikivoyage.org/wiki/Galway
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/whitby,Whitby,Whitby,14,15,see,Mulgrave Castle,0.81,candidate,has coordinates; high-value type; strong travel term,54.4945,-0.7055,The Magpie Cafe,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/whitby/magpie_cafe,0.538,5.881,5.865,needs_external_source,,https://en.wikivoyage.org/wiki/Whitby
asia/turkey/bodrum,Bodrum,Bodrum,9,29,see,Camel Beach,0.81,candidate,has coordinates; high-value type; strong travel term,37.013,27.329,Bodrum Bazaar,asia/turkey/bodrum/bodrum_bazaar,0.333,9.359,9.333,needs_external_source,,https://en.wikivoyage.org/wiki/Bodrum
europe/poland/sandomierz,Sandomierz,Sandomierz,6,10,see,St. Paul's Church,0.81,candidate,has coordinates; high-value type; strong travel term,50.678535,21.739262,Sandomierz Royal Castle,europe/poland/sandomierz/sandomierz_castle,0.379,0.621,0.727,needs_external_source,,https://en.wikivoyage.org/wiki/Sandomierz
asia/srilanka/jaffna,Jaffna,Jaffna,9,20,see,Thondaimanaru Selva Sannithi Temple,0.81,candidate,has coordinates; high-value type; strong travel term,9.812477,80.131454,Kantharodai Stupas,asia/srilanka/jaffna/kantharodai,0.377,9.861,20.412,needs_external_source,,https://en.wikivoyage.org/wiki/Jaffna
