world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/croatia/dalmatia/makarska,Makarska,Makarska,14,16,see,Osejava Park,0.81,candidate,has coordinates; high-value type; strong travel term,43.288,17.021,Sveti Petar,europe/croatia/dalmatia/makarska/sv_petar,0.522,0.943,0.667,needs_external_source,,https://en.wikivoyage.org/wiki/Makarska
europe/greece/kavala,Kavala,Kavala,14,95,do,Oasis Beach Bar,0.81,candidate,has coordinates; high-value type; strong travel term,40.8023,24.2694,Ammolofoi Beach,europe/greece/kavala/ammolofoi_beach,0.533,13.156,19.193,needs_external_source,,https://en.wikivoyage.org/wiki/Kavala
asia/india/tamilnadu/coimbatore,Coimbatore,Coimbatore,7,30,see,Eachanaari Vinayaga Temple,0.81,candidate,has coordinates; high-value type; strong travel term,10.92386,76.98233,Sree Avinashi Lingeshwara Temple,asia/india/tamilnadu/coimbatore/sree_avinashi_lingeshwara,0.517,43.104,8.925,needs_external_source,,https://en.wikivoyage.org/wiki/Coimbatore
southamerica/argentina/patagonia/comodoro_rivadavia,Comodoro Rivadavia,Comodoro Rivadavia,4,8,do,city beach,0.81,candidate,has coordinates; high-value type; strong travel term,-45.8603,-67.4725,Cerro Chenque,southamerica/argentina/patagonia/comodoro_rivadavia/chenque_hill,0.348,0.764,0.389,needs_external_source,,https://en.wikivoyage.org/wiki/Comodoro_Rivadavia
europe/russia/novgorod,Novgorod,Novgorod,11,58,see,Demetrios Solunskiy Church,0.81,candidate,has coordinates; high-value type; strong travel term,58.522414,31.290239,St Nicholas' Cathedral,europe/russia/novgorod/st_nicholas_cathedral,0.515,0.485,0.864,needs_external_source,,https://en.wikivoyage.org/wiki/Novgorod
asia/india/rajasthan/jodhpur,Jodhpur,Jodhpur,23,34,see,Ganesh Temple Ratanada,0.81,candidate,has coordinates; high-value type; strong travel term,26.27476,73.03931,Kali Mata Temple,asia/india/rajasthan/jodhpur/kali_mata_temple,0.421,2.64,4.259,needs_external_source,,https://en.wikivoyage.org/wiki/Jodhpur
northamerica/unitedstates/westvirginia/charleston,Charleston,Charleston (West Virginia),22,67,do,Wine Cellar Park,0.81,candidate,has coordinates; high-value type; strong travel term,38.38262,-81.73427,Coonskin Park,northamerica/unitedstates/westvirginia/charleston/coonskin_park,0.483,13.633,9.586,needs_external_source,,https://en.wikivoyage.org/wiki/Charleston_%28West_Virginia%29
asia/turkey/ephesus,Ephesus,Ephesus,11,15,see,Cave of the Seven Sleepers,0.81,candidate,has coordinates; high-value type; strong travel term,37.943486,27.354052,House of the Virgin Mary,asia/turkey/ephesus/house_of_virgin_mary,0.429,3.961,1.367,needs_external_source,,https://en.wikivoyage.org/wiki/Ephesus
asia/srilanka/ella,Ella,Ella,15,9,see,Ancient Rawana Buddhist temple,0.81,candidate,has coordinates; high-value type; strong travel term,6.863972,81.051389,Dowa Rock Temple,asia/srilanka/ella/dowa_temple,0.435,4.899,1.103,needs_external_source,,https://en.wikivoyage.org/wiki/Ella
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,see,Iroquois Park,0.81,candidate,has coordinates; high-value type; strong travel term,38.1696,-85.7814,Waverly Hills Sanatorium,northamerica/unitedstates/kentucky/louisville/waverly_hills_sanatorium,0.324,7.106,9.601,needs_external_source,,https://en.wikivoyage.org/wiki/Louisville
asia/turkey/bodrum,Bodrum,Bodrum,9,29,see,Kumbahçe Mosque,0.81,candidate,has coordinates; high-value type; strong travel term,37.0339,27.4355,Bodrum Bazaar,asia/turkey/bodrum/bodrum_bazaar,0.467,0.533,0.434,needs_external_source,,https://en.wikivoyage.org/wiki/Bodrum
asia/china/hunan/fenghuang,Fenghuang,Fenghuang,10,8,see,Wanshou Temple,0.81,candidate,has coordinates; high-value type; strong travel term,27.951726581164298,109.60360647818915,East Gate Tower (Shengheng Gate),asia/china/hunan/fenghuang/east_gate_tower,0.414,1.521,1.18,needs_external_source,,https://en.wikivoyage.org/wiki/Fenghuang
