world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/estonia/rakvere,Rakvere,Rakvere,7,41,see,Katko,0.79,candidate,has coordinates; has description; high-value type; has external URL,59.048333,26.414167,Katariina Kelder,europe/estonia/rakvere/katariina_kelder,0.381,33.717,33.477,has_external_url; day_trip_review,https://www.visitestonia.com/en/struve-geodetic-arc-simuna-endpoint,https://en.wikivoyage.org/wiki/Rakvere
europe/greece/kavala,Kavala,Kavala,14,95,see,Pangaion Hills,0.79,candidate,has coordinates; has description; high-value type; has external URL,40.915,24.092,Ancient Philippi,europe/greece/kavala/philippi,0.533,19.73,27.02,has_external_url; day_trip_review,https://www.dimospaggaiou.gr/,https://en.wikivoyage.org/wiki/Kavala
northamerica/unitedstates/oregon/bend,Bend,Bend,14,47,do,Pine Mountain Observatory,0.79,candidate,has coordinates; has description; high-value type; has external URL,43.7915,-120.941,Mount Bachelor,northamerica/unitedstates/oregon/bend/mount_bachelor,0.513,63.339,42.166,has_external_url; day_trip_review,https://pmo.uoregon.edu,https://en.wikivoyage.org/wiki/Bend
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,do,Major Cineplex Sahathai,0.79,candidate,has coordinates; has description; high-value type; has external URL,9.148272,99.336647,Night Markets and Southern Thai Food,asia/thailand/surat_thani/night_markets_and_local_food,0.373,,65.955,has_external_url; day_trip_review,http://www.majorcineplex.com/cinema/sahathai-suratthani,https://en.wikivoyage.org/wiki/Surat_Thani
asia/indonesia/wakatobi,Wakatobi,Wakatobi,0,26,see,Visitors Information Center Kaledupa,0.79,candidate,has coordinates; has description; high-value type; has external URL,-5.496119722444011,123.75524358948127,,,0.0,,27.525,has_external_url; day_trip_review,https://www.wakatobitourism.com/,https://en.wikivoyage.org/wiki/Wakatobi
australiaandpacific/palau/koror,Koror,Koror,7,28,do,NECO Marine Palau,0.79,candidate,has coordinates; has description; high-value type; has external URL,7.33759,134.457,Nan'yō Shrine,australiaandpacific/palau/koror/nanyo_shrine,0.414,4.469,38.017,has_external_url; day_trip_review,http://www.necomarine.com,https://en.wikivoyage.org/wiki/Koror
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Hunter's Honey Farm,0.79,candidate,has coordinates; has description; high-value type; has external URL,39.47554,-86.55212,White River State Park,northamerica/unitedstates/indiana/indianapolis/white_river_state_park,0.488,45.924,46.871,has_external_url; day_trip_review,https://www.huntershoneyfarm.com/,https://en.wikivoyage.org/wiki/Indianapolis
northamerica/unitedstates/arizona/phoenix,Phoenix,Phoenix,54,145,do,Ben Avery Shooting Facility,0.79,candidate,has coordinates; has description; high-value type; has external URL,33.80381,-112.14482,Pioneer Arizona Living History Museum,northamerica/unitedstates/arizona/phoenix/pioneer_arizona_li,0.375,1.64,40.054,has_external_url; day_trip_review,https://www.azgfd.com/Shooting/BASF/,https://en.wikivoyage.org/wiki/Phoenix
northamerica/unitedstates/newmexico/farmington,Farmington,Farmington (New Mexico),7,16,do,Flowing Water Casino,0.79,candidate,has coordinates; has description; high-value type; has external URL,36.77446,-108.60784,Navajo Lake State Park,northamerica/unitedstates/newmexico/farmington/navajo_lake_state_park,0.333,88.925,35.051,has_external_url; day_trip_review,https://www.flowingwatercasino.com/,https://en.wikivoyage.org/wiki/Farmington_%28New_Mexico%29
northamerica/unitedstates/idaho/boise,Boise,Boise,14,73,do,Firebird Raceway,0.79,candidate,has coordinates; has description; high-value type; has external URL,43.76973,-116.46909,Freak Alley Gallery,northamerica/unitedstates/idaho/boise/freak_alley_gallery,0.343,27.288,27.475,has_external_url; day_trip_review,https://firebirdonline.com/,https://en.wikivoyage.org/wiki/Boise
northamerica/mexico/tequila,Tequila,Tequila,5,20,see,Destileria La Perseverancia,0.79,candidate,has coordinates; has description; high-value type; has external URL,20.882922,-103.842381,Sauza Distillery (La Perseverancia),northamerica/mexico/tequila/sauza_distillery,0.482,0.518,26.113,has_external_url; day_trip_review,http://www.casasauza.com/,https://en.wikivoyage.org/wiki/Tequila
