world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/louisiana/shreveport,Shreveport,Shreveport,21,43,do,Gators and Friends,0.79,candidate,has coordinates; has description; high-value type; has external URL,32.4657,-94.03652,Superior Bar & Grill,northamerica/unitedstates/louisiana/shreveport/superior_bar_grill,0.45,29.301,27.598,has_external_url; day_trip_review,http://www.gatorsandfriends.com/,https://en.wikivoyage.org/wiki/Shreveport
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Ottawa Harlequins,0.79,candidate,has coordinates; has description; high-value type; has external URL,45.2037,-75.7954,ByWard Market,northamerica/canada/ontario/ottawa/byward_market,0.4,26.231,25.407,has_external_url; day_trip_review,http://rugbyottawa.com,https://en.wikivoyage.org/wiki/Ottawa
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,see,Iowa Speedway,0.79,candidate,has coordinates; has description; high-value type; has external URL,41.67677,-93.01102,Iowa State Fair,northamerica/unitedstates/iowa/desmoines/iowa_state_fair,0.5,46.196,51.994,has_external_url; day_trip_review,https://www.iowaspeedway.com/,https://en.wikivoyage.org/wiki/Des_Moines
asia/china/anhui/hefei,Hefei,Hefei,15,55,see,Sanhe Ancient Town,0.79,candidate,has coordinates; has description; high-value type; has external URL,31.51477,117.24502,Hefei Botanical Garden,asia/china/anhui/hefei/hefei_botanical_garden,0.4,37.438,39.3,has_external_url; day_trip_review,http://www.guzhensanhe.com,https://en.wikivoyage.org/wiki/Hefei
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,X Motorbike Rentals,0.79,candidate,has coordinates; has description; high-value type; has external URL,9.132068,99.326255,Tapee River Waterfront,asia/thailand/surat_thani/tapee_river_waterfront,0.341,,65.999,has_external_url; day_trip_review,http://www.xmotorbikerentals.com/,https://en.wikivoyage.org/wiki/Surat_Thani
asia/china/jiangxi/shangrao,Shangrao,Shangrao,6,11,see,Wangxian Valley,0.79,candidate,has coordinates; has description; high-value type; has external URL,28.67978,117.817574,Wuyuan Villages Access,asia/china/jiangxi/shangrao/wuyuan_access,0.432,63.33,29.064,has_external_url; day_trip_review,https://wangxiangu.com/,https://en.wikivoyage.org/wiki/Shangrao
northamerica/unitedstates/arizona/mesa,Mesa,Mesa,7,53,do,Desert Belle Paddleboat Cruises,0.79,candidate,has coordinates; has description; high-value type; has external URL,33.57377,-111.53763,Mesa Grande Cultural Park,northamerica/unitedstates/arizona/mesa/mesa_grande_cultural_park,0.357,32.455,32.457,has_external_url; day_trip_review,http://www.desertbelle.com,https://en.wikivoyage.org/wiki/Mesa
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,do,Oak Openings Preserve Metropark,0.79,candidate,has coordinates; has description; high-value type; has external URL,41.554,-83.853,Valentine Theatre,northamerica/unitedstates/ohio/toledo/valentine_theatre,0.417,28.694,28.421,has_external_url; day_trip_review,https://metroparkstoledo.com/explore-your-parks/oak-openings/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
northamerica/unitedstates/colorado/boulder,Boulder,Boulder,5,46,do,Eldora Mountain Resort,0.79,candidate,has coordinates; has description; high-value type; has external URL,39.93722,-105.58268,Fox Theatre,northamerica/unitedstates/colorado/boulder/fox_theatre,0.364,27.255,27.967,has_external_url; day_trip_review,http://eldora.com/,https://en.wikivoyage.org/wiki/Boulder
northamerica/unitedstates/california/centralvalley/bakersfield,Bakersfield,Bakersfield,13,25,do,Murray Family Farms,0.79,candidate,has coordinates; has description; high-value type; has external URL,35.2948,-118.7536,Crystal Palace Bar,northamerica/unitedstates/california/centralvalley/bakersfield/crystal_palace_bar,0.378,27.446,25.67,has_external_url; day_trip_review,https://www.murrayfamilyfarms.org/,https://en.wikivoyage.org/wiki/Bakersfield
northamerica/unitedstates/kentucky/lexington,Lexington,Lexington (Kentucky),19,81,do,Hartfield & Co.,0.79,candidate,has coordinates; has description; high-value type; has external URL,38.21191,-84.24898,Hunt-Morgan House,northamerica/unitedstates/kentucky/lexington/hunt_morgan_house,0.424,27.85,28.451,has_external_url; day_trip_review,http://www.hartfieldandcompany.com/,https://en.wikivoyage.org/wiki/Lexington_%28Kentucky%29
