world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/oaxaca,Oaxaca,Oaxaca (city),13,93,do,Tlacolula Market,0.79,candidate,has coordinates; has description; high-value type; strong travel term,16.9542706,-96.4787743,Levadura de Olla,northamerica/mexico/oaxaca/levadura_de_olla,0.414,28.904,29.483,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Oaxaca_%28city%29
asia/indonesia/belitung,Belitung,Belitung,6,16,see,Museum Kata Andrea Hirata,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-2.9674,108.1641,Tanjung Pandan,asia/indonesia/belitung/tanjung_pandan,0.359,65.835,56.392,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Belitung
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Horodenka town,0.79,candidate,has coordinates; has description; high-value type; strong travel term,48.67,25.5,Hrushevsky Street (Stometrivka),europe/ukraine/ivanofrankivsk/hrushevsky_street,0.387,64.008,64.293,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Ohrid,0.79,candidate,has coordinates; has description; high-value type; strong travel term,41.116944,20.801667,Old Bazaar (Čaršija),europe/macedonia/kicevo/old_bazaar,0.267,45.509,45.509,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
asia/indonesia/belitung,Belitung,Belitung,6,16,do,Batu Malang Penyu,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-2.54,107.632,The Belitung Shipwreck,asia/indonesia/belitung/belitung_shipwreck,0.457,23.478,38.438,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Belitung
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Qiongya Red Army Yunlong Reorganization Site,0.79,candidate,has coordinates; has description; high-value type; strong travel term,19.875956555322034,110.46907767091844,Bo'ai Road Area,asia/china/hainanisland/haikou/boai_road_area,0.339,23.117,34.281,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Haikou
asia/philippines/negrosisland/bacolod,Bacolod,Bacolod,27,97,see,Mt. Kanla-on Natural Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,10.4234,123.0872,Italia Restaurant,asia/philippines/negrosisland/bacolod/italia_restaurant,0.439,32.318,31.799,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Bacolod
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Galičica National Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,40.941667,20.806389,Kičevo Monastery,europe/macedonia/kicevo/kicevo_monastery,0.368,64.386,64.344,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
northamerica/unitedstates/montana/glaciernp,Glacier National Park,Glacier National Park (Montana),0,22,see,Cut Bank Creek Road,0.79,candidate,has coordinates; has description; high-value type; strong travel term,48.617,-113.332,,,0.0,,36.972,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Glacier_National_Park_%28Montana%29
asia/papuanewguinea/rabaul,Rabaul,Rabaul,4,10,see,Bitapaka War Cemetery,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-4.406577,152.299391,Japanese Tunnel System,asia/papuanewguinea/rabaul/japanese_tunnels,0.326,27.308,27.064,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Rabaul
asia/india/punjab/patiala,Patiala,Patiala,4,38,do,Bir Gurdialpura Wildlife Sanctuary,0.79,candidate,has coordinates; has description; high-value type; strong travel term,30.51315,76.22103,Gurdwara Dukh Nivaran Sahib,asia/india/punjab/patiala/gurdwara_dukh_nivaran,0.426,24.953,35.657,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Patiala
northamerica/belize/belizecity,Belize City,Belize City,9,31,see,Yarborough Cemetery,0.79,candidate,has coordinates; has description; high-value type; strong travel term,17.48814,-88.18925,St. John's Cathedral,northamerica/belize/belizecity/st_johns_cathedral,0.368,66.857,66.753,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Belize_City
asia/china/anhui/maanshan,Ma'anshan,Ma'anshan,6,5,see,Taihu Mount National Forest Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,31.514231,118.053888,Li Bai Cultural Tourism Area,asia/china/anhui/maanshan/li_bai_cultural_tourism_area,0.4,48.224,45.754,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ma%27anshan
asia/china/sichuanprovince/leshan,Leshan,Leshan,4,18,see,Meinü Peak National Forest Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,29.3511261492,103.5352000042,River Boat Tour,asia/china/sichuanprovince/leshan/river_boat_tour,0.356,31.561,31.06,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Leshan
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Bitola,0.79,candidate,has coordinates; has description; high-value type; strong travel term,41.031944,21.334722,Bistra Mountain,europe/macedonia/kicevo/bistra_mountain,0.381,78.17,61.655,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
europe/macedonia/kicevo,Kičevo,Kičevo,4,32,see,Tetovo,0.79,candidate,has coordinates; has description; high-value type; strong travel term,42.0,20.966667,Treska River Gorge,europe/macedonia/kicevo/treska_river_gorge,0.333,56.026,54.612,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ki%C4%8Devo
asia/china/sichuanprovince/panzhihua,Panzhihua,Panzhihua,5,10,see,The village of Salad,0.79,candidate,has coordinates; has description; high-value type; strong travel term,26.2371,101.902,Yi Torch Festival,asia/china/sichuanprovince/panzhihua/yi_torch_festival,0.424,42.494,42.494,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Panzhihua
asia/china/hubei/jingmen,Jingmen,Jingmen,5,8,see,Dakou National Forest Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,31.09,112.88,Yuanyou Palace,asia/china/hubei/jingmen/yuanyou_palace,0.3,29.59,65.007,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Jingmen
asia/srilanka/jaffna,Jaffna,Jaffna,9,20,see,Nagadeepa Purana Viharaya,0.79,candidate,has coordinates; has description; high-value type; strong travel term,9.612746,79.773926,Nallur Kandaswamy Kovil,asia/srilanka/jaffna/nallur_kandaswamy_kovil,0.417,29.065,28.107,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Jaffna
asia/indonesia/belitung,Belitung,Belitung,6,16,see,Pulau Lutung,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-2.5885,107.6242,Laskar Pelangi Museum,asia/indonesia/belitung/laskar_pelangi_museum,0.364,14.953,33.173,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Belitung
europe/ukraine/ivanofrankivsk,Ivano-Frankivsk,Ivano-Frankivsk,9,103,see,Kosiv,0.79,candidate,has coordinates; has description; high-value type; strong travel term,48.315,25.095278,Market Square (Ploshcha Rynok),europe/ukraine/ivanofrankivsk/market_square,0.222,73.244,73.261,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ivano-Frankivsk
asia/uzbekistan/termez,Termez,Termez,5,15,see,Kampyr Tepe,0.79,candidate,has coordinates; has description; high-value type; strong travel term,37.41123,67.02876,Kara Tepe Buddhist Caves,asia/uzbekistan/termez/kara_tepe,0.457,22.129,29.174,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Termez
asia/china/hunan/zhangjiajie,Zhangjiajie,Zhangjiajie,8,49,do,Yangjiajie,0.79,candidate,has coordinates; has description; high-value type; strong travel term,29.367528,110.407986,Zhangjiajie Glass Bridge,asia/china/hunan/zhangjiajie/zhangjiajie_glass_bridge,0.529,28.318,27.915,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhangjiajie
europe/ukraine/poltava,Poltava,Poltava,7,54,see,'Flag of Khrysta' church,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.60307,34.52781,Spaska Church,europe/ukraine/poltava/spaska_church,0.514,1.435,62.827,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Kuha Cave,0.79,candidate,has coordinates; has description; high-value type; strong travel term,9.154732,99.470583,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.27,,78.418,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
asia/china/shanxiprovince/linfen,Linfen,Linfen,6,36,do,Yunqiu Mountain,0.79,candidate,has coordinates; has description; high-value type; strong travel term,35.7167,111.0833,Feihong Pagoda,asia/china/shanxiprovince/linfen/feihong_pagoda,0.276,83.7,56.962,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Linfen
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,do,Mary Cairncross Scenic Reserve,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-26.779646,152.880936,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.327,49.63,25.279,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Sunshine_Coast
northamerica/canada/newbrunswick/moncton,Moncton,Moncton,11,50,do,Plage Aboiteau Beach,0.79,candidate,has coordinates; has description; high-value type; strong travel term,46.23158,-64.29624,Magnetic Hill,northamerica/canada/newbrunswick/moncton/magnetic_hill,0.364,44.344,41.547,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Moncton
africa/nigeria/ibadan,Ibadan,Ibadan,10,72,do,Old Oyo National Park,0.79,candidate,has coordinates; has description; high-value type; strong travel term,7.8504,3.9114,Museum of National Unity,africa/nigeria/ibadan/museum_of_national_unity,0.533,51.243,51.466,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ibadan
asia/china/sichuanprovince/panzhihua,Panzhihua,Panzhihua,5,10,see,Huilongwan Cave Site,0.79,candidate,has coordinates; has description; high-value type; strong travel term,26.375,101.3624,Jinsha River Viewpoint,asia/china/sichuanprovince/panzhihua/jinsha_river_viewpoint,0.429,39.166,42.29,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Panzhihua
southamerica/paraguay/filadelfia,Filadelfia,Filadelfia,4,30,see,Fortín Toledo,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-22.35533,-60.348075,Chaco Wildlife Excursions,southamerica/paraguay/filadelfia/chaco_wildlife,0.263,32.177,32.18,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Filadelfia
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,see,Green Bottom Wildlife Management Area,0.79,candidate,has coordinates; has description; high-value type; strong travel term,38.5886,-82.2436,Keith-Albee Performing Arts Center,northamerica/unitedstates/westvirginia/huntington/keith_albee_theatre,0.31,25.484,25.733,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Mai Yai Waterfall,0.79,candidate,has coordinates; has description; high-value type; strong travel term,8.8833,98.49957,Tapee River Waterfront,asia/thailand/surat_thani/tapee_river_waterfront,0.513,,74.4,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Swan Lake Animal Base,0.79,candidate,has coordinates; has description; high-value type; strong travel term,19.98201,110.478494,Bo'ai Road Area,asia/china/hainanisland/haikou/boai_road_area,0.333,16.108,30.402,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Haikou
southamerica/chile/arica,Arica,Arica,11,6,see,Mouth of Camarones River,0.79,candidate,has coordinates; has description; high-value type; strong travel term,-19.1887,-70.2718,Casa Bolognesi,southamerica/chile/arica/casa_bolognesi,0.421,78.962,79.138,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Arica
asia/china/heilongjiang/mohe,Mohe,Mohe,4,31,see,Guanyin Mountain (观音山),0.79,candidate,has coordinates; has description; high-value type; strong travel term,52.964,122.524,Ice and Snow Festival,asia/china/heilongjiang/mohe/ice_and_snow_festival,0.324,57.065,57.065,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Mohe
asia/iran/yazd,Yazd,Yazd,9,25,see,Narin Castle,0.79,candidate,has coordinates; has description; high-value type; strong travel term,32.226342,54.014531,Lari House,asia/iran/yazd/lari_house,0.545,38.202,64.701,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yazd
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Rajjaprabha Dam (เขื่อนรัชชประภา),0.79,candidate,has coordinates; has description; high-value type; strong travel term,8.977569,98.820284,Night Markets and Southern Thai Food,asia/thailand/surat_thani/night_markets_and_local_food,0.275,,54.485,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Surat_Thani
europe/ukraine/kamianetstpodilskyi,Kamianets-Podilskyi,Kamianets-Podilskyi,6,32,see,Sharivka village,0.79,candidate,has coordinates; has description; high-value type; strong travel term,49.219,26.967,Polish Gate,europe/ukraine/kamianetstpodilskyi/polish_gate,0.37,66.709,66.534,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Kamianets-Podilskyi
europe/hungary/budapest,Budapest,Budapest,57,94,see,Esztergom,0.79,candidate,has coordinates; has description; high-value type; strong travel term,47.795629,18.742622,Szentendre,europe/hungary/budapest/szentendre,0.526,28.7,39.912,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Budapest
asia/china/gansu/lanzhou,Lanzhou,Lanzhou,11,26,see,Solemn Temple,0.79,candidate,has coordinates; has description; high-value type; strong travel term,36.048225,103.827408,Xiguan Mosque,asia/china/gansu/lanzhou/xiguan_mosque,0.308,2.082,48.135,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Lanzhou
asia/qatar/alwakrah,Al Wakrah,Al Wakrah,3,11,see,Manaratain Mosque,0.79,candidate,has coordinates; has description; high-value type; strong travel term,25.169679,51.608925,Al Wakrah Souq,asia/qatar/alwakrah/al_wakrah_souq,0.452,27.359,27.21,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Al_Wakrah
asia/china/shandong_province/linyi,Linyi,Linyi,7,13,do,Tianfo Tourist Area,0.79,candidate,has coordinates; has description; high-value type; strong travel term,35.5,118.2,Tianyu Natural History Museum,asia/china/shandong_province/linyi/tianyu_dinosaur_museum,0.542,47.084,50.566,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Linyi
asia/southkorea/ulsan,Ulsan,Ulsan,29,31,see,Mt Gaji,0.79,candidate,has coordinates; has description; high-value type; strong travel term,35.620046,129.002785,By Air,asia/southkorea/ulsan/ulsan_airport,0.462,31.691,29.349,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Ulsan
europe/austria/linz,Linz,Linz,11,63,see,Provincial Gallery of Linz,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.30588,14.2938,Old Cathedral (Alter Dom),europe/austria/linz/old_cathedral,0.56,0.44,0.602,has_external_url,http://www.landesgalerie.at/,https://en.wikivoyage.org/wiki/Linz
