world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/sanmigueldeallende,San Miguel de Allende,San Miguel de Allende,6,87,see,La Esquina Popular Mexican Toy Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.91474,-100.74007,El Jardín,northamerica/mexico/sanmigueldeallende/el_jardin,0.618,0.382,0.382,has_external_url,http://www.museolaesquina.org.mx/,https://en.wikivoyage.org/wiki/San_Miguel_de_Allende
northamerica/canada/saskatchewan/saskatoon,Saskatoon,Saskatoon,6,72,see,Remai Modern Arts Gallery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.12295,-106.667072,Delta Bessborough Hotel,northamerica/canada/saskatchewan/saskatoon/delta_bessborough,0.635,0.365,1.073,has_external_url,http://www.remaimodern.org/,https://en.wikivoyage.org/wiki/Saskatoon
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Beijing-Hangzhou Grand Canal Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.319639,120.136679,Zhejiang Provincial Museum,asia/china/zhejiang/hangzhou/zhejiang_provincial_museum,0.623,7.357,10.251,has_external_url,https://www.canal-museum.cn,https://en.wikivoyage.org/wiki/Hangzhou
asia/kazakhstan/almaty,Almaty,Almaty,20,51,see,St Nicholas Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.2484,76.9281,Zenkov Cathedral,asia/kazakhstan/almaty/zenkov_cathedral,0.649,2.315,1.955,has_external_url,https://www.nikolski.kz,https://en.wikivoyage.org/wiki/Almaty
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,Epoch Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.9991877751,120.6655541367,Wenzhou Museum,asia/china/zhejiang/wenzhou/wenzhou_museum,0.6,2.923,2.941,has_external_url,http://www.epochartmuseum.com/,https://en.wikivoyage.org/wiki/Wenzhou
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,do,Attend Ukrainian Orthodox church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.444942,30.508717,Taras Shevchenko Park,europe/ukraine/kyiv/taras_shevchenko_park,0.651,0.349,1.226,has_external_url,http://www.katedral.org.ua/,https://en.wikivoyage.org/wiki/Kyiv
europe/switzerland/lausanne,Lausanne,Lausanne,14,82,do,Arsenic,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.52269,6.62168,Collection de l'Art Brut,europe/switzerland/lausanne/art_brut,0.608,0.392,0.849,has_external_url,http://arsenic.ch/,https://en.wikivoyage.org/wiki/Lausanne
europe/latvia/ventspils,Ventspils,Ventspils,12,26,see,Seaside Open-air Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.385414,21.536249,Seaside Open-Air Museum and Narrow-Gauge Railway,europe/latvia/ventspils/seaside_park,0.648,0.389,1.73,has_external_url,http://muzejs.ventspils.lv/en/seaside-open-air-museum/,https://en.wikivoyage.org/wiki/Ventspils
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Pig museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.78599894112274,9.219890737902611,Porsche Museum,europe/germany/badenwrttemberg/stuttgart/porschemuseum,0.667,7.294,3.04,has_external_url,https://www.schweinemuseum.de/,https://en.wikivoyage.org/wiki/Stuttgart
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Indianapolis Fire Fighters Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.778,-86.146,Indianapolis Motor Speedway and Museum,northamerica/unitedstates/indiana/indianapolis/indianapolis_motor_speedway,0.648,7.811,1.512,has_external_url,https://l416.com/museum/,https://en.wikivoyage.org/wiki/Indianapolis
northamerica/unitedstates/california/halfmoonbay,Half Moon Bay,Half Moon Bay,13,24,see,Francis State Beach,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.466,-122.4463,Half Moon Bay State Beach,northamerica/unitedstates/california/halfmoonbay/half_moon_bay_state_beach,0.636,0.902,1.587,has_external_url,http://www.parks.ca.gov/?page_id=531,https://en.wikivoyage.org/wiki/Half_Moon_Bay
