world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/savonlinna,Savonlinna,Savonlinna,10,43,see,Saints Zachary and Elisabeth Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.8677,28.889,Kauppatori (Market Square),europe/finland/savonlinna/kauppatori,0.687,0.313,0.528,has_external_url,https://www.ortsaimaa.net,https://en.wikivoyage.org/wiki/Savonlinna
europe/hungary/miskolc,Miskolc,Miskolc,8,82,see,Post Gallery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.10555,20.78578,Széchenyi Street,europe/hungary/miskolc/széchenyi_street,0.603,0.397,0.415,has_external_url,http://www.postamuzeum.hu/hu/muzeumok/11/postakurt-galeria-miskolc,https://en.wikivoyage.org/wiki/Miskolc
northamerica/canada/ontario/niagara_on_the_lake,Niagara-on-the-Lake,Niagara-on-the-Lake,6,58,do,Art by the Lighthouse,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.253585,-79.060423,Fort George,northamerica/canada/ontario/niagara_on_the_lake/fort_george,0.686,0.314,0.99,has_external_url,http://niagarapumphouse.ca,https://en.wikivoyage.org/wiki/Niagara-on-the-Lake
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,do,Eudlo Creek National Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.706944,152.961944,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.682,38.878,14.304,has_external_url,https://wetlandinfo.des.qld.gov.au/wetlands/facts-maps/national-park-eudlo-creek/,https://en.wikivoyage.org/wiki/Sunshine_Coast
europe/germany/schleswigholstein/flensburg,Flensburg,Flensburg,13,43,do,Det lille Teater Flensborg,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.7899,9.43013,Mumiengrotte,europe/germany/schleswigholstein/flensburg/mumiengrotte,0.689,0.311,0.762,has_external_url,http://www.detlilleteater.de/,https://en.wikivoyage.org/wiki/Flensburg
europe/poland/czestochowa,Częstochowa,Częstochowa,5,20,see,St Sigismund,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.8117,19.1282,Częstochowa Cathedral,europe/poland/czestochowa/czestochowa_cathedral,0.681,0.319,1.054,has_external_url,http://www.swietyzygmunt.pl/,https://en.wikivoyage.org/wiki/Cz%C4%99stochowa
europe/italy/lombardia/cremona,Cremona,Cremona,8,11,see,Museo Archeologico San Lorenzo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.1345,10.0292,Cremona Cathedral,europe/italy/lombardia/cremona/cremona_cathedral,0.689,0.311,0.384,has_external_url,https://musei.comune.cremona.it/it/musei/museo-archeologico,https://en.wikivoyage.org/wiki/Cremona
europe/germany/badenwrttemberg/friedrichshafen,Friedrichshafen,Friedrichshafen,11,28,see,Schulmuseum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.65219,9.46921,Café zum Bahnhof,europe/germany/badenwrttemberg/friedrichshafen/cafe_zum_bahnhof,0.663,0.337,0.849,has_external_url,http://www.schulmuseum-fn.de,https://en.wikivoyage.org/wiki/Friedrichshafen
asia/turkey/ankara,Ankara,Ankara,13,116,see,Painting and Sculpture Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.9331,32.8558,Roman Baths of Ankara,asia/turkey/ankara/roman_baths,0.565,0.435,1.378,has_external_url,https://arhm.ktb.gov.tr/,https://en.wikivoyage.org/wiki/Ankara
northamerica/mexico/len,León,León (Mexico),5,35,see,Museum of Art and History,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.11654,-101.65996,Feria de León,northamerica/mexico/len/feria_de_leon,0.583,0.417,2.462,has_external_url,http://forumcultural.guanajuato.gob.mx/forum-cultural/museo/,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Mexico%29
asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,9,76,see,Yu Mountain,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.0815,119.3031,Fujian Science and Technology Museum,asia/china/fujianprovince/fuzhou/fujian_science_and_technology_museum,0.63,0.37,1.211,has_external_url,http://www.fjyushan.com/,https://en.wikivoyage.org/wiki/Fuzhou
northamerica/guatemala/guatemalacity,Guatemala City,Guatemala City,12,76,see,Popol Vuh Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.608033,-90.505187,Museo Popol Vuh,northamerica/guatemala/guatemalacity/popol_vuh_museum,0.581,1.426,2.993,has_external_url,https://popolvuh.ufm.edu/,https://en.wikivoyage.org/wiki/Guatemala_City
northamerica/unitedstates/california/torrance,Torrance,Torrance,8,14,do,Wilson Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.8259,-118.3237,Charles H. Wilson Park,northamerica/unitedstates/california/torrance/wilson_park,0.688,0.803,2.055,has_external_url,https://www.torranceca.gov/Home/Components/FacilityDirectory/FacilityDirectory/1060/1094,https://en.wikivoyage.org/wiki/Torrance
europe/netherlands/utrecht,Utrecht,Utrecht,14,77,see,Apple Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.1079,5.0535,Spoorwegmuseum (Railway Museum),europe/netherlands/utrecht/spoorwegmuseum,0.615,5.858,5.027,has_external_url,https://applemuseum.nl/,https://en.wikivoyage.org/wiki/Utrecht
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Museum of Science and Technology,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.8217,20.4649,Tri Šešira,europe/serbia/belgrade/tri_sesira,0.688,0.312,1.673,has_external_url,https://muzejnt.rs/,https://en.wikivoyage.org/wiki/Belgrade
asia/china/hubei/yichang,Yichang,Yichang,3,40,see,Tribe of the Three Gorges,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.79292436,111.15015248,Three Gorges Dam,asia/china/hubei/yichang/three_gorges_dam,0.649,14.353,17.009,has_external_url,http://www.sanxiarenjia.com/,https://en.wikivoyage.org/wiki/Yichang
asia/japan/honshu/sendai,Sendai,Sendai,10,51,see,Zuihoden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.250526,140.866425,Zuihoden Mausoleum,asia/japan/honshu/sendai/zuihoden,0.615,0.911,1.93,has_external_url,http://www.zuihoden.com/,https://en.wikivoyage.org/wiki/Sendai
