world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Godsbanen,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.154167,10.194722,ARoS Aarhus Art Museum,europe/denmark/aarhus/aros,0.642,0.358,1.263,has_external_url,http://godsbanen.dk/,https://en.wikivoyage.org/wiki/Aarhus
europe/italy/sicily/messina,Messina,Messina,6,32,see,Porta Grazia di Messina,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.203042,15.555815,Pylons of Messina (Torri Faro),europe/italy/sicily/messina/pylons_of_messina,0.55,9.361,1.037,has_external_url,http://www.comune.messina.it/turismo/itinerari-turistici/fortificazioni/la-cittadella-e-porta-grazia.aspx,https://en.wikivoyage.org/wiki/Messina
europe/finland/tampere,Tampere,Tampere,61,207,see,Hiekka Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.49779,23.74904,Tampere Art Museum,europe/finland/tampere/tampere_art_museum,0.686,0.618,0.668,has_external_url,http://www.hiekantaidemuseo.fi/engl.htm,https://en.wikivoyage.org/wiki/Tampere
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,do,The New Vic,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.4239,-119.706,Santa Barbara County Courthouse,northamerica/unitedstates/california/santa_barbara/county_courthouse,0.671,0.329,0.363,has_external_url,https://etcsb.org/,https://en.wikivoyage.org/wiki/Santa_Barbara
southamerica/brazil/sao_luis,São Luís,São Luís,72,24,do,Wang Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-2.5486,-44.1205,Bacanga State Park,southamerica/brazil/sao_luis/bacanga_state_park,0.593,17.686,19.654,has_external_url,https://wangpark.com.br/,https://en.wikivoyage.org/wiki/S%C3%A3o_Lu%C3%ADs
europe/germany/saxonyanhalt/dessau,Dessau,Dessau,8,35,see,Bauhaus Museum Dessau,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.834627,12.242177,Stadtgarten,europe/germany/saxonyanhalt/dessau/stadtgarten,0.605,0.395,0.395,has_external_url,https://www.bauhaus-dessau.de/en/architecture/bauhaus-museum-dessau.html,https://en.wikivoyage.org/wiki/Dessau
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Dalnavert Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.88603,-97.14181,Manitoba Museum,northamerica/canada/manitoba/winnipeg/manitoba_museum,0.645,1.611,1.084,has_external_url,http://www.mhs.mb.ca,https://en.wikivoyage.org/wiki/Winnipeg
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,Sacred Heart Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.3056,69.2958,Holy Assumption Cathedral,asia/uzbekistan/tashkent/holy_assumption_cathedral,0.553,0.809,1.611,has_external_url,http://www.catholic.uz/,https://en.wikivoyage.org/wiki/Tashkent
northamerica/unitedstates/california/carmel,Carmel,Carmel (California),7,32,do,Carmel River State Beach,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.5322,-121.9269,Carmel Beach,northamerica/unitedstates/california/carmel/carmel_beach,0.667,1.844,2.578,has_external_url,http://www.parks.ca.gov/?page_id=567,https://en.wikivoyage.org/wiki/Carmel_%28California%29
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/cornwall/newquay,Newquay,Newquay,11,21,see,The Japanese Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.45565,-4.99807,Trenance Gardens,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/cornwall/newquay/trenance_gardens,0.645,7.941,7.692,has_external_url,https://www.japanesegarden.co.uk/,https://en.wikivoyage.org/wiki/Newquay
africa/southafrica/durban,Durban,Durban,55,54,see,Port Natal Maritime Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-29.86199,31.02869,Old Court House Museum,africa/southafrica/durban/old_court_house_museum,0.631,0.369,0.758,has_external_url,http://www.durban.gov.za/,https://en.wikivoyage.org/wiki/Durban
asia/china/henan_province/anyang,Anyang,Anyang,7,25,see,Anyang Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.0909,114.3862,Cao Cao's Mausoleum,asia/china/henan_province/anyang/cao_cao_mausoleum,0.562,6.011,3.641,has_external_url,http://www.aybwg.org/,https://en.wikivoyage.org/wiki/Anyang
northamerica/unitedstates/georgia/augusta,Augusta,Augusta (Georgia),9,53,see,Morris Museum of Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.479315,-81.968571,Augusta Museum of History,northamerica/unitedstates/georgia/augusta/augusta_museum_of_history,0.578,0.743,1.095,has_external_url,https://www.themorris.org/,https://en.wikivoyage.org/wiki/Augusta_%28Georgia%29
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,see,Kansas City Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.00656,-94.52674,Joe's Kansas City Bar-B-Que,northamerica/unitedstates/kansas/kansascity/joes_kansas_city_bbq,0.571,13.085,11.309,has_external_url,https://www.kansascityzoo.org/,https://en.wikivoyage.org/wiki/Kansas_City
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,do,Skate Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.74264,-0.62774,Abbaye aux Dames,europe/france/aquitaine/saintes/abbaye_aux_dames,0.642,0.358,0.524,has_external_url,http://www.ville-saintes.fr/enfance-jeunesse/skate-park/,https://en.wikivoyage.org/wiki/Saintes
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,Museum of Paleontology,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.279,-83.7345,Kelsey Museum of Archaeology,northamerica/unitedstates/michigan/annarbor/kelsey_museum_of_archaeology,0.68,0.554,1.182,has_external_url,https://lsa.umich.edu/paleontology,https://en.wikivoyage.org/wiki/Ann_Arbor
europe/spain/basque_country_euskadi/bilbao,Bilbao,Bilbao,10,75,see,Museo de Reproducciones Artísticas (Museum of Artistic Reproductions),0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.25547,-2.92644,Cathedral of Santiago,europe/spain/basque_country_euskadi/bilbao/church_of_santiago,0.571,0.429,1.087,has_external_url,http://www.museoreproduccionesbilbao.org,https://en.wikivoyage.org/wiki/Bilbao
northamerica/unitedstates/arizona/tempe,Tempe,Tempe,15,51,see,Tempe History Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.392233,-111.927384,Tempe Town Lake,northamerica/unitedstates/arizona/tempe/tempe_town_lake,0.571,4.389,3.88,has_external_url,https://www.tempe.gov/government/community-services/tempe-history-museum,https://en.wikivoyage.org/wiki/Tempe
europe/unitedkingdom/northernireland/belfast,Belfast,Belfast,25,97,see,W5,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.60451,-5.91462,SS Nomadic,europe/unitedkingdom/northernireland/belfast/ss_nomadic,0.554,0.446,1.14,has_external_url,https://w5online.co.uk/,https://en.wikivoyage.org/wiki/Belfast
europe/italy/campania/sorrento,Sorrento,Sorrento,8,30,see,Museum of the Inlaid Wood,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.62584,14.37039,Marina Grande,europe/italy/campania/sorrento/marina_grande,0.669,0.331,0.389,has_external_url,http://www.museomuta.it/,https://en.wikivoyage.org/wiki/Sorrento
northamerica/unitedstates/montana/helena,Helena,Helena (Montana),15,34,see,Reeder's Alley historic mining district,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.58492,-112.05097,Mount Helena City Park,northamerica/unitedstates/montana/helena/mount_helena,0.609,0.391,1.416,has_external_url,http://www.reedersalley.com/,https://en.wikivoyage.org/wiki/Helena_%28Montana%29
asia/china/zhejiang/shaoxing,Shaoxing,Shaoxing,11,48,see,Shaoxing Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.000753217066173,120.56840290716936,Shaoxing Stinky Tofu,asia/china/zhejiang/shaoxing/stinky_tofu,0.629,1.457,3.044,has_external_url,http://www.shaoxingmuseum.com/,https://en.wikivoyage.org/wiki/Shaoxing
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,do,Ferntree Creek National Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.605278,152.963889,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.638,28.685,13.983,has_external_url,https://wetlandinfo.des.qld.gov.au/wetlands/facts-maps/national-park-ferntree-creek/,https://en.wikivoyage.org/wiki/Sunshine_Coast
northamerica/unitedstates/washington/spokane,Spokane,Spokane,11,51,see,Riverside State Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.7331,-117.522,Riverfront Park,northamerica/unitedstates/washington/spokane/riverfront_park,0.629,11.035,11.206,has_external_url,https://parks.wa.gov/find-parks/state-parks/riverside-state-park,https://en.wikivoyage.org/wiki/Spokane
asia/japan/honshu/himeji,Himeji,Himeji,14,23,do,Himeji Central Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.867746,134.752064,Himeji Castle,asia/japan/honshu/himeji/himeji_castle,0.625,6.173,8.418,has_external_url,http://www.central-park.co.jp/en/,https://en.wikivoyage.org/wiki/Himeji
europe/denmark/roskilde,Roskilde,Roskilde,20,59,see,Land of Legends Lejre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.616,11.943,Lejre Land of Legends,europe/denmark/roskilde/lejre_land_of_legends,0.714,4.314,9.236,has_external_url,http://www.sagnlandet.dk/en/,https://en.wikivoyage.org/wiki/Roskilde
europe/hungary/sopron,Sopron,Sopron,9,234,see,Church of St. George,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68522,16.59169,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.552,0.448,0.739,has_external_url,https://www.varosplebaniasopron.hu/templomok/9/szent-gyorgy-templom/,https://en.wikivoyage.org/wiki/Sopron
