world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Dongwha_Sa,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.992961,128.704215,Donghwasa Temple,asia/southkorea/dae_gu/donghwasa_temple,0.615,3.66,16.383,has_external_url,http://www.donghwasa.net/,https://en.wikivoyage.org/wiki/Daegu
asia/china/anhui/hefei,Hefei,Hefei,15,55,see,Hefei Science and Technology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.84391,117.24418,University of Science and Technology of China,asia/china/anhui/hefei/ustc_campus,0.625,1.499,4.48,has_external_url,http://www.hfstm.com,https://en.wikivoyage.org/wiki/Hefei
northamerica/canada/britishcolumbia/victoria,Victoria,Victoria (British Columbia),12,87,see,Abkhazi Gardens,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.4161,-123.3266,Butchart Gardens,northamerica/canada/britishcolumbia/victoria/butchart_gardens,0.71,19.337,3.186,has_external_url,https://www.abkhaziteahouse.com/abkhazi-garden,https://en.wikivoyage.org/wiki/Victoria_%28British_Columbia%29
europe/finland/kuopio,Kuopio,Kuopio,6,104,do,Kuopio Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,62.751253,27.552238,Kuopio Museum,europe/finland/kuopio/kuopio_museum,0.609,17.1,16.958,has_external_url,https://www.kuopionelainpuisto.com/,https://en.wikivoyage.org/wiki/Kuopio
europe/germany/lowersaxony/luneburg,Lüneburg,Lüneburg,14,47,see,German Salt Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.2433,10.4017,Deutsches Salzmuseum,europe/germany/lowersaxony/luneburg/deutsches_salzmuseum,0.579,0.839,0.762,has_external_url,http://www.salzmuseum.de/,https://en.wikivoyage.org/wiki/L%C3%BCneburg
europe/germany/saxony/dresden,Dresden,Dresden,31,149,see,Lingnerschloss,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.0641,13.7978,Residenzschloss,europe/germany/saxony/dresden/residenzschloss,0.552,4.498,4.481,has_external_url,http://www.lingnerschloss.de/,https://en.wikivoyage.org/wiki/Dresden
asia/japan/kagoshima,Kagoshima,Kagoshima,27,14,see,Nagashima Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.581771,130.532387,Kagoshima City Museum of Art,asia/japan/kagoshima/kagoshima_city_museum_of_art,0.636,2.529,6.84,has_external_url,http://www.ngp.jp/nagashima-museum/,https://en.wikivoyage.org/wiki/Kagoshima
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,see,Lanna Traditional House Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.79187,98.96146,Lanna Folklife Museum,asia/thailand/chiangmai/lanna_folklife_muse,0.627,2.842,2.602,has_external_url,https://accl.cmu.ac.th/EN/Museum,https://en.wikivoyage.org/wiki/Chiang_Mai
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,see,Akron Beacon Journal,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.07523,-81.52042,Akron Zoo,northamerica/unitedstates/ohio/akron/akron_zoo,0.552,1.861,0.886,has_external_url,https://www.beaconjournal.com/,https://en.wikivoyage.org/wiki/Akron
asia/philippines/makati,Makati,Makati,9,59,see,Yuchengco Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.56036,121.01641,Ayala Museum,asia/philippines/makati/ayala_museum,0.571,,0.641,has_external_url,http://www.yuchengcomuseum.org/,https://en.wikivoyage.org/wiki/Makati
europe/croatia/zagreb,Zagreb,Zagreb,42,133,see,Technical Museum Nikola Tesla,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.804,15.9641,Botanical Garden,europe/croatia/zagreb/botanical_garden,0.564,0.436,1.844,has_external_url,https://tmnt.hr/hr-hr/,https://en.wikivoyage.org/wiki/Zagreb
