world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
australiaandpacific/australia/queensland/rockhampton_1,Rockhampton,Rockhampton,4,19,see,Rockhampton Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-23.39788,150.49075,Rockhampton Museum of Art,australiaandpacific/australia/queensland/rockhampton_1/rockhampton_museum_of_art,0.65,3.296,3.184,has_external_url,https://www.rockhamptonzoo.com.au,https://en.wikivoyage.org/wiki/Rockhampton
europe/france/alpes/annecy,Annecy,Annecy,18,14,see,Museum of Animated Film,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.895092,6.128862,Château d'Annecy,europe/france/alpes/annecy/chateau,0.657,0.343,0.461,has_external_url,http://musees.annecy.fr/Patrimoines/Decouvrez-nos-patrimoines/Annecy/Musee-du-film-d-animation,https://en.wikivoyage.org/wiki/Annecy
northamerica/unitedstates/massachusetts/provincetown,Provincetown,Provincetown,1,89,see,Provincetown Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.0526,-70.1893,Lobster Pot,northamerica/unitedstates/massachusetts/provincetown/lobster_pot,0.655,0.345,0.366,has_external_url,http://www.pilgrim-monument.org/,https://en.wikivoyage.org/wiki/Provincetown
northamerica/unitedstates/texas/fort_worth,Fort Worth,Fort Worth,24,85,see,Texas Civil War Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.77238,-97.47429,Kimbell Art Museum,northamerica/unitedstates/texas/fort_worth/kimbell_art_museum,0.6,10.541,13.41,has_external_url,https://texascivilwarmuseum.com/,https://en.wikivoyage.org/wiki/Fort_Worth
asia/china/guangxi/nanning,Nanning,Nanning,8,39,see,Nanning People's Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.8323909316,108.3271434501,Nanhu Lake Park,asia/china/guangxi/nanning/nanhu_lake_park,0.611,4.427,1.912,has_external_url,http://nnlyj.nanning.gov.cn/rmgy/,https://en.wikivoyage.org/wiki/Nanning
europe/germany/northrhinewestphalia/wuppertal,Wuppertal,Wuppertal,5,15,see,Wuppertaler Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.241093,7.109695,Wuppertal Schwebebahn,europe/germany/northrhinewestphalia/wuppertal/schwebebahn,0.556,5.768,5.396,has_external_url,http://www.zoo-wuppertal.de/,https://en.wikivoyage.org/wiki/Wuppertal
northamerica/unitedstates/montana/deer_lodge,Deer Lodge,Deer Lodge,4,17,see,Frontier Montana Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.391527,-112.73566,Old Montana Prison Museum,northamerica/unitedstates/montana/deer_lodge/old_montana_prison,0.667,0.642,0.749,has_external_url,https://www.pcmaf.org/,https://en.wikivoyage.org/wiki/Deer_Lodge
asia/china/hunan/changsha,Changsha,Changsha,50,47,do,Tian Han Grand Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.17706178,112.97824466,Changsha Tea Culture,asia/china/hunan/changsha/changsha_tea_culture,0.571,2.256,2.511,has_external_url,http://www.csthdjy.cn/,https://en.wikivoyage.org/wiki/Changsha
northamerica/unitedstates/texas/sanantonio,San Antonio,San Antonio,26,86,see,San Antonio Zoological Gardens and Aquarium,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.462328,-98.473696,San Antonio Botanical Garden,northamerica/unitedstates/texas/sanantonio/san_antonio_botanical_garden,0.676,1.754,4.679,has_external_url,https://sazoo.org/,https://en.wikivoyage.org/wiki/San_Antonio
asia/southkorea/gyeongju,Gyeongju,Gyeongju,18,80,see,Nangsan,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.7573,129.2182,Bunhwangsa,asia/southkorea/gyeongju/bunhwangsa,0.706,9.366,11.013,has_external_url,http://kjnamsan.org/eindex.html,https://en.wikivoyage.org/wiki/Gyeongju
europe/ireland/cork,Cork,Cork,26,66,see,Nano Nagle Place,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.8938,-8.4733,St Fin Barre's Cathedral,europe/ireland/cork/st_fin_barres_cathedral,0.67,0.33,0.526,has_external_url,https://nanonagleplace.ie/,https://en.wikivoyage.org/wiki/Cork
