world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/lappeenranta,Lappeenranta,Lappeenranta,7,21,see,Sandcastle,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.0688,28.1842,Lappeenranta Fortress,europe/finland/lappeenranta/lappeenranta_fortress,0.696,0.304,1.149,has_external_url,http://hiekkalinna.lappeenranta.fi/en/,https://en.wikivoyage.org/wiki/Lappeenranta
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Uptown Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.8736,-97.1829,Burton Cummings Theatre,northamerica/canada/manitoba/winnipeg/burton_cummings_theatre,0.649,3.745,4.011,has_external_url,https://www.historicplaces.ca/en/rep-reg/place-lieu.aspx?id=6046,https://en.wikivoyage.org/wiki/Winnipeg
europe/germany/badenwrttemberg/pforzheim,Pforzheim,Pforzheim,11,20,see,Wildpark,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.87489245,8.715534995195133,Wildpark Pforzheim,europe/germany/badenwrttemberg/pforzheim/wildpark,0.615,3.739,2.021,has_external_url,https://www.pforzheim.de/freizeit/wildpark-pforzheim.html,https://en.wikivoyage.org/wiki/Pforzheim
northamerica/unitedstates/illinois/chicago,Chicago,Chicago,152,132,see,Christ the Savior Orthodox Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.89983,-87.63241,Gibsons,northamerica/unitedstates/illinois/chicago/gibsons,0.593,0.407,2.775,has_external_url,http://www.xcthesavior.org,https://en.wikivoyage.org/wiki/Chicago
europe/hungary/miskolc,Miskolc,Miskolc,8,82,see,Gallery of Miskolc - Feledy House,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.10573,20.78327,Herman Ottó Museum,europe/hungary/miskolc/otto_herman_museum,0.57,0.43,0.579,has_external_url,http://www.miskolcigaleria.eu/,https://en.wikivoyage.org/wiki/Miskolc
northamerica/canada/britishcolumbia/100milehouse,100 Mile House,100 Mile House,4,11,see,108 Mile Ranch Heritage Site,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.75036,-121.34689,100 Mile Nordic Ski Trails,northamerica/canada/britishcolumbia/100milehouse/nordic_skiing,0.556,11.618,12.471,has_external_url,https://historical.ca/,https://en.wikivoyage.org/wiki/100_Mile_House
australiaandpacific/newzealand/nelson,Nelson,Nelson (New Zealand),18,40,see,Broadgreen House,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-41.30902,173.2289,The Free House,australiaandpacific/newzealand/nelson/free_house,0.692,6.067,6.224,has_external_url,http://www.nelson.govt.nz/recreation/heritage/historic-places/broadgreen-historic-house/about-broadgreen-historic-house/,https://en.wikivoyage.org/wiki/Nelson_%28New_Zealand%29
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,see,Oriental Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.059781,-87.885511,Pabst Theater,northamerica/unitedstates/wisconsin/milwaukee/pabst_theater,0.552,2.915,3.031,has_external_url,https://mkefilm.org/oriental-theatre,https://en.wikivoyage.org/wiki/Milwaukee
australiaandpacific/australia/rockhampton,Rockhampton,Rockhampton,15,19,see,Rockhampton Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-23.39788,150.49075,Rockhampton Museum of Art,australiaandpacific/australia/rockhampton/rockhampton_museum_of_art,0.65,3.297,3.183,has_external_url,https://www.rockhamptonzoo.com.au,https://en.wikivoyage.org/wiki/Rockhampton
northamerica/unitedstates/louisiana/bossiercity,Bossier City,Bossier City,14,12,see,Barksdale Global Power Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.510628,-93.681033,Barksdale Air Force Base,northamerica/unitedstates/louisiana/bossiercity/barksdale_air_force_base,0.566,1.98,4.969,has_external_url,http://www.barksdaleglobalpowermuseum.com/,https://en.wikivoyage.org/wiki/Bossier_City
europe/greece/athens,Athens,Athens,48,150,see,Vorres Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.95264,23.8476,Acropolis Museum,europe/greece/athens/acropolis_museum,0.621,10.6,10.209,has_external_url,http://www.vorresmuseum.gr/,https://en.wikivoyage.org/wiki/Athens
