world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/russia/khabarovsk,Khabarovsk,Khabarovsk,9,58,do,Khabarovsk Philarmony,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.47311,135.05237,Khabarovsk Railway Station,europe/russia/khabarovsk/transsiberian_railway_station,0.681,3.554,2.564,has_external_url,http://www.phildv.ru,https://en.wikivoyage.org/wiki/Khabarovsk
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Public casino (Casino of Herkhard) or House of scientists,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.841134,24.021313,Lvivska Brewery,europe/ukraine/lviv/lvivska_brewery,0.673,0.327,0.744,has_external_url,http://budynokvchenyh.lviv.ua,https://en.wikivoyage.org/wiki/Lviv
europe/unitedkingdom/england/eastern_england/cambridge,Cambridge,Cambridge,54,165,see,Museum of Classical Archaeology,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.2006,0.1101,Museum of Archaeology and Anthropology,europe/unitedkingdom/england/eastern_england/cambridge/museum_of_archaeology,0.609,0.753,0.801,has_external_url,https://www.classics.cam.ac.uk/museum/,https://en.wikivoyage.org/wiki/Cambridge
europe/hungary/sopron,Sopron,Sopron,9,234,see,Monument Mansions,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68595,16.59047,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.615,0.385,0.861,has_external_url,http://m.turizmus.sopron.hu/en/info/sights/manors-and-castles/,https://en.wikivoyage.org/wiki/Sopron
europe/hungary/sopron,Sopron,Sopron,9,234,do,Fertő Lake Watercomplex,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.71769,16.69102,Fertő Lake (Neusiedlersee),europe/hungary/sopron/ferto_lake,0.581,9.56,8.086,has_external_url,http://www.sopviz.hu/hu/35-aktualis_informaciok.html,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/kentucky/lexington,Lexington,Lexington (Kentucky),19,81,do,Legacy Trail,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.06262,-84.49437,The Beer Cheese Trail,northamerica/unitedstates/kentucky/lexington/beer_cheese_trail,0.552,,1.818,has_external_url,https://www.traillink.com/trail/legacy-trail-(ky)/,https://en.wikivoyage.org/wiki/Lexington_%28Kentucky%29
europe/ukraine/dnepropetrovsk,Dnipro,Dnipro,8,48,see,Historical Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.455833,35.063889,Dnipro History Museum,europe/ukraine/dnepropetrovsk/history_museum,0.684,1.521,1.635,has_external_url,http://www.museum.dp.ua/,https://en.wikivoyage.org/wiki/Dnipro
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,see,Omaha Children's Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.255121,-95.942911,Joslyn Art Museum,northamerica/unitedstates/nebraska/omaha/joslyn_art_museum,0.55,1.36,0.553,has_external_url,http://ocm.org/,https://en.wikivoyage.org/wiki/Omaha
australiaandpacific/newzealand/north_island/bay_of_plenty/tauranga,Tauranga,Tauranga,9,15,see,The Elms,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-37.6767,176.168,Tauranga Domain,australiaandpacific/newzealand/north_island/bay_of_plenty/tauranga/tauranga_domain,0.617,0.383,1.024,has_external_url,https://www.theelms.org.nz/,https://en.wikivoyage.org/wiki/Tauranga
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,do,Pavilion Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.8651,-4.2557,Glasgow School of Art,europe/unitedkingdom/scotland/glasgow/school_of_art,0.62,0.38,0.558,has_external_url,https://www.paviliontheatre.co.uk/,https://en.wikivoyage.org/wiki/Glasgow
europe/netherlands/amstelveen,Amstelveen,Amstelveen,7,21,see,Cobra Museum of Modern Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.303958,4.857894,Cobra Museum,europe/netherlands/amstelveen/cobra_museum,0.632,0.639,0.178,has_external_url,http://www.cobra-museum.nl,https://en.wikivoyage.org/wiki/Amstelveen
northamerica/canada/saskatchewan/regina,Regina,Regina,26,81,see,Douglas Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.428225,-104.579313,Victoria Park,northamerica/canada/saskatchewan/regina/victoria_park,0.56,3.209,3.395,has_external_url,http://wascana.ca/things-to-see-and-do/recreation/douglas-park,https://en.wikivoyage.org/wiki/Regina
europe/belarus/minsk,Minsk,Minsk,27,78,see,Belarusian National History Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.896667,27.555556,National Art Museum,europe/belarus/minsk/national_art_museum,0.642,0.377,0.765,has_external_url,http://www.histmuseum.by/,https://en.wikivoyage.org/wiki/Minsk
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,see,Riverwood Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.563939,-79.669985,Erindale Park,northamerica/canada/ontario/mississauga/erindale,0.593,1.763,3.418,has_external_url,https://www.theriverwoodconservancy.org/,https://en.wikivoyage.org/wiki/Mississauga
europe/unitedkingdom/england/suffolk/ipswich,Ipswich,Ipswich (England),8,47,do,The Regent Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.0573,1.1603,Ancient House,europe/unitedkingdom/england/suffolk/ipswich/ancient_house,0.666,0.334,0.517,has_external_url,http://ipswichtheatres.co.uk/,https://en.wikivoyage.org/wiki/Ipswich_%28England%29
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,see,Mombasa Memorial Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-4.063636,39.676113,Fort Jesus,africa/kenya/thecoast/mombasa/fort_jesus,0.591,0.409,1.764,has_external_url,http://www.ackmombasacathedral.com/,https://en.wikivoyage.org/wiki/Mombasa
europe/denmark/kolding,Kolding,Kolding,5,12,see,Trapholt,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.4998886,9.5318754,Trapholt Museum,europe/denmark/kolding/trapholt,0.696,1.518,3.522,has_external_url,http://www.trapholt.dk/,https://en.wikivoyage.org/wiki/Kolding
northamerica/unitedstates/washington/issaquah,Issaquah,Issaquah,8,17,do,Squak Mountain State Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.49639,-122.03833,Tiger Mountain State Forest,northamerica/unitedstates/washington/issaquah/tiger_mountain,0.654,5.243,4.296,has_external_url,http://parks.state.wa.us/588/Squak-Mountain,https://en.wikivoyage.org/wiki/Issaquah
