world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/ontario/cambridge,Cambridge,Cambridge (Ontario),8,20,see,McDougall Cottage Historic Site,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.354241,-80.317314,Green Spot Antiques,northamerica/canada/ontario/cambridge/green_spot_antique,0.683,0.317,0.767,has_external_url,https://www.mcdougallcottage.ca,https://en.wikivoyage.org/wiki/Cambridge_%28Ontario%29
europe/sweden/uppsala,Uppsala,Uppsala,18,180,see,Evolutionsmuseet,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,59.85,17.6258,Upplandsmuseet,europe/sweden/uppsala/upplandsmuseet,0.6,1.107,1.197,has_external_url,http://www.evolutionsmuseet.uu.se/indexeng.html,https://en.wikivoyage.org/wiki/Uppsala
europe/unitedkingdom/england/eastern_england/cambridge,Cambridge,Cambridge,54,165,see,Imperial War Museum Duxford,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.0959,0.1321,Polar Museum Mural,europe/unitedkingdom/england/eastern_england/cambridge/polar_tundra,0.622,11.982,12.225,has_external_url,https://www.iwm.org.uk/visits/iwm-duxford,https://en.wikivoyage.org/wiki/Cambridge
asia/china/shandong_province/jining,Jining,Jining (Shandong),10,13,see,Jining Museum New Branch,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.34344162619834,116.5963524632547,Jining Museum,asia/china/shandong_province/jining/jining_museum,0.703,8.532,6.461,has_external_url,http://www.jiningmuseum.com/,https://en.wikivoyage.org/wiki/Jining_%28Shandong%29
europe/italy/sicily/erice,Erice,Erice,6,102,see,Church of Saint Ursula,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.04157,12.58855,Chiesa Madre,europe/italy/sicily/erice/chiesa_madre,0.601,0.399,0.393,has_external_url,https://www.ericelamontagnadelsignore.it/,https://en.wikivoyage.org/wiki/Erice
northamerica/unitedstates/montana/helena,Helena,Helena (Montana),15,34,do,Mount Helena,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.58794,-112.1065,Mount Helena City Park,northamerica/unitedstates/montana/helena/mount_helena,0.706,4.004,5.39,has_external_url,https://www.helenamt.gov/Parks/TH-Mount-Helena-Trailhead,https://en.wikivoyage.org/wiki/Helena_%28Montana%29
asia/philippines/mindanaoisland/davao,Davao,Davao,38,40,see,Crocodile Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,7.098,125.599,People's Park,asia/philippines/mindanaoisland/davao/peoples_park,0.593,3.198,3.821,has_external_url,https://www.facebook.com/davaocrocodileparkandzoo/,https://en.wikivoyage.org/wiki/Davao
europe/italy/campania/naples,Naples,Naples,50,160,see,Santa Chiara,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.846611,14.252833,Cappella Sansevero,europe/italy/campania/naples/cappella_sansevero,0.654,0.346,1.241,has_external_url,http://www.monasterodisantachiara.it/english/,https://en.wikivoyage.org/wiki/Naples
asia/china/shaanxi/xian,Xi'an,Xi'an,27,73,see,Shaanxi Province Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.23269456561024,108.93966761596988,Shaanxi History Museum,asia/china/shaanxi/xian/shaanxi_history_museum,0.694,1.356,3.913,has_external_url,http://www.sxpam.org/,https://en.wikivoyage.org/wiki/Xi%27an
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,do,Wolfe Island,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.19,-76.44,Thousand Islands,northamerica/canada/ontario/kingston/thousand_islands,0.571,32.394,5.868,has_external_url,https://www.wolfeisland.com/,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29
asia/pakistan/moenjodaro,Moenjodaro,Mohenjo-daro,3,6,see,Mohenjo-daro Archaeology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.32835,68.13163,The Great Bath,asia/pakistan/moenjodaro/great_bath,0.649,0.351,0.888,has_external_url,https://antiquities.sindhculture.gov.pk/index.php/sites/museums/archaeological-museum-mohenjo-daro-larkano,https://en.wikivoyage.org/wiki/Mohenjo-daro
northamerica/guatemala/guatemalacity,Guatemala City,Guatemala City,12,76,see,Guatemala City Railway Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.6299,-90.5114,Guatemalan National History Museum,northamerica/guatemala/guatemalacity/guatemalan_national_history_museum,0.667,1.322,0.737,has_external_url,http://museofegua.com/,https://en.wikivoyage.org/wiki/Guatemala_City
europe/finland/hameenlinna,Hameenlinna,Hämeenlinna,5,31,see,Parola Tank Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.0421,24.3448,Hämeenlinna Art Museum,europe/finland/hameenlinna/hameenlinna_art_museum,0.55,8.222,8.223,has_external_url,http://www.panssarimuseo.fi/en,https://en.wikivoyage.org/wiki/H%C3%A4meenlinna
europe/estonia/haapsalu,Haapsalu,Haapsalu,7,18,see,Haapsalu Maria-Magdaleena Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.949899,23.540722,Haapsalu Castle,europe/estonia/haapsalu/haapsalu_castle,0.676,0.324,1.113,has_external_url,http://www.maria-magdaleena.net/,https://en.wikivoyage.org/wiki/Haapsalu
asia/turkey/ankara,Ankara,Ankara,13,116,do,Ankara Opera & Ballet,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.9351,32.8535,Roman Baths of Ankara,asia/turkey/ankara/roman_baths,0.592,0.408,1.593,has_external_url,https://www.operabale.gov.tr/tr-tr/Sayfalar/HomePage.aspx,https://en.wikivoyage.org/wiki/Ankara
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,see,Shot Tower,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.500083,-90.654,Dubuque Shot Tower,northamerica/unitedstates/iowa/dubuque/dubuque_shot_tower,0.714,0.965,0.887,has_external_url,http://www.cityofdubuque.org/index.aspx?NID=712/,https://en.wikivoyage.org/wiki/Dubuque
africa/tunisia/jerba,Jerba,Djerba,7,22,see,Djerba Explore,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.81876,11.04322,Djerbahood,africa/tunisia/jerba/djerbahood,0.583,16.991,18.346,has_external_url,https://www.djerbaexplore.com/en/,https://en.wikivoyage.org/wiki/Djerba
europe/greece/athens,Athens,Athens,48,150,see,Athens Municipal Art Gallery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.98088,23.72144,Kerameikos,europe/greece/athens/kerameikos,0.69,0.31,1.314,has_external_url,http://www.elculture.gr/blog/venues/dimotiki-pinakothiki-athinwn/#prettyPhoto,https://en.wikivoyage.org/wiki/Athens
europe/finland/kotka,Kotka,Kotka,3,31,see,Maretarium Aquarium,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.4612,26.9507,Maretarium,europe/finland/kotka/maretarium,0.69,0.638,0.728,has_external_url,http://www.maretarium.fi/fi/?lang=en,https://en.wikivoyage.org/wiki/Kotka
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,Hamilton Children's Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.243714,-79.825985,Hamilton Farmers' Market,northamerica/canada/ontario/hamilton/hamilton_farmers_market,0.612,3.949,4.038,has_external_url,https://www.hamilton.ca/attractions/hamilton-civic-museums/hamilton-childrens-museum,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
europe/romania/curtea_de_arges,Curtea de Arges,Curtea de Argeș,4,17,see,Olari Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.144263,24.67873,Curtea de Arges Cathedral,europe/romania/curtea_de_arges/a_national_legend,0.666,0.334,0.581,has_external_url,https://transfagarasan.travel/ghid/en/locatie/olari-church/,https://en.wikivoyage.org/wiki/Curtea_de_Arge%C8%99
europe/germany/brandenburg/oranienburg,Oranienburg,Oranienburg,5,9,see,Sachsenhausen Memorial and Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.7635,13.26186,Sachsenhausen Concentration Camp,europe/germany/brandenburg/oranienburg/sachsenhausen_concentration_camp,0.632,0.368,2.066,has_external_url,http://www.stiftung-bg.de/gums/en/index.htm,https://en.wikivoyage.org/wiki/Oranienburg
asia/iran/tehran,Tehran,Tehran,44,119,see,Sorkheh Hesar National Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.638333,51.579444,Sofrehkhaneh Sonnati Sangalaj,asia/iran/tehran/sofrehkhaneh_sonnati,0.607,17.19,18.061,has_external_url,http://www.itto.org/tourismattractions/?sight=58,https://en.wikivoyage.org/wiki/Tehran
northamerica/unitedstates/connecticut/hartford,Hartford,Hartford,11,75,see,Elizabeth Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.7757766,-72.714588,Elizabeth Park Rose Garden,northamerica/unitedstates/connecticut/hartford/elizabeth_park_rose_garden,0.7,0.63,2.332,has_external_url,https://www.elizabethparkct.org/,https://en.wikivoyage.org/wiki/Hartford
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Bucharest History Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.4348,26.1022,Lipscani,europe/romania/bucharest/lipscani,0.663,0.337,0.15,has_external_url,http://www.muzeulbucurestiului.ro/,https://en.wikivoyage.org/wiki/Bucharest
northamerica/unitedstates/florida/northeastflorida/jacksonville,Jacksonville,Jacksonville,47,108,see,Ritz Theatre and Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.33505,-81.66688,The Alhambra Theatre and Dining,northamerica/unitedstates/florida/northeastflorida/jacksonville/alhambra_theatre,0.56,8.144,1.305,has_external_url,http://www.ritzjacksonville.com/,https://en.wikivoyage.org/wiki/Jacksonville
europe/finland/jyvaskyla,Jyväskylä,Jyväskylä,10,66,see,Toivola Old Courtyard,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,62.2376,25.7445,Jyväskylä Art Museum,europe/finland/jyvaskyla/jyvaskyla_art_museum,0.577,0.423,0.45,has_external_url,https://vanhapiha.fi/en/,https://en.wikivoyage.org/wiki/Jyv%C3%A4skyl%C3%A4
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,Museum of Anthropology,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.2736,-83.7362,Kelsey Museum of Archaeology,northamerica/unitedstates/michigan/annarbor/kelsey_museum_of_archaeology,0.68,0.515,1.333,has_external_url,https://lsa.umich.edu/ummaa/,https://en.wikivoyage.org/wiki/Ann_Arbor
asia/china/henan_province/kaifeng,Kaifeng,Kaifeng,6,33,see,Kaifeng Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.804568,114.247806,Kaifeng Night Market,asia/china/henan_province/kaifeng/night_market,0.588,9.021,8.938,has_external_url,http://www.kfsbwg.com/,https://en.wikivoyage.org/wiki/Kaifeng
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Straßenbahnmuseum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.3553341,12.3901191,Stasi Museum (Runde Ecke),europe/germany/saxony/leipzig/stasi_museum,0.69,2.153,1.953,has_external_url,http://www.strassenbahnmuseum.de/,https://en.wikivoyage.org/wiki/Leipzig
europe/hungary/veszprem,Veszprém,Veszprém,11,105,see,Regina Mundi parish,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.09208,17.90298,Veszprém County Hall,europe/hungary/veszprem/veszprem_county_hall,0.603,0.397,0.407,has_external_url,http://reginamundiplebania.hu/,https://en.wikivoyage.org/wiki/Veszpr%C3%A9m
northamerica/unitedstates/tennessee/nashville,Nashville,Nashville,60,113,do,Cheekwood Botanical Garden and Museum of Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.086667,-86.873889,Cheekwood Estate and Gardens,northamerica/unitedstates/tennessee/nashville/cheekwood,0.583,0.923,12.276,has_external_url,http://www.cheekwood.org,https://en.wikivoyage.org/wiki/Nashville
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Museum of Yugoslavia and Tito's Mausoleum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.7867,20.4517,Museum of Yugoslavia,europe/serbia/belgrade/museum_of_yugoslavia,0.656,1.376,3.215,has_external_url,https://muzej-jugoslavije.org/,https://en.wikivoyage.org/wiki/Belgrade
asia/turkey/tekirdag,Tekirdağ,Tekirdağ,6,17,see,Archaeology and Ethnography Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.975556,27.5125,Tekirdağ Archaeological Museum,asia/turkey/tekirdag/tekirdag_archaeological_museum,0.571,13.627,13.834,has_external_url,https://muze.gov.tr/muze-detay?sectionId=TKM01&distId=MRK,https://en.wikivoyage.org/wiki/Tekirda%C4%9F
europe/hungary/sopron,Sopron,Sopron,9,234,see,Pharmacy Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68633,16.59113,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.552,0.448,0.861,has_external_url,http://portal.sopron.hu/Sopron/portal/english_show?contentId=2135,https://en.wikivoyage.org/wiki/Sopron
northamerica/unitedstates/northcarolina/chapelhill,Chapel Hill,Chapel Hill,11,65,see,Carolina Basketball Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.8999,-79.04217,North Carolina Botanical Garden,northamerica/unitedstates/northcarolina/chapelhill/north_carolina_botanical_garden,0.628,0.372,1.922,has_external_url,http://www.goheels.com/fls/3350/museum/index.html,https://en.wikivoyage.org/wiki/Chapel_Hill
southamerica/venezuela/caracas,Caracas,Caracas,52,96,see,Centro de Arte La Estancia,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.494675,-66.846778,Altamira,southamerica/venezuela/caracas/altamira,0.69,0.31,7.523,has_external_url,http://www.pdvsa.com/index.php?tpl=interface.sp/design/readmenuprinc_cale.tpl.html&newsid_temas=270,https://en.wikivoyage.org/wiki/Caracas
europe/finland/tampere,Tampere,Tampere,61,207,see,Amuri Museum of Workers' Housing,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.49951,23.74307,Hämeenpuisto,europe/finland/tampere/hameenpuisto,0.653,0.347,1.003,has_external_url,http://www.tampere.fi/amuri/en/,https://en.wikivoyage.org/wiki/Tampere
europe/poland/katowice,Katowice,Katowice,12,77,see,History of Katowice Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.2554,19.0285,Church of the Resurrection,europe/poland/katowice/church_of_the_resurrection,0.595,0.405,1.108,has_external_url,https://www.mhk.katowice.pl/,https://en.wikivoyage.org/wiki/Katowice
asia/laos/luangnamtha,Luang Namtha,Luang Namtha,8,12,do,Discoveringlaos,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.002,101.4094,Luang Namtha Museum,asia/laos/luangnamtha/luang_namtha_museum,0.559,0.441,0.608,has_external_url,http://www.discoveringlaos.com,https://en.wikivoyage.org/wiki/Luang_Namtha
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Staatliches Museum für Naturkunde Stuttgart,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.80501,9.19019,Staatsgalerie Stuttgart,europe/germany/badenwrttemberg/stuttgart/stategallery,0.576,2.766,3.046,has_external_url,https://www.naturkundemuseum-bw.de/en/,https://en.wikivoyage.org/wiki/Stuttgart
