world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/gyor,Győr,Győr,13,201,see,Révfalu Roman Catholic Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6919,17.6299,Győr Cathedral,europe/hungary/gyor/gyor_cathedral,0.58,0.42,0.99,has_external_url,http://muemlekem.hu/muemlek?id=4251,https://en.wikivoyage.org/wiki/Gy%C5%91r
europe/latvia/ventspils,Ventspils,Ventspils,12,26,do,Ventspils Blue Flag Beach,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.39212,21.533031,Ventspils City Beach,europe/latvia/ventspils/city_beach,0.711,1.118,1.842,has_external_url,http://tourism.ventspils.lv,https://en.wikivoyage.org/wiki/Ventspils
europe/hungary/gyor,Győr,Győr,13,201,see,Holy Trinity Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6901,17.6357,Margit Kovács Ceramic Collection,europe/hungary/gyor/margit_kovacs_ceramic_collection,0.62,0.38,0.741,has_external_url,http://miserend.hu/?templom=116,https://en.wikivoyage.org/wiki/Gy%C5%91r
northamerica/unitedstates/washington/tacoma,“Tacoma”,Tacoma,15,79,see,Fort Nisqually Living History Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.3031,-122.53184,Washington State History Museum,northamerica/unitedstates/washington/tacoma/washington_state_history_museum,0.567,9.69,9.53,has_external_url,https://www.metroparkstacoma.org/place/fort-nisqually-living-history-museum/,https://en.wikivoyage.org/wiki/Tacoma
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Hengso Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.855579,128.484165,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.588,10.921,10.71,has_external_url,http://hengsomuseum.com,https://en.wikivoyage.org/wiki/Daegu
northamerica/unitedstates/texas/fort_worth,Fort Worth,Fort Worth,24,85,see,Fort Worth Museum of Science and History,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.74501,-97.36926,Fort Worth Japanese Garden,northamerica/unitedstates/texas/fort_worth/japanese_garden,0.579,0.421,3.538,has_external_url,http://www.fwmsh.org,https://en.wikivoyage.org/wiki/Fort_Worth
asia/southkorea/gyeongju,Gyeongju,Gyeongju,18,80,see,Hwangnyongsa History and Culture Center,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.8365,129.2312,Donggung Palace and Wolji Pond,asia/southkorea/gyeongju/donggung_palace,0.574,0.426,2.268,has_external_url,https://www.gyeongju.go.kr/tour/page.do?mnu_uid=2344,https://en.wikivoyage.org/wiki/Gyeongju
northamerica/unitedstates/kentucky/lexington,Lexington,Lexington (Kentucky),19,81,see,Ashland,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.029322,-84.47996,Ashland — The Henry Clay Estate,northamerica/unitedstates/kentucky/lexington/ashland_henry_clay_estate,0.67,0.33,2.418,has_external_url,http://www.henryclay.org/,https://en.wikivoyage.org/wiki/Lexington_%28Kentucky%29
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,see,Trolley Bus Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.976354,5.915601,John Frost Bridge,europe/netherlands/arnhem/john_frost_bridge,0.687,0.313,1.512,has_external_url,http://www.trolley-busmuseum.nl/,https://en.wikivoyage.org/wiki/Arnhem
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,see,Salisbury Mansion,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.271944,-71.802778,Worcester Art Museum,northamerica/unitedstates/massachusetts/worcester/worcester_art_museum,0.598,0.402,1.046,has_external_url,https://www.worcesterhistory.org/mansion,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29
asia/india/rajasthan/jaipur,Jaipur,Jaipur,39,85,see,Jagat Shiromani Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.988856,75.851183,Amer,asia/india/rajasthan/jaipur/amer_neighbourhood,0.627,0.373,8.769,has_external_url,https://www.jagatshiromaniji.com,https://en.wikivoyage.org/wiki/Jaipur
