world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/pasadena,Pasadena,Pasadena,14,46,see,Pasadena Museum of History,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.149095,-118.160986,Norton Simon Museum,northamerica/unitedstates/california/pasadena/nortonsimonmuseum,0.667,0.333,1.524,has_external_url,https://www.pasadenahistory.org/,https://en.wikivoyage.org/wiki/Pasadena
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Sutton Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.571,-1.8568,Aston Hall,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/aston_hall,0.571,7.358,10.616,has_external_url,http://www.birmingham.gov.uk/suttonpark,https://en.wikivoyage.org/wiki/Birmingham
europe/germany/mecklenburgwesternpomerania/schwerin,Schwerin,Schwerin,9,27,see,Zoo Schwerin,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.605,11.4431,Schwerin Zoo,europe/germany/mecklenburgwesternpomerania/schwerin/schwerin_zoo,0.667,5.231,3.239,has_external_url,http://www.zoo-schwerin.de,https://en.wikivoyage.org/wiki/Schwerin
europe/hungary/sopron,Sopron,Sopron,9,234,see,Former County Hall,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68648,16.59031,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.597,0.403,0.913,has_external_url,http://turizmus.sopron.hu/hu/info/latnivalok/muemlekek/varmegye-haza.html,https://en.wikivoyage.org/wiki/Sopron
northamerica/canada/britishcolumbia/golden,Golden,Golden (British Columbia),9,35,see,Kicking Horse Pedestrian Bridge,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.299675,-116.968369,Kicking Horse Mountain Resort,northamerica/canada/britishcolumbia/golden/kicking_horse_mountain_resort,0.667,8.621,0.288,has_external_url,https://www.tourismgolden.com/places/kicking-horse-pedestrian-bridge,https://en.wikivoyage.org/wiki/Golden_%28British_Columbia%29
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Railways Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.44836,26.072965,Village Museum,europe/romania/bucharest/village_museum,0.69,2.799,2.726,has_external_url,http://www.cenafer.ro/,https://en.wikivoyage.org/wiki/Bucharest
northamerica/unitedstates/northcarolina/greensboro,Greensboro,Greensboro,15,40,do,The Barn Dinner Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.07913,-79.912475,Carolina Theatre,northamerica/unitedstates/northcarolina/greensboro/carolina_theatre,0.686,10.896,10.854,has_external_url,http://www.barndinner.com/,https://en.wikivoyage.org/wiki/Greensboro
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Firefighters Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.4403,26.1205,Village Museum,europe/romania/bucharest/village_museum,0.606,5.068,1.488,has_external_url,https://www.facebook.com/muzeulnationalalpompierilor/,https://en.wikivoyage.org/wiki/Bucharest
asia/china/hunan/changsha,Changsha,Changsha,50,47,see,Longping Rice Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.19305,113.05362,Hunan Art Museum,asia/china/hunan/changsha/hunan_art_museum,0.611,7.457,8.131,has_external_url,http://www.furong.gov.cn/affairs/xxgk/gov2/lpsdbwg/,https://en.wikivoyage.org/wiki/Changsha
southamerica/brazil/recife,Recife,Recife,34,154,see,Joaquim Nabuco Palace,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-8.05826,-34.88018,Santa Isabel Theater,southamerica/brazil/recife/santa_isabel_theater,0.665,0.335,0.511,has_external_url,http://www.alepe.pe.gov.br/,https://en.wikivoyage.org/wiki/Recife
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,Buffalo Fire Historical Society Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.885041,-78.802256,Buffalo AKG Art Museum,northamerica/unitedstates/newyorkstate/buffalo/albright_knox,0.6,7.947,6.185,has_external_url,https://bfhsmuseum.com/,https://en.wikivoyage.org/wiki/Buffalo
