world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,see,Swansea Vale Nature Reserve,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.67,-3.90083,Swansea Grand Theatre,europe/unitedkingdom/wales/swansea/grand_theatre,0.583,6.629,6.41,has_external_url,http://www.swansea.gov.uk/swanseavalenaturereserve,https://en.wikivoyage.org/wiki/Swansea
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Ordenskirche,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.9541,11.5929,Stadtkirche (City Church),europe/germany/bavaria/bayreuth/stadtkirche,0.609,1.575,1.694,has_external_url,https://www.ordenskirche.de/,https://en.wikivoyage.org/wiki/Bayreuth
northamerica/unitedstates/oklahoma/tulsa,Tulsa,Tulsa,16,92,see,Tulsa Botanical Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.206519,-96.0622,Tulsa Flea Market,northamerica/unitedstates/oklahoma/tulsa/tulsa_flea_market,0.564,12.942,8.368,has_external_url,https://tulsabotanic.org,https://en.wikivoyage.org/wiki/Tulsa
europe/germany/lowersaxony/hannover,Hannover,Hanover,50,74,see,Blindenmuseum Hannover,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.364342,9.805562,Historisches Museum Hannover,europe/germany/lowersaxony/hannover/historisches_museum,0.68,5.049,5.157,has_external_url,https://www.hannover.de/Kultur-Freizeit/Museen-Ausstellungen/Museumsf%C3%BChrer/Museen-von-A-bis-Z/Blindenmuseum-Hannover,https://en.wikivoyage.org/wiki/Hanover
europe/ireland/killarney,Killarney,Killarney,11,45,see,Franciscan Friary,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.06052,-9.50476,Kerry Way,europe/ireland/killarney/kerry_way,0.68,0.32,0.112,has_external_url,https://www.franciscans.ie/our-friaries/present-friaries/killarney/,https://en.wikivoyage.org/wiki/Killarney
asia/china/jiangsu_province/zhenjiang,Zhenjiang,Zhenjiang,6,13,see,Nanshan Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.1726758772,119.4355570125,Beigushan (North Gu Mountain) Park,asia/china/jiangsu_province/zhenjiang/beigushan_park,0.692,5.337,1.987,has_external_url,http://www.nsfjq.com/en/about.asp,https://en.wikivoyage.org/wiki/Zhenjiang
europe/finland/porvoo,Porvoo,Porvoo,11,41,see,Home of J.L. Runeberg,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.39,25.664,J.L. Runeberg's Home,europe/finland/porvoo/runeberg_home,0.615,0.519,0.505,has_external_url,https://www.visitporvoo.fi/jl-runebergs-home,https://en.wikivoyage.org/wiki/Porvoo
asia/turkey/demre,Demre (Myra),Demre,2,9,see,Myra,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.2587,29.9855,Myra Rock Tombs and Theatre,asia/turkey/demre/myra_tombs,0.577,0.423,1.227,has_external_url,https://muze.gov.tr/muze-detay?sectionId=MYR01&distId=MYR,https://en.wikivoyage.org/wiki/Demre
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Sidorov State Mineralogical Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.261158,104.262778,Irkutsk Regional Museum,europe/russia/irkutsk/regional_museum,0.561,3.115,3.319,has_external_url,http://www.sib-mineral.ru/,https://en.wikivoyage.org/wiki/Irkutsk
northamerica/unitedstates/newmexico/albuquerque,Albuquerque,Albuquerque,15,137,do,Aux Dog Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.08187,-106.61138,KiMo Theatre,northamerica/unitedstates/newmexico/albuquerque/kimo_theatre,0.667,3.758,3.614,has_external_url,https://www.groundworksnm.org/nonprofit-directory/nonprofit/9669,https://en.wikivoyage.org/wiki/Albuquerque
asia/turkey/amasya,Amasya,Amasya,9,29,see,Mehmet Paşa Mosque,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.6547,35.8357,Büyük Ağa Medresesi,asia/turkey/amasya/buyuk_aga_medrese,0.55,0.45,0.576,has_external_url,https://www.kulturportali.gov.tr/turkiye/amasya/gezilecekyer/mehmet-pasa-cam,https://en.wikivoyage.org/wiki/Amasya
australiaandpacific/newzealand/nelson,Nelson,Nelson (New Zealand),18,40,see,Queens Gardens,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-41.273615,173.290362,Suter Art Gallery,australiaandpacific/newzealand/nelson/suter_art_gallery,0.674,0.326,0.626,has_external_url,http://www.nelson.govt.nz/recreation/recreation/parks-and-reserves/queens-garden/,https://en.wikivoyage.org/wiki/Nelson_%28New_Zealand%29
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Gukchae Bosang Memorial Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.87209,128.58812,Gyeongsang-gamyeong Park,asia/southkorea/dae_gu/gyeongsang_gamyeong_park,0.614,0.386,1.199,has_external_url,https://tour.daegu.go.kr/index.do?menu_id=00002943&menu_link=/front/tour/tourMapsView.do?tourId=KOATTR_123,https://en.wikivoyage.org/wiki/Daegu
europe/belgium/zottegem,Zottegem,Zottegem,9,14,see,Archaeological museum 'Archeocentrum Velzeke (AVE)' and Paddestraat,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.880278,3.771944,Archaeological Museum of Velzeke,europe/belgium/zottegem/archaeological_museum_velzeke,0.681,0.66,3.231,has_external_url,http://www.pam-ov.be/velzeke,https://en.wikivoyage.org/wiki/Zottegem
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,see,Museo AJA,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,13.99725,-89.56026,Mercado Central,northamerica/elsalvador/santaana/mercado_central,0.656,0.344,0.344,has_external_url,https://www.facebook.com/Museo-AJA-458009504268967/,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29
europe/croatia/zagreb,Zagreb,Zagreb,42,133,see,Museum of Contemporary Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.7788,15.9818,Croatian Museum of Naïve Art,europe/croatia/zagreb/museum_of_naive_art,0.593,4.158,4.025,has_external_url,http://www.msu.hr/en/,https://en.wikivoyage.org/wiki/Zagreb
northamerica/unitedstates/oklahoma/lawton,Lawton,Lawton (Oklahoma),11,14,see,U.S. Army Field Artillery Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.66567,-98.3853,Fort Sill National Historic Landmark,northamerica/unitedstates/oklahoma/lawton/fort_sill,0.565,0.435,6.785,has_external_url,https://sill-www.army.mil/famuseum/,https://en.wikivoyage.org/wiki/Lawton_%28Oklahoma%29
europe/lithuania/vilnius,Vilnius,Vilnius,53,134,see,Vilna Gaon Jewish State Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.6772,25.2772,Town Hall Square (Rotušės aikštė),europe/lithuania/vilnius/town_hall,0.67,0.33,1.124,has_external_url,https://www.jmuseum.lt/en/,https://en.wikivoyage.org/wiki/Vilnius
europe/spain/galicia/o_grove,O Grove,O Grove,9,5,see,O Grove Aquarium,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.4838,-8.8909,O Grove Harbour,europe/spain/galicia/o_grove/o_grove_harbour,0.71,2.264,1.636,has_external_url,https://acuariodogrove.es/,https://en.wikivoyage.org/wiki/O_Grove
