world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/poland/lodz,Łódź,Łódź,7,114,see,Muzeum Archeologiczne i Ethograficzne,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.77641,19.4555,Izrael Poznański Palace,europe/poland/lodz/izreal_poznaski_palace,0.607,0.393,0.7,has_external_url,http://nowe.maie.lodz.pl/pl/o-muzeum/about-us/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
asia/china/zhejiang/ningbo,Ningbo,Ningbo,50,112,see,Ningbo Youngor Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.808,121.6742,Ningbo Port Museum,asia/china/zhejiang/ningbo/ningbo_port_museum,0.556,13.617,13.642,has_external_url,http://www.nbzoo.com/,https://en.wikivoyage.org/wiki/Ningbo
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Charlotte-Genesee Lighthouse,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.25274,-77.61071,Genesee Brew House,northamerica/unitedstates/newyorkstate/rochester/genesee_brew_house,0.565,10.48,10.691,has_external_url,http://www.geneseelighthouse.org,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
europe/hungary/szentendre,Szentendre,Szentendre,13,49,see,Hungarian Open-Air Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.69365,19.04847,Margit Kovács Museum,europe/hungary/szentendre/margit_kovacs_museum,0.578,3.444,3.542,has_external_url,http://www.skanzen.hu/index.php?fm=article&id=1,https://en.wikivoyage.org/wiki/Szentendre
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth,Plymouth,Plymouth (England),13,55,see,The Royal William Yard,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.3618,-4.165,Royal Citadel,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth/royal_citadel,0.581,2.02,1.926,has_external_url,https://royalwilliamyard.com/,https://en.wikivoyage.org/wiki/Plymouth_%28England%29
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Daegu International Opera Festival,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.883714,128.592144,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.582,5.172,1.603,has_external_url,http:// http://www.daeguoperahouse.org,https://en.wikivoyage.org/wiki/Daegu
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Fire Brigade Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.95028,11.5666,Maisel's Brewery and Cooperage Museum,europe/germany/bavaria/bayreuth/maisel_brewery,0.569,0.431,0.843,has_external_url,https://bayreuther-feuerwehrmuseum.de,https://en.wikivoyage.org/wiki/Bayreuth
europe/estonia/otep,Otepää,Otepää,5,21,see,Otepää Ski and Estonian Flag museums,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.061039,26.501506,Otepää Castle,europe/estonia/otep/otepaa_castle,0.557,0.443,0.428,has_external_url,http://www.visitestonia.com/en/estonian-flag-room,https://en.wikivoyage.org/wiki/Otep%C3%A4%C3%A4
southamerica/brazil/sao_luis,São Luís,São Luís,72,24,do,Valparaíso Acqua Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-2.50424,-44.15906,Bacanga State Park,southamerica/brazil/sao_luis/bacanga_state_park,0.564,16.031,15.513,has_external_url,http://www.valparaisoacquapark.com.br/,https://en.wikivoyage.org/wiki/S%C3%A3o_Lu%C3%ADs
northamerica/unitedstates/oklahoma/tulsa,Tulsa,Tulsa,16,92,do,Oxley Nature Center,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.22343,-95.90321,Woody Guthrie Center,northamerica/unitedstates/oklahoma/tulsa/woody_guthrie_center,0.667,11.413,10.967,has_external_url,https://www.oxleynaturecenter.org/,https://en.wikivoyage.org/wiki/Tulsa
asia/china/hunan/changsha,Changsha,Changsha,50,47,see,Changsha Bamboo Slips Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.18834,112.97751,Du Fu River Pavilion,asia/china/hunan/changsha/du_fu_river_pavilion,0.668,0.332,1.322,has_external_url,http://www.chinajiandu.cn/,https://en.wikivoyage.org/wiki/Changsha
