world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Saint George (Jura) Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.838611,24.013056,Latin Cathedral,europe/ukraine/lviv/latin_cathedral,0.703,1.281,1.382,has_external_url,http://sobor-svyura.lviv.ua/,https://en.wikivoyage.org/wiki/Lviv
europe/poland/zabrze,Zabrze,Zabrze,3,19,see,Botanical Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.2961,18.7643,Arena Zabrze,europe/poland/zabrze/arena_zabrze,0.696,0.304,2.096,has_external_url,https://mob.zabrze.pl/,https://en.wikivoyage.org/wiki/Zabrze
africa/tunisia/sfax,Sfax,Sfax,7,15,see,Archaeological Museum of Sfax,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.732137,10.763896,Medina of Sfax,africa/tunisia/sfax/medina_of_sfax,0.666,0.334,0.872,has_external_url,http://www.patrimoinedetunisie.com.tn/arabe/musees/archeo_sfax.php,https://en.wikivoyage.org/wiki/Sfax
northamerica/unitedstates/pennsylvania/reading,Reading,Reading (Pennsylvania),7,17,see,Reading Public Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.327354,-75.951347,Reading Public Library,northamerica/unitedstates/pennsylvania/reading/reading_public_library,0.698,2.066,2.175,has_external_url,http://www.readingpublicmuseum.org,https://en.wikivoyage.org/wiki/Reading_%28Pennsylvania%29
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,St. Maria Lyskirchen,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.932958,6.962728,Chocolate Museum (Schokoladenmuseum),europe/germany/northrhinewestphalia/cologne/schokoladenmuseum,0.698,0.302,0.631,has_external_url,https://www.cologne-tourism.com/arts-culture/sights/detail/st-maria-in-lyskirchen,https://en.wikivoyage.org/wiki/Cologne
asia/indonesia/java/solo,Solo,Solo,20,80,see,Sangiran Early Man Site Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-7.456,110.836,Radya Pustaka Museum,asia/indonesia/java/solo/radya_pustaka_museum,0.56,12.039,12.615,has_external_url,https://whc.unesco.org/pg.cfm?cid=31&id_site=593,https://en.wikivoyage.org/wiki/Solo
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,do,Cuthbert Amphitheater,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.0561,-123.0756,Alton Baker Park,northamerica/unitedstates/oregon/eugene/alton_baker_park,0.57,0.43,1.674,has_external_url,http://thecuthbert.com/,https://en.wikivoyage.org/wiki/Eugene
europe/germany/hessen/darmstadt,Darmstadt,Darmstadt,10,54,see,Eisenbahnmuseum Darmstadt-Kranichstein,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.9078,8.67917,Hessisches Landesmuseum Darmstadt,europe/germany/hessen/darmstadt/hessisches_landesmuseum,0.592,4.094,4.377,has_external_url,http://www.bahnwelt.de/,https://en.wikivoyage.org/wiki/Darmstadt
asia/israel/haifa,Haifa,Haifa,31,47,do,Cable car,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.831389,34.970278,Stella Maris Cable Car,asia/israel/haifa/cable_car,0.581,1.158,2.96,has_external_url,http://www.tour-haifa.co.il/eng/Haifa_Cable_Car.html,https://en.wikivoyage.org/wiki/Haifa
southamerica/brazil/ilhagrande,Ilha Grande,Ilha Grande,13,24,see,Igreja de São Sebastião,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-23.14013,-44.1684,Ruins of the Old Aqueduct,southamerica/brazil/ilhagrande/aqueduct,0.614,0.386,6.726,has_external_url,http://dioceseitaguai.org.br,https://en.wikivoyage.org/wiki/Ilha_Grande
europe/faroeislands/torshavn,Tórshavn,Tórshavn,14,17,see,National Gallery of the Faroe Islands,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,62.017444,-6.780611,St Mary's Church (Maríukirkjan),europe/faroeislands/torshavn/st_marys_church,0.666,0.334,0.939,has_external_url,https://art.fo/,https://en.wikivoyage.org/wiki/T%C3%B3rshavn
australiaandpacific/newzealand/south_island/otago/dunedin,Dunedin,Dunedin,15,102,see,Knox Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-45.867152,170.507083,Olveston,australiaandpacific/newzealand/south_island/otago/dunedin/olveston,0.659,0.341,0.819,has_external_url,https://knoxchurch.net/,https://en.wikivoyage.org/wiki/Dunedin
europe/sweden/uddevalla,Uddevalla,Uddevalla,5,14,see,The Shell Bank Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.356416,11.967307,Kuröd Shell Banks,europe/sweden/uddevalla/kurod_shell_banks,0.647,5.164,1.881,has_external_url,http://www.vastsverige.com/en/uddevalla-eng/b/167157/The-Shell-Bank-museum-in-Uddevalla,https://en.wikivoyage.org/wiki/Uddevalla
europe/georgia/batumi,Batumi,Batumi,39,45,see,Petra Fortress,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.7683,41.75361,Gonio-Apsaros Fortress,europe/georgia/batumi/gonio_apsaros_fortress,0.556,30.271,16.292,has_external_url,https://georgiantravelguide.com/en/petra-fortress,https://en.wikivoyage.org/wiki/Batumi
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,Aeroseum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.7706,11.8808,Universeum,europe/sweden/gothenburg/universeum,0.667,10.536,8.708,has_external_url,http://www.aeroseum.se,https://en.wikivoyage.org/wiki/Gothenburg
europe/poland/bialystok,Białystok,Białystok,9,12,do,Memorial Museum Siberia,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.14338,23.1757,Army Museum in Białystok,europe/poland/bialystok/army_museum,0.553,1.419,1.294,has_external_url,http://sybir.bialystok.pl/,https://en.wikivoyage.org/wiki/Bia%C5%82ystok
northamerica/unitedstates/montana/bozeman,Bozeman,Bozeman,7,37,see,The Pioneer Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.67966,-111.04216,American Computer Museum,northamerica/unitedstates/montana/bozeman/american_computer_museum,0.662,0.338,0.149,has_external_url,https://www.gallatinhistorymuseum.org/,https://en.wikivoyage.org/wiki/Bozeman
asia/japan/honshu/kobe,Kobe,Kobe,22,53,see,Sawa-no-Tsuru Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.7036,135.2329,Kobe City Museum,asia/japan/honshu/kobe/kobe_city_museum,0.556,4.07,3.706,has_external_url,http://www.sawanotsuru.co.jp/site/,https://en.wikivoyage.org/wiki/Kobe
europe/norway/kristiansand,Kristiansand,Kristiansand,20,80,do,Høyt & Lavt Odderøya,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.135354,7.999361,Kunstsilo,europe/norway/kristiansand/kunstsilo,0.628,0.372,1.281,has_external_url,https://www.visitnorway.com/places-to-go/southern-norway/kristiansand/listings-kristiansand/h%c3%b8yt-%26-lavt-odder%c3%b8ya-climbing-center-in-kristiansand/207692/?lang=usa,https://en.wikivoyage.org/wiki/Kristiansand
northamerica/unitedstates/florida/northeastflorida/jacksonville,Jacksonville,Jacksonville,47,108,see,Museum of Contemporary Art Jacksonville,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.3293,-81.6586,Basilica of the Immaculate Conception,northamerica/unitedstates/florida/northeastflorida/jacksonville/basilica_immaculate_conception,0.68,0.32,0.348,has_external_url,http://mocajacksonville.unf.edu/,https://en.wikivoyage.org/wiki/Jacksonville
