world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/spain/andalucia/jerezdelafrontera,Jerez de la Frontera,Jerez de la Frontera,6,74,see,Equestrian Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.6934,-6.13647,Real Escuela Andaluza del Arte Ecuestre,europe/spain/andalucia/jerezdelafrontera/real_escuela_ecuestre,0.684,0.316,1.306,has_external_url,https://www.realescuela.org/en/visits-shows/museums/museum-of-equestrian-art/,https://en.wikivoyage.org/wiki/Jerez_de_la_Frontera
northamerica/unitedstates/florida/northeastflorida/jacksonville,Jacksonville,Jacksonville,47,108,see,Jacksonville Naval Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.3225,-81.650979,USS Orleck Naval Museum,northamerica/unitedstates/florida/northeastflorida/jacksonville/uss_orleck,0.708,0.474,0.784,has_external_url,https://jaxnavalmuseum.org/,https://en.wikivoyage.org/wiki/Jacksonville
europe/lithuania/panevezys,Panevėžys,Panevėžys,7,19,see,Christ the King Cathedral Cemetery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.7124,24.3796,Laisvės Square and Christ the King Cathedral,europe/lithuania/panevezys/laisves_square_cathedral,0.6,2.797,2.811,has_external_url,https://cemety.lt/public/cemeteries/444,https://en.wikivoyage.org/wiki/Panev%C4%97%C5%BEys
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/nottingham,Nottingham,Nottingham,16,76,see,Wollaton Hall,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.94788,-1.209595,Wollaton Hall and Deer Park,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/nottingham/wollaton_hall,0.65,0.593,4.059,has_external_url,http://www.wollatonhall.org.uk/,https://en.wikivoyage.org/wiki/Nottingham
europe/italy/lombardia/lagodigarda/salo,Salò,Salò,3,9,see,MuSa,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.607613,10.526061,Duomo di Salò (Santa Maria Annunziata),europe/italy/lombardia/lagodigarda/salo/duomo,0.572,0.428,0.513,has_external_url,http://www.museodisalo.it/,https://en.wikivoyage.org/wiki/Sal%C3%B2
northamerica/unitedstates/california/goldcountry/grassvalley,Grass Valley,Grass Valley (California),8,14,see,North Star Mining Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.2081521,-121.0719551,North Star Mine and Powerhouse,northamerica/unitedstates/california/goldcountry/grassvalley/north_star_mine_and_powerhouse,0.667,1.601,1.446,has_external_url,https://nevadacountyhistory.org/north-star-mining-museum,https://en.wikivoyage.org/wiki/Grass_Valley_%28California%29
europe/italy/campania/naples,Naples,Naples,50,160,see,Villa Pignatelli,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.8349,14.2335,Villa Comunale,europe/italy/campania/naples/villa_comunale,0.6,0.415,1.289,has_external_url,http://www.polomusealecampania.beniculturali.it/index.php/il-museo-pignatelli,https://en.wikivoyage.org/wiki/Naples
northamerica/thecaribbean/barbados/bridgetown,Bridgetown,Bridgetown,19,19,do,Mount Gay Rum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,13.1127,-59.6264,Mount Gay Rum Visitor Centre,northamerica/thecaribbean/barbados/bridgetown/mount_gay_visitor_centre,0.634,1.276,2.179,has_external_url,https://www.mountgayrum.com/visitor-centre/,https://en.wikivoyage.org/wiki/Bridgetown
asia/laos/luangprabang,Luang Prabang,Luang Prabang,15,64,do,Nava Mekong Cruises,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.896019,102.138666,Wat Sen,asia/laos/luangprabang/wat_sen,0.669,0.331,0.859,has_external_url,http://navamekong.com/,https://en.wikivoyage.org/wiki/Luang_Prabang
asia/china/guizhou/guiyang,Guiyang,Guiyang,9,25,see,Guizhou Nationalities Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.57208,106.70852,Guizhou Provincial Museum,asia/china/guizhou/guiyang/guizhou_provincial_museum,0.717,1.714,0.816,has_external_url,http://www.gzsmzmuseum.cn/,https://en.wikivoyage.org/wiki/Guiyang
europe/netherlands/breda,Breda,Breda,16,35,see,Maczek Memorial,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.5819,4.7477,General Maczek Museum,europe/netherlands/breda/general_maczek_museum,0.556,2.167,1.806,has_external_url,https://www.maczekmemorialbreda.nl/,https://en.wikivoyage.org/wiki/Breda
