world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/oregon/salem,Salem,Salem (Oregon),6,36,see,Powerland Heritage Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.0517,-122.98,Willamette Heritage Center,northamerica/unitedstates/oregon/salem/willamette_heritage_center,0.571,13.49,13.193,has_external_url,http://www.antiquepowerland.com,https://en.wikivoyage.org/wiki/Salem_%28Oregon%29
europe/netherlands/apeldoorn,Apeldoorn,Apeldoorn,18,26,see,Apenheul,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.215556,5.918889,Apenheul Primate Park,europe/netherlands/apeldoorn/apenheul,0.552,0.6,3.509,has_external_url,http://www.apenheul.com/,https://en.wikivoyage.org/wiki/Apeldoorn
europe/norway/arendal,Arendal,Arendal,6,21,see,Arendal Town Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.4588049,8.7671629,Arendal Harbour,europe/norway/arendal/arendal_harbour,0.674,0.326,11.054,has_external_url,https://www.arendal.kommune.no/tjenester/kultur-idrett-og-fritid/museer-og-kulturhistorie/klockers-hus-arendal-bymuseum/,https://en.wikivoyage.org/wiki/Arendal
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,see,Yongling Mausoleum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.67698,104.04478,Sanxingdui Museum,asia/china/sichuanprovince/chengdu/sanxingdui_museum,0.629,38.934,11.774,has_external_url,http://www.cdylbwg.org/,https://en.wikivoyage.org/wiki/Chengdu
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,St. Maria im Kapitol,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.934639,6.958611,Farina Fragrance Museum,europe/germany/northrhinewestphalia/cologne/farina_fragrance_museum,0.624,0.376,0.425,has_external_url,http://www.maria-im-kapitol.de,https://en.wikivoyage.org/wiki/Cologne
northamerica/unitedstates/arizona/tucson,Tucson,Tucson,66,113,see,Tohono Chul Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.339981,-110.980902,Tucson Mountain Park,northamerica/unitedstates/arizona/tucson/tucson_mountain_pa,0.556,15.89,13.034,has_external_url,http://www.tohonochulpark.org/,https://en.wikivoyage.org/wiki/Tucson
europe/unitedkingdom/england/south_east/portsmouth,Portsmouth,Portsmouth,46,77,see,Blue Reef Aquarium,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.7801,-1.0928,The D-Day Story,europe/unitedkingdom/england/south_east/portsmouth/d_day_story,0.69,0.31,2.222,has_external_url,http://www.bluereefaquarium.co.uk/portsmouth/,https://en.wikivoyage.org/wiki/Portsmouth
europe/germany/lowersaxony/salzgitter,Salzgitter,Salzgitter,4,14,do,Waterski & Wakeboard Cableways,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.15481,10.30138,Salzgittersee,europe/germany/lowersaxony/salzgitter/salzgittersee,0.658,0.342,3.983,has_external_url,http://www.wasserskiseilbahn-salzgittersee.de,https://en.wikivoyage.org/wiki/Salzgitter
europe/unitedkingdom/scotland/fort_william,Fort William,Fort William,13,16,do,Nevis Range,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.852,-5.0,Nevis Range Mountain Resort,europe/unitedkingdom/scotland/fort_william/nevis_range,0.579,4.979,7.333,has_external_url,https://www.nevisrange.co.uk,https://en.wikivoyage.org/wiki/Fort_William
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Rochester Medical Museum and Archives,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.147,-77.566,Rochester Public Market,northamerica/unitedstates/newyorkstate/rochester/rochester_public_market,0.567,3.181,3.632,has_external_url,https://www.rochesterregional.org/about/history/rochester-medical-museum-and-archives,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
asia/indonesia/java/salatiga,Salatiga,Salatiga,3,35,see,Gereja Katolik Santo Paulus Miki,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-7.32212,110.50143,Satya Wacana Christian University,asia/indonesia/java/salatiga/satya_wacana_university,0.59,0.41,0.934,has_external_url,https://paulusmiki-salatiga.org/,https://en.wikivoyage.org/wiki/Salatiga
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,do,Tron Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.8567,-4.2456,Café Gandolfi,europe/unitedkingdom/scotland/glasgow/cafe_gandolfi,0.632,0.368,0.572,has_external_url,https://www.tron.co.uk/,https://en.wikivoyage.org/wiki/Glasgow
northamerica/unitedstates/california/berkeley,Berkeley,Berkeley,13,87,do,Greek Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.873694,-122.254194,Sather Tower (The Campanile),northamerica/unitedstates/california/berkeley/campanile,0.66,0.34,1.662,has_external_url,http://www.thegreektheatreberkeley.com/,https://en.wikivoyage.org/wiki/Berkeley
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,do,Tuckerman Hall,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.27325,-71.801278,Mechanics Hall,northamerica/unitedstates/massachusetts/worcester/mechanics_hall,0.571,1.059,1.19,has_external_url,http://www.tuckermanhall.org/,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29
northamerica/mexico/len,León,León (Mexico),5,35,do,León Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,21.18575,-101.65387,Zoo León,northamerica/mexico/len/zoo_leon,0.6,8.312,7.708,has_external_url,http://www.zooleon.org.mx,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Mexico%29
asia/japan/honshu/shimonoseki,Shimonoseki,Shimonoseki,10,33,see,Shimonoseki Municipal Archaeological Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.011428,130.926081,Shimonoseki Nabecho Post Office,asia/japan/honshu/shimonoseki/nabecho_post_office,0.568,6.285,6.141,has_external_url,https://www.shimo-kouko.jp/,https://en.wikivoyage.org/wiki/Shimonoseki
asia/japan/kagoshima/yakushima,Yakushima,Yakushima,13,21,see,Yakushima Tourism Center,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.43,130.5688,Miyanoura Port,asia/japan/kagoshima/yakushima/miyanoura_port,0.575,0.425,7.815,has_external_url,https://yksm.com/,https://en.wikivoyage.org/wiki/Yakushima
