world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/thailand/phuket/patong,Patong,Patong,14,44,see,Phuket Transfers,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,7.885800867734565,98.29767376184464,Simon Cabaret,asia/thailand/phuket/patong/simon_cabaret,0.613,0.387,1.939,has_external_url,http://www.phukettransfers.com/,https://en.wikivoyage.org/wiki/Patong
europe/poland/zabrze,Zabrze,Zabrze,3,19,see,St Anne Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.3,18.7892,St Joseph's Church,europe/poland/zabrze/st_joseph_church,0.688,1.377,0.979,has_external_url,http://www.anna.zabrze.pl,https://en.wikivoyage.org/wiki/Zabrze
northamerica/unitedstates/california/centralvalley/modesto,Modesto,Modesto,10,20,do,Boomers! Modesto,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.7048,-121.0735,Downtown Modesto,northamerica/unitedstates/california/centralvalley/modesto/downtown,0.645,9.825,9.925,has_external_url,https://boomersparks.com/modesto/,https://en.wikivoyage.org/wiki/Modesto
northamerica/mexico/sanmigueldeallende,San Miguel de Allende,San Miguel de Allende,6,87,do,Bici-Burro Cycling,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.91283,-100.74061,Parroquia de San Miguel Arcángel,northamerica/mexico/sanmigueldeallende/parroquia_san_miguel,0.668,0.332,0.355,has_external_url,http://www.bici-burro.com/,https://en.wikivoyage.org/wiki/San_Miguel_de_Allende
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,Japanese American Museum of San Jose,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3475,-121.893,Japantown,northamerica/unitedstates/california/san_jose/japantown,0.699,0.301,1.278,has_external_url,http://www.jamsj.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
europe/unitedkingdom/wales/cardiff,Cardiff,Cardiff,13,100,do,New Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.4837,-3.17553,St John the Baptist Church,europe/unitedkingdom/wales/cardiff/st_john_the_baptist_church,0.615,0.385,0.341,has_external_url,http://www.newtheatrecardiff.co.uk/,https://en.wikivoyage.org/wiki/Cardiff
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Christchurch Gondola,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-43.5848,172.7076,Christ Church Cathedral,australiaandpacific/newzealand/canterbury/christchurch/christ_church_cathedral,0.651,8.255,8.212,has_external_url,https://www.christchurchattractions.nz/christchurch-gondola/,https://en.wikivoyage.org/wiki/Christchurch
europe/france/around_paris/rueilmalmaison,Rueil-Malmaison,Rueil-Malmaison,7,17,see,Théatre André Malraux,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.880222,2.183919,Église Saint-Pierre-Saint-Paul,europe/france/around_paris/rueilmalmaison/eglise_saint_pierre_saint_paul,0.646,0.354,0.378,has_external_url,https://www.tam.fr/,https://en.wikivoyage.org/wiki/Rueil-Malmaison
asia/japan/honshu/kobe,Kobe,Kobe,22,53,do,Nunobiki Herb Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.7171,135.1908,Nunobiki Falls,asia/japan/honshu/kobe/nunobiki_falls,0.588,0.87,2.673,has_external_url,http://www.kobeherb.com/,https://en.wikivoyage.org/wiki/Kobe
europe/unitedkingdom/england/manchester_liverpool_and_north_west/preston,Preston,Preston,19,19,see,Brockholes,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.7733,-2.6297,The Black Horse,europe/unitedkingdom/england/manchester_liverpool_and_north_west/preston/black_horse_pub,0.571,4.927,4.829,has_external_url,https://www.brockholes.org/,https://en.wikivoyage.org/wiki/Preston
northamerica/mexico/morelia,Morelia,Morelia,15,45,see,Museo de Historia Natural (MUNAH),0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.697956,-101.178841,Morelia Cathedral,northamerica/mexico/morelia/morelia_cathedral,0.564,1.479,9.987,has_external_url,https://www.muhna.umich.mx/,https://en.wikivoyage.org/wiki/Morelia
asia/japan/kagoshima/yakushima,Yakushima,Yakushima,13,21,see,Yakusugi Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.309014,130.632381,Yakusugi Land,asia/japan/kagoshima/yakushima/yakusugi_land,0.643,7.962,10.157,has_external_url,http://www.yakusugi-museum.com/,https://en.wikivoyage.org/wiki/Yakushima
asia/cyprus/ayianapa,Ayia Napa,Ayia Napa,8,21,see,Thalassa Municipal Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.9875,34.0025,Karousos Beach Restaurant,asia/cyprus/ayianapa/fish_meze_restaura,0.662,0.338,0.608,has_external_url,https://thalassamuseum.org.cy/,https://en.wikivoyage.org/wiki/Ayia_Napa
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,E14 Gallery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.801244,-122.273864,African American Museum & Library at Oakland,northamerica/unitedstates/california/oakland/africanamericanmuseumlibrary,0.681,0.319,0.42,has_external_url,https://www.e14gallery.com,https://en.wikivoyage.org/wiki/Oakland
europe/unitedkingdom/england/manchester_liverpool_and_north_west/chester,Chester,Chester,5,39,see,The Cheshire Military Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.18677,-2.89187,Roman Amphitheatre,europe/unitedkingdom/england/manchester_liverpool_and_north_west/chester/roman_amphitheatre,0.678,0.322,0.462,has_external_url,http://www.cheshiremilitarymuseum.co.uk/,https://en.wikivoyage.org/wiki/Chester
northamerica/unitedstates/california/halfmoonbay,Half Moon Bay,Half Moon Bay,13,24,see,Dunes State Beach,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.4843,-122.4535,Half Moon Bay State Beach,northamerica/unitedstates/california/halfmoonbay/half_moon_bay_state_beach,0.619,1.235,3.187,has_external_url,http://www.parks.ca.gov/?page_id=531,https://en.wikivoyage.org/wiki/Half_Moon_Bay
asia/turkey/alanya,Alanya,Alanya,6,22,see,Inner Castle,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.5334,31.9904,Alanya Castle,asia/turkey/alanya/alanya_castle,0.64,1.669,1.882,has_external_url,https://muze.gov.tr/muze-detay?SectionId=ALN01&DistId=ALN,https://en.wikivoyage.org/wiki/Alanya
europe/denmark/fredrikshavn,Frederikshavn,Frederikshavn,7,44,see,Beach,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.461065,10.537421999,Palm Beach,europe/denmark/fredrikshavn/palm_beach,0.667,1.191,2.221,has_external_url,http://www.visitfrederikshavn.dk/ln-int/palmestranden-gdk599558,https://en.wikivoyage.org/wiki/Frederikshavn
northamerica/unitedstates/kentucky/frankfort,Frankfort,Frankfort (Kentucky),5,47,see,Greenhill Cemetery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.20491,-84.83826,Frankfort Cemetery,northamerica/unitedstates/kentucky/frankfort/frankfort_cemetery,0.611,2.65,3.094,has_external_url,https://visitfrankfort.com/listing/green-hill-cemetery/,https://en.wikivoyage.org/wiki/Frankfort_%28Kentucky%29
