world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/vietnam/haiphong,Haiphong,Haiphong,15,19,see,Yen Giang Stake-yard,0.77,candidate,has coordinates; high-value type,20.936167,106.783797,Du Hang Pagoda,asia/vietnam/haiphong/du_hang_pagoda,0.387,14.58,13.559,needs_external_source,,https://en.wikivoyage.org/wiki/Haiphong
europe/italy/lombardia/mantua,Mantua,Mantua,10,44,see,Piazzale Ragazzi del '99,0.77,candidate,has coordinates; high-value type,45.145098,10.79458,Piazza Sordello,europe/italy/lombardia/mantua/piazza_sordello,0.471,1.87,10.068,needs_external_source,,https://en.wikivoyage.org/wiki/Mantua
europe/germany/lowersaxony/salzgitter,Salzgitter,Salzgitter,4,14,see,Gedenkstätte Friedhof Jammertal,0.77,candidate,has coordinates; high-value type,52.15745,10.35564,Salzgittersee,europe/germany/lowersaxony/salzgitter/salzgittersee,0.318,3.455,0.826,needs_external_source,,https://en.wikivoyage.org/wiki/Salzgitter
europe/slovakia/b_a_n_s_k,Banská Stiavnica,Banská Štiavnica,6,35,do,Klinger,0.77,candidate,has coordinates; high-value type,48.4513,18.88324,Slovak Mining Museum,europe/slovakia/b_a_n_s_k/mining_museum,0.37,1.125,1.376,needs_external_source,,https://en.wikivoyage.org/wiki/Bansk%C3%A1_%C5%A0tiavnica
northamerica/mexico/puebla,Puebla,Puebla,14,54,do,Chipilo,0.77,candidate,has coordinates; high-value type,19.0043956,-98.3310549,La Pasita,northamerica/mexico/puebla/la_pasita,0.308,14.728,13.745,needs_external_source,,https://en.wikivoyage.org/wiki/Puebla
northamerica/unitedstates/wyoming/laramie,Laramie,Laramie,6,15,see,Enterprise,0.77,candidate,has coordinates; high-value type,41.30911,-105.5644,Wyoming Territorial Prison State Historic Site,northamerica/unitedstates/wyoming/laramie/wyoming_territorial_prison,0.321,3.735,2.305,needs_external_source,,https://en.wikivoyage.org/wiki/Laramie
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,do,Dundee Theater,0.77,candidate,has coordinates; high-value type,41.25981,-95.98964,Old Market,northamerica/unitedstates/nebraska/omaha/old_market,0.333,4.582,4.287,needs_external_source,,https://en.wikivoyage.org/wiki/Omaha
asia/japan/kyushu/kumamoto,Kumamoto,Kumamoto,23,49,see,Lake Ezu,0.77,candidate,has coordinates; high-value type,32.77454,130.7419,Kato Shrine,asia/japan/kyushu/kumamoto/kato_shrine,0.316,4.62,4.515,needs_external_source,,https://en.wikivoyage.org/wiki/Kumamoto
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,see,Regional Science City,0.77,candidate,has coordinates; high-value type,26.890025,80.942937,The Residency,asia/india/uttarpradesh/lucknow/the_residency,0.533,3.574,5.833,needs_external_source,,https://en.wikivoyage.org/wiki/Lucknow
europe/belgium/arlon,Arlon,Arlon,0,21,see,Roman Tower,0.77,candidate,has coordinates; high-value type,49.683668,5.814804,,,0.0,,0.143,needs_external_source,,https://en.wikivoyage.org/wiki/Arlon
europe/portugal/theazores/so_miguel/furnas,Furnas,Furnas,6,17,see,Plant growing on dead tree,0.77,candidate,has coordinates; high-value type,37.7561396,-25.3407054,Capela de Nossa Senhora das Vitórias,europe/portugal/theazores/so_miguel/furnas/capela_nossa_senhora,0.441,1.107,3.019,needs_external_source,,https://en.wikivoyage.org/wiki/Furnas
europe/unitedkingdom/scotland/glencoe,Glencoe,Glencoe,3,10,do,Buchaille Etive Mòr,0.77,candidate,has coordinates; high-value type,56.647303,-4.897797,Lost Valley (Coire Gabhail),europe/unitedkingdom/scotland/glencoe/lost_valley,0.267,10.669,13.054,needs_external_source,,https://en.wikivoyage.org/wiki/Glencoe
europe/armenia/ani,Ani,Ani,8,14,see,Tomb of Tigran Honents,0.77,candidate,has coordinates; high-value type,40.5078,43.5667,Central Bank of Armenia,europe/armenia/central_bank_of_ar,0.4,88.081,0.517,needs_external_source,,https://en.wikivoyage.org/wiki/Ani
northamerica/dominicanrepublic/santodomingo,Santo Domingo,Santo Domingo,24,55,do,Parque Ambiental Núñez de Cáceres,0.77,candidate,has coordinates; high-value type,18.4637903,-69.9611308,Parque Independencia,northamerica/dominicanrepublic/santodomingo/parque_independencia,0.49,6.882,4.015,needs_external_source,,https://en.wikivoyage.org/wiki/Santo_Domingo
europe/unitedkingdom/northernireland/bushmills,Bushmills,Bushmills,4,11,see,The Dark Hedges,0.77,candidate,has coordinates; high-value type,55.134,-6.381,Dunluce Castle,europe/unitedkingdom/northernireland/bushmills/dunluce_castle,0.24,15.245,12.078,needs_external_source,,https://en.wikivoyage.org/wiki/Bushmills
asia/turkey/konya,Konya,Konya,24,16,see,Ateşbazı Türbesi,0.77,candidate,has coordinates; high-value type,37.86,32.4506,Çatalhöyük,asia/turkey/konya/catalhoyuk,0.417,39.322,3.944,needs_external_source,,https://en.wikivoyage.org/wiki/Konya
northamerica/mexico/chetumal,Chetumal,Chetumal,7,36,see,Renaissance Statue,0.77,candidate,has coordinates; high-value type,18.4938492,-88.3026012,Congress Murals,northamerica/mexico/chetumal/congress_murals,0.364,1.215,1.195,needs_external_source,,https://en.wikivoyage.org/wiki/Chetumal
europe/unitedkingdom/scotland/lochinver,Lochinver,Lochinver,5,16,see,Old Man of Stoer,0.77,candidate,has coordinates; high-value type,58.2609,-5.3827,Achins Bookshop,europe/unitedkingdom/scotland/lochinver/achins_bookshop,0.258,16.66,14.66,needs_external_source,,https://en.wikivoyage.org/wiki/Lochinver
europe/unitedkingdom/northernireland/cookstown,Cookstown,Cookstown,12,26,see,Aghanascrebagh Ogham Stone,0.77,candidate,has coordinates; high-value type,54.699,-7.043,Lough Neagh Shore,europe/unitedkingdom/northernireland/cookstown/lough_neagh,0.512,32.36,20.333,needs_external_source,,https://en.wikivoyage.org/wiki/Cookstown
asia/india/karnataka/mysore,Mysore,Mysore,14,82,see,Rajendra Vilas,0.77,candidate,has coordinates; high-value type,12.278538,76.671083,Karanji Lake,asia/india/karnataka/mysore/karanji_lake,0.462,2.513,3.941,needs_external_source,,https://en.wikivoyage.org/wiki/Mysore
europe/unitedkingdom/scotland/barra,Barra,Barra,7,15,see,Brevig standing stone,0.77,candidate,has coordinates; high-value type,56.9635,-7.4497,Isle of Barra Distillery,europe/unitedkingdom/scotland/barra/isle_of_barra_distillery,0.356,3.149,4.425,needs_external_source,,https://en.wikivoyage.org/wiki/Barra
asia/japan/kagoshima,Kagoshima,Kagoshima,27,14,see,The Nanshu Cemetery,0.77,candidate,has coordinates; high-value type,31.60603,130.55879,Kagoshima Castle (Tsurumaru-jo),asia/japan/kagoshima/kagoshima_castle,0.452,0.955,9.45,needs_external_source,,https://en.wikivoyage.org/wiki/Kagoshima
