world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/ukraine/poltava,Poltava,Poltava,7,54,see,Former vice-governor mansion,0.75,candidate,has coordinates; has description; high-value type,49.59115,34.55183,Column of Glory,europe/ukraine/poltava/column_of_glory,0.291,0.709,64.976,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Poltava
asia/china/shaanxi/shenmu,Shenmu,Shenmu,2,5,see,Ancient City of Gaojiabao,0.75,candidate,has coordinates; has description; high-value type,38.55380618707099,110.29082808072741,Lake Hongjiannao,asia/china/shaanxi/shenmu/lake_hongjiannao,0.488,70.249,36.091,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Shenmu
southamerica/bolivia/salar_of_uyuni,Salar de Uyuni,Salar de Uyuni,0,24,see,Train Graveyard,0.75,candidate,has coordinates; has description; high-value type,-20.479,-66.834,,,0.0,,77.293,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Salar_de_Uyuni
asia/iran/yazd,Yazd,Yazd,9,25,see,Kharānaq,0.75,candidate,has coordinates; has description; high-value type,32.345493,54.669743,Khan Bazaar,asia/iran/yazd/khan_bazaar,0.526,43.03,33.903,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Yazd
asia/china/guangdong/zhuhai,Zhuhai,Zhuhai,6,68,see,Zhuhai's many islands,0.75,candidate,has coordinates; has description; high-value type,22.0459,113.9221,Hong Kong-Zhuhai-Macau Bridge,asia/china/guangdong/zhuhai/hk_zhuhai_macau_bridge,0.44,40.769,45.086,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Zhuhai
asia/china/hubei/enshi,Enshi,Enshi,4,42,see,Shiziguan Scenic spot,0.75,candidate,has coordinates; has description; high-value type,29.977372,109.545684,Enshi Grand Canyon,asia/china/hubei/enshi/enshi_grand_canyon,0.513,47.849,33.245,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Enshi
asia/china/henan_province/luoyang,Luoyang,Luoyang,11,25,see,Du Fu's Tomb,0.75,candidate,has coordinates; has description; high-value type,34.7335,112.7399,Luoyang Old Town,asia/china/henan_province/luoyang/luoyang_old_town,0.4,28.899,29.565,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Luoyang
europe/azerbaijan/qax,Qax,Qax,5,10,do,Mount Ulubash,0.75,candidate,has coordinates; has description; high-value type,41.4618,46.9653,St George's Church,europe/azerbaijan/qax/st_georges_church,0.258,4.423,26.657,needs_external_source; day_trip_review,,https://en.wikivoyage.org/wiki/Qax
europe/portugal/sintra,Sintra,Sintra,7,17,see,Elétrico de Sintra,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.8037,-9.3819,Queijada de Sintra,europe/portugal/sintra/queijada_de_sintra,0.593,0.957,4.375,has_external_url,http://www.cm-sintra.pt/eletrico-de-sintra-dp5,https://en.wikivoyage.org/wiki/Sintra
europe/germany/bavaria/berchtesgaden,Berchtesgaden,Berchtesgaden,8,18,see,Obersalzbergbahn,0.74,candidate,has coordinates; has description; high-value type; has external URL,47.6213,13.0206,Dokumentation Obersalzberg,europe/germany/bavaria/berchtesgaden/dokumentation_obersalzberg,0.571,2.068,1.908,has_external_url,http://www.obersalzbergbahn.de/,https://en.wikivoyage.org/wiki/Berchtesgaden
europe/italy/piemonte/turin,Turin,Turin,55,105,see,Museo Ettore Fico,0.74,candidate,has coordinates; has description; high-value type; has external URL,45.0919,7.6856,Museo Egizio,europe/italy/piemonte/turin/museoegizio,0.621,2.615,2.691,has_external_url,https://www.museofico.it/,https://en.wikivoyage.org/wiki/Turin
