world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/delaware/dover,Dover,Dover (Delaware),9,52,see,Legislative Hall,0.74,candidate,has coordinates; has description; high-value type; has external URL,39.1573,-75.5197,Christ Church,northamerica/unitedstates/delaware/dover/christ_church_dover,0.615,0.385,0.414,has_external_url,http://www.legis.delaware.gov,https://en.wikivoyage.org/wiki/Dover_%28Delaware%29
europe/france/east/franchecomte/besancon,Besançon,Besançon,5,10,do,Besançon Le Vauban boat,0.74,candidate,has coordinates; has description; high-value type; has external URL,47.24116,6.02811,Musée des Beaux-Arts et d'Archéologie,europe/france/east/franchecomte/besancon/musee_beaux_arts,0.607,0.393,0.588,has_external_url,https://www.bateau-besancon.fr/,https://en.wikivoyage.org/wiki/Besan%C3%A7on
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,do,Chairlift,0.74,candidate,has coordinates; has description; high-value type; has external URL,48.4078,21.6359,Magas-hegy Chairlift,europe/hungary/satoraljaujhely/magas_hegy,0.621,0.69,1.982,has_external_url,http://www.zemplenkalandpark.hu/elmenyelemek/also-allomas/libego/,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
europe/france/normandybrittany/honfleur,Honfleur,Honfleur,15,31,see,Notre Dame de Grâce chapel,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.42287,0.22155,Chapelle Notre-Dame-de-Grâce,europe/france/normandybrittany/honfleur/notre_dame_de_grace,0.667,1.093,0.959,has_external_url,https://presbytere-de-grace-honfleur.fr/la-chapelle-de-grace/,https://en.wikivoyage.org/wiki/Honfleur
northamerica/unitedstates/california/centralvalley/bakersfield,Bakersfield,Bakersfield,13,25,do,Bakersfield Speedway,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.45226,-119.02864,Bakersfield Basque District,northamerica/unitedstates/california/centralvalley/bakersfield/basque_district,0.553,9.18,8.756,has_external_url,http://www.bakersfieldspeedway.com/,https://en.wikivoyage.org/wiki/Bakersfield
europe/france/normandybrittany/bayeux,Bayeux,Bayeux,4,10,see,German Military Cemetery,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.341944,-1.026389,Bayeux War Cemetery,europe/france/normandybrittany/bayeux/bayeux_war_cemetery,0.605,23.861,24.583,has_external_url,http://www.volksbund.de/kriegsgraeberstaette/la-cambe.html,https://en.wikivoyage.org/wiki/Bayeux
asia/palestinianauthority/jenin,Jenin,Jenin,7,12,see,Jenin Visitor's Centre,0.74,candidate,has coordinates; has description; high-value type; has external URL,32.453238,35.299041,The Jenin Horse,asia/palestinianauthority/jenin/jenin_horse,0.606,1.058,0.838,has_external_url,http://visitpalestine.ps/where-to-go/listing/jenin/tourist-information-center-jenin/jenin-visitors-center/,https://en.wikivoyage.org/wiki/Jenin
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Slagtehal 3,0.74,candidate,has coordinates; has description; high-value type; has external URL,56.15977,10.21295,Aarhus Cathedral,europe/denmark/aarhus/aarhus_cathedral,0.678,0.322,1.131,has_external_url,http://www.slagtehal3.dk,https://en.wikivoyage.org/wiki/Aarhus
europe/hungary/sopron,Sopron,Sopron,9,234,see,Kolostor street's palaces,0.74,candidate,has coordinates; has description; high-value type; has external URL,47.6854,16.5901,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.663,0.337,0.838,has_external_url,http://www.sopronikirandulas.hu/sopron/kolostor_utca_palotai.html,https://en.wikivoyage.org/wiki/Sopron
asia/philippines/san_juan,San Juan,San Juan (Metro Manila),6,48,see,Iglesia ni Cristo,0.74,candidate,has coordinates; has description; high-value type; has external URL,14.59548,121.0318,Santuario del Santo Cristo,asia/philippines/san_juan/santuario_del_santo_cristo,0.661,0.339,1.013,has_external_url,http://iglesianicristo.net/,https://en.wikivoyage.org/wiki/San_Juan_%28Metro_Manila%29
asia/thailand/kohtao,Koh Tao,Ko Tao,8,73,do,New Wave Diving,0.74,candidate,has coordinates; has description; high-value type; has external URL,10.092575432939762,99.82780694961549,Scuba Diving,asia/thailand/kohtao/diving,0.593,1.285,1.285,has_external_url,https://www.newwavedivingkohtao.com,https://en.wikivoyage.org/wiki/Ko_Tao
