world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/michigan/lansing,Lansing,Lansing,30,52,see,Lansing Community College,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.74017,-84.55127,Lansing City Market,northamerica/unitedstates/michigan/lansing/lansing_city_market,0.636,0.465,0.92,has_external_url,https://www.lcc.edu/,https://en.wikivoyage.org/wiki/Lansing
northamerica/unitedstates/massachusetts/concord,Concord,Concord (Massachusetts),7,55,see,First Parish in Concord,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.459739,-71.348343,Ralph Waldo Emerson House,northamerica/unitedstates/massachusetts/concord/emerson_house,0.579,0.421,0.087,has_external_url,https://firstparish.org/wp/,https://en.wikivoyage.org/wiki/Concord_%28Massachusetts%29
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Hochstein Performance Hall,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.1559,-77.6157,Dogtown,northamerica/unitedstates/newyorkstate/rochester/dogtown,0.594,0.406,0.565,has_external_url,http://www.hochstein.org/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
europe/portugal/beja,Beja,Beja,5,16,see,Ovibeja,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.0038,-7.8561,Roman Beja (Pax Julia),europe/portugal/beja/pax_julia_roman_ruins,0.588,1.753,1.513,has_external_url,http://www.ovibeja.com/,https://en.wikivoyage.org/wiki/Beja
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,do,Palladium,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.2667,-71.8008,Mechanics Hall,northamerica/unitedstates/massachusetts/worcester/mechanics_hall,0.665,0.335,0.469,has_external_url,http://www.thepalladium.net/,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29
northamerica/unitedstates/california/inlandempire/bigbearlake,Big Bear Lake,Big Bear Lake,8,19,do,Snow Summit Mountain Resort,0.74,candidate,has coordinates; has description; high-value type; has external URL,34.23655,-116.88862,Snow Summit,northamerica/unitedstates/california/inlandempire/bigbearlake/snow_summit,0.579,0.913,2.151,has_external_url,https://www.bigbearmountainresort.com/,https://en.wikivoyage.org/wiki/Big_Bear_Lake
europe/unitedkingdom/england/newcastle_and_north_east/northumberland/alnwick,Alnwick,Alnwick,6,12,see,Howick Hall Gardens,0.74,candidate,has coordinates; has description; high-value type; has external URL,55.4507,-1.6097,The Alnwick Garden,europe/unitedkingdom/england/newcastle_and_north_east/northumberland/alnwick/the_alnwick_garden,0.667,7.008,7.403,has_external_url,https://howickhallgardens.com/,https://en.wikivoyage.org/wiki/Alnwick
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/leicester,Leicester,Leicester,12,43,do,Leicester Blue Sox,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.6361,-1.1849,Leicester Cathedral,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/leicester/leicester_cathedral,0.595,3.359,3.489,has_external_url,https://www.leicesterbluesox.com/,https://en.wikivoyage.org/wiki/Leicester
europe/switzerland/fribourg,Fribourg,Fribourg,12,22,do,HC Fribourg-Gottéron,0.74,candidate,has coordinates; has description; high-value type; has external URL,46.81735,7.15543,Fribourg Cathedral (Cathédrale Saint-Nicolas),europe/switzerland/fribourg/fribourg_cathedral,0.579,1.38,1.306,has_external_url,https://www.gotteron.ch/fr/Home,https://en.wikivoyage.org/wiki/Fribourg
northamerica/canada/britishcolumbia/lillooet,Lillooet,Lillooet,5,25,do,Upper St̓át̓imc Language Culture and Education Society (USLCES),0.74,candidate,has coordinates; has description; high-value type; has external URL,50.6851,-121.92397,Bridge of the Twenty-Three Camels,northamerica/canada/britishcolumbia/lillooet/bridge_twenty_three_camels,0.624,0.376,1.198,has_external_url,http://www.uslces.org,https://en.wikivoyage.org/wiki/Lillooet
asia/philippines/caloocan,Caloocan,Caloocan,4,33,see,TNC-Monumento Branch,0.74,candidate,has coordinates; has description; high-value type; has external URL,14.65699,120.98183,Monumento Station,asia/philippines/caloocan/monumento_station,0.649,0.391,1.7,has_external_url,https://www.facebook.com/tncmonumento/,https://en.wikivoyage.org/wiki/Caloocan
northamerica/unitedstates/newyorkstate/niagara_frontier/niagarafalls,Niagara Falls,Niagara Falls (New York),8,44,do,Niagara Falls City Hall,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.0958,-79.0553,Niagara Falls State Park,northamerica/unitedstates/newyorkstate/niagara_frontier/niagarafalls/niagara_falls_state_park,0.681,0.793,0.877,has_external_url,https://niagarafallsusa.org/government/departments/city_clerks/certificates_and_licenses/marriage_license.php,https://en.wikivoyage.org/wiki/Niagara_Falls_%28New_York%29
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,do,The Mercury Ballroom,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.24794,-85.75794,Cathedral of the Assumption,northamerica/unitedstates/kentucky/louisville/cathedral_of_the_assumption,0.568,0.432,0.708,has_external_url,https://www.mercuryballroom.com/,https://en.wikivoyage.org/wiki/Louisville
asia/india/uttarpradesh/rishikesh,Rishikesh,Rishikesh,7,26,do,Chakra Ayurvedic Wellness,0.74,candidate,has coordinates; has description; high-value type; has external URL,30.1236,78.329191,Laxman Jhula,asia/india/uttarpradesh/rishikesh/laxman_jhula,0.686,0.314,3.978,has_external_url,https://www.chakraayurvedicwellness.com,https://en.wikivoyage.org/wiki/Rishikesh
europe/unitedkingdom/england/eastern_england/harwich,Harwich,Harwich (England),12,24,do,Harwich Sports Centre,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.92849,1.26284,Harwich Mayflower Heritage Centre,europe/unitedkingdom/england/eastern_england/harwich/mayflower_heritage_centre,0.667,2.391,2.579,has_external_url,http://www.tendringdc.gov.uk/leisure/leisure-centres-and-pools/harwich-sports-centre,https://en.wikivoyage.org/wiki/Harwich_%28England%29
europe/unitedkingdom/england/birmingham_and_west_midlands/staffordshire/wolverhampton,Wolverhampton,Wolverhampton,13,19,see,Wightwick Manor and Gardens,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.583401,-2.19111,Wightwick Manor,europe/unitedkingdom/england/birmingham_and_west_midlands/staffordshire/wolverhampton/wightwick_manor,0.714,1.42,4.296,has_external_url,https://www.nationaltrust.org.uk/wightwick-manor/,https://en.wikivoyage.org/wiki/Wolverhampton
northamerica/unitedstates/kentucky/louisville,Louisville,Louisville,12,140,do,Louisville Bats,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.2564,-85.7436,Belle of Louisville,northamerica/unitedstates/kentucky/louisville/belle_of_louisville,0.588,1.21,1.401,has_external_url,https://www.milb.com/louisville,https://en.wikivoyage.org/wiki/Louisville
europe/germany/badenwrttemberg/pforzheim,Pforzheim,Pforzheim,11,20,see,Kollmar & Jourdan House,0.74,candidate,has coordinates; has description; high-value type; has external URL,48.883048,8.6956113,Wallberg Memorial,europe/germany/badenwrttemberg/pforzheim/wallberg,0.567,0.433,1.013,has_external_url,https://kj-pforzheim.de/wordpress/,https://en.wikivoyage.org/wiki/Pforzheim
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,do,Ann Arbor Summer Festival,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.27539,-83.74785,The Ark,northamerica/unitedstates/michigan/annarbor/the_ark,0.568,0.432,0.67,has_external_url,https://www.a2sf.org/,https://en.wikivoyage.org/wiki/Ann_Arbor
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,do,Birmingham Speedway,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.519226,-1.898816,Birmingham Museum and Art Gallery,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/birmingham_museum_and_art_gallery,0.577,4.372,4.403,has_external_url,http://www.birminghamspeedway.co.uk/,https://en.wikivoyage.org/wiki/Birmingham
northamerica/canada/britishcolumbia/golden,Golden,Golden (British Columbia),9,35,do,Goldenwood Lodge,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.44662,-116.99855,Golden Skybridge,northamerica/canada/britishcolumbia/golden/golden_suspension_bridge,0.625,14.102,16.561,has_external_url,https://goldenwoodlodge.com/,https://en.wikivoyage.org/wiki/Golden_%28British_Columbia%29
europe/germany/hessen/frankfurt,Frankfurt,Frankfurt,53,24,see,Goetheturm,0.74,candidate,has coordinates; has description; high-value type; has external URL,50.08899,8.71137,Goethe House,europe/germany/hessen/frankfurt/goethehouse,0.636,3.45,3.208,has_external_url,https://www.visitfrankfurt.travel/en/poi/goetheturm,https://en.wikivoyage.org/wiki/Frankfurt
northamerica/unitedstates/california/coronado,Coronado,Coronado (California),7,23,do,Coronado Playhouse,0.74,candidate,has coordinates; has description; high-value type; has external URL,32.67709,-117.1718,Coronado Beach,northamerica/unitedstates/california/coronado/coronado_beach,0.625,0.873,1.669,has_external_url,http://www.coronadoplayhouse.com/,https://en.wikivoyage.org/wiki/Coronado_%28California%29
europe/unitedkingdom/scotland/aberdeen,Aberdeen,Aberdeen,17,83,do,Aberdeen Harbour Cruises,0.74,candidate,has coordinates; has description; high-value type; has external URL,57.1435,-2.0912,Aberdeen Art Gallery,europe/unitedkingdom/scotland/aberdeen/aberdeen_art_gallery,0.591,1.247,0.536,has_external_url,https://www.greenhowemarineservices.co.uk/aberdeen-harbour-tours/,https://en.wikivoyage.org/wiki/Aberdeen
europe/germany/bavaria/ansbach,Ansbach,Ansbach,6,19,do,Ansbach Grizzlies,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.306428,10.557139,Ansbach Residenz,europe/germany/bavaria/ansbach/ansbach_residenz,0.667,1.403,1.961,has_external_url,http://www.ansbach-grizzlies.com/,https://en.wikivoyage.org/wiki/Ansbach
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Catacombs of Bayreuth's Aktien Brewery,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.948,11.56286,Maisel's Brewery and Cooperage Museum,europe/germany/bavaria/bayreuth/maisel_brewery,0.673,0.327,0.908,has_external_url,http://www.bayreuther-bier.de/katakomben/katakomben_5.html,https://en.wikivoyage.org/wiki/Bayreuth
