world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/rhodeisland/narragansett,Narragansett,Narragansett,12,86,do,Narragansett Bikes Inc.,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.4767,-71.4357,Narragansett Town Beach,northamerica/unitedstates/rhodeisland/narragansett/narragansett_town_beach,0.667,4.66,5.248,has_external_url,http://nbxbikes.com/,https://en.wikivoyage.org/wiki/Narragansett
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Rochester Lancers,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.1876,-77.6433,Rochester Public Market,northamerica/unitedstates/newyorkstate/rochester/rochester_public_market,0.65,4.563,4.44,has_external_url,https://www.rochesterlancers.com,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
europe/italy/sicily/messina,Messina,Messina,6,32,see,Palazzo del Monte di Pietà,0.74,candidate,has coordinates; has description; high-value type; has external URL,38.194811,15.552628,Messina Cathedral and Astronomical Clock,europe/italy/sicily/messina/messina_cathedral,0.622,0.378,0.178,has_external_url,http://www.comune.messina.it/turismo/itinerari-turistici/palazzi/monte-di-pieta.aspx,https://en.wikivoyage.org/wiki/Messina
europe/unitedkingdom/england/south_east/berkhampsted,Berkhamsted,Berkhamsted,7,27,see,Ashridge House,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.7994,-0.5602,Ashridge Estate,europe/unitedkingdom/england/south_east/berkhampsted/ashridge_estate,0.69,1.096,4.475,has_external_url,http://www.ashridgehouse.org.uk/about-ashridge-house/#house,https://en.wikivoyage.org/wiki/Berkhamsted
europe/germany/berlin,Berlin,Berlin,161,123,see,Argentina (Argentinien),0.74,candidate,has coordinates; has description; high-value type; has external URL,52.5012,13.3446,Santiago,europe/germany/berlin/santiago,0.588,5.456,3.865,has_external_url,https://ealem.cancilleria.gob.ar/,https://en.wikivoyage.org/wiki/Berlin
southamerica/brazil/recife,Recife,Recife,34,154,see,Benfica Cultural Center,0.74,candidate,has coordinates; has description; high-value type; has external URL,-8.0606,-34.9018,Brennand Sculpture Park,southamerica/brazil/recife/instituto_ricardo_brennand_park,0.565,2.671,1.884,has_external_url,https://www.facebook.com/Centro-Cultural-Benfica-499000246849228/,https://en.wikivoyage.org/wiki/Recife
europe/belgium/dinant,Dinant,Dinant,1,18,do,Dinant Casino,0.74,candidate,has coordinates; has description; high-value type; has external URL,50.253266,4.91594,La Merveilleuse,europe/belgium/dinant/la_merveilleuse,0.689,0.311,0.69,has_external_url,http://www.casinodinant.be/,https://en.wikivoyage.org/wiki/Dinant
europe/netherlands/thehague,The Hague,The Hague,16,165,do,ADO Den Haag,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.0628,4.3829,Kunstmuseum Den Haag,europe/netherlands/thehague/kunstmuseum,0.562,7.604,7.856,has_external_url,https://adodenhaag.nl/,https://en.wikivoyage.org/wiki/The_Hague
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Suseong Health Festival,0.74,candidate,has coordinates; has description; high-value type; has external URL,35.829954,128.690183,Suseong Lake,asia/southkorea/dae_gu/suseong_lake,0.571,5.698,9.234,has_external_url,https://www.suseong.kr/tour/index.do?menu_id=00001099,https://en.wikivoyage.org/wiki/Daegu
northamerica/canada/ontario/stcatharines,St. Catharines,St. Catharines,12,62,see,Lock 7 Viewing Centre,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.122045,-79.195126,Meridian Centre,northamerica/canada/ontario/stcatharines/meridian_centre,0.556,5.475,5.635,has_external_url,https://www.thorold.ca/en/recreation-and-culture/lock-7-viewing-complex.aspx,https://en.wikivoyage.org/wiki/St._Catharines
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,City Police,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.943147,11.581825,Stadtkirche (City Church),europe/germany/bavaria/bayreuth/stadtkirche,0.632,0.368,0.555,has_external_url,https://www.polizei.bayern.de/oberfranken/wir/organisation/dienststellen/index.html/109913,https://en.wikivoyage.org/wiki/Bayreuth
northamerica/mexico/torreon,Torreón,Torreón,10,10,see,Teatro Isauro Martínez,0.74,candidate,has coordinates; has description; high-value type; has external URL,25.54061,-103.45233,Torreón Massacre Memorial,northamerica/mexico/torreon/torreon_massacre_memorial,0.602,0.398,4.194,has_external_url,http://teatroisauromartinez.com.mx/,https://en.wikivoyage.org/wiki/Torre%C3%B3n
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Petrosains PlaySmart Johor Bahru,0.74,candidate,has coordinates; has description; high-value type; has external URL,1.467407,103.751416,KSL City Shopping Mall,asia/malaysia/johorbahru/ksl_city_shopping,0.639,0.361,1.816,has_external_url,http://www.petrosains.com.my/playsmart/playsmart-johorbahru.html,https://en.wikivoyage.org/wiki/Johor_Bahru
asia/china/hongkong,Hong Kong,Hong Kong,64,81,see,United States of America,0.74,candidate,has coordinates; has description; high-value type; has external URL,22.278188,114.158651,Hong Kong Park,asia/china/hongkong/hong_kong_park,0.694,0.306,4.703,has_external_url,https://hk.usconsulate.gov/,https://en.wikivoyage.org/wiki/Hong_Kong
asia/laos/phonesavanh,Phonsavan,Phonsavan,7,31,do,UXO Visitor Information Centre,0.74,candidate,has coordinates; has description; high-value type; has external URL,19.45029,103.21947,MAG Visitor Centre,asia/laos/phonesavanh/mag_visitor_centre,0.625,3.719,3.756,has_external_url,https://www.maginternational.org/laos-visitor-centres/,https://en.wikivoyage.org/wiki/Phonsavan
