world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,First Baptist Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.5992,-82.5478,Thomas Wolfe Memorial,northamerica/unitedstates/northcarolina/asheville/thomas_wolfe_memorial,0.669,0.331,0.508,needs_external_source,,https://en.wikivoyage.org/wiki/Asheville
asia/kazakhstan/shimkent,Shymkent,Shymkent,12,32,see,Park Ken-Baba,0.74,candidate,has coordinates; has description; high-value type; strong travel term,42.31884245,69.60540744,Park named after Abay,asia/kazakhstan/shimkent/abay_park,0.588,0.618,1.48,needs_external_source,,https://en.wikivoyage.org/wiki/Shymkent
asia/china/henan_province/zhengzhou,Zhengzhou,Zhengzhou,4,39,see,Yellow River Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.8729233388,113.6716333984,Yellow River Scenic Area,asia/china/henan_province/zhengzhou/yellow_river_scenic_area,0.698,8.377,14.763,needs_external_source,,https://en.wikivoyage.org/wiki/Zhengzhou
asia/china/anhui/tongling,Tongling,Tongling,5,24,do,Tongling Water Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.9496,117.8234,Tongling Museum,asia/china/anhui/tongling/tongling_museum,0.588,1.015,1.116,needs_external_source,,https://en.wikivoyage.org/wiki/Tongling
northamerica/jamaica/kingston,Kingston,Kingston (Jamaica),50,50,see,Arawak Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,17.997785,-76.911122,Jamaica Music Museum,northamerica/jamaica/kingston/jamaica_music_museum,0.606,13.782,12.429,needs_external_source,,https://en.wikivoyage.org/wiki/Kingston_%28Jamaica%29
asia/syria/aleppo,Aleppo,Aleppo,5,29,see,Central Synagogue of Aleppo,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.201961,37.1497,Covered Souks of Aleppo,asia/syria/aleppo/covered_souks,0.68,0.838,1.293,needs_external_source,,https://en.wikivoyage.org/wiki/Aleppo
europe/armenia/yerevan,Yerevan,Yerevan,53,133,do,Botanical garden of Yerevan,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.21083,44.557064,Tavern Yerevan,europe/armenia/yerevan/tavern_yerevan,0.585,4.715,5.274,needs_external_source,,https://en.wikivoyage.org/wiki/Yerevan
southamerica/ecuador/banos,Baños,Baños,7,30,see,Cascada de La Virgen,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-1.3985,-78.4175,Basilica de la Virgen del Agua Santa,southamerica/ecuador/banos/basilica,0.55,0.63,18.751,needs_external_source,,https://en.wikivoyage.org/wiki/Ba%C3%B1os
asia/philippines/makati,Makati,Makati,9,59,see,Salcedo Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,14.56012,121.02293,Salcedo Weekend Market,asia/philippines/makati/salcedo_weekend_market,0.647,,0.418,needs_external_source,,https://en.wikivoyage.org/wiki/Makati
asia/cambodia/siemreap,Siem Reap,Siem Reap,56,78,see,Phnom Krom,0.74,candidate,has coordinates; has description; high-value type; strong travel term,13.28573,103.81218,Phnom Kulen,asia/cambodia/siemreap/kulen_mountain,0.667,38.798,9.857,needs_external_source,,https://en.wikivoyage.org/wiki/Siem_Reap
europe/belgium/aalst,Aalst,Aalst,11,33,see,Béguinage,0.74,candidate,has coordinates; has description; high-value type; strong travel term,50.935699,4.044732,Aalst Beguinage,europe/belgium/aalst/aalst_beguinage,0.667,0.533,0.484,needs_external_source,,https://en.wikivoyage.org/wiki/Aalst
northamerica/unitedstates/tennessee/chattanooga,Chattanooga,Chattanooga,20,86,see,Memorial Auditorium,0.74,candidate,has coordinates; has description; high-value type; strong travel term,35.048,-85.3057,MoonPie General Store,northamerica/unitedstates/tennessee/chattanooga/moonpie_general_store,0.614,0.386,0.43,needs_external_source,,https://en.wikivoyage.org/wiki/Chattanooga
asia/indonesia/maluku/tidore,Tidore,Tidore,14,11,do,Hot Springs beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,0.73185,127.45456,Akesahu Hot Springs,asia/indonesia/maluku/tidore/akesahu_hot_springs,0.611,9.711,8.121,needs_external_source,,https://en.wikivoyage.org/wiki/Tidore
asia/turkey/ankara,Ankara,Ankara,13,116,see,Cenâbî Ahmet Paşa Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.9369,32.8705,Hacı Bayram Mosque,asia/turkey/ankara/haci_bayram_mosque,0.632,0.887,2.276,needs_external_source,,https://en.wikivoyage.org/wiki/Ankara
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,Church of Nativity of St. John the Baptist,0.74,candidate,has coordinates; has description; high-value type; strong travel term,56.4204,40.442,Cathedral of the Nativity,europe/russia/suzdal/cathedral_of_the_nativity,0.587,0.413,0.432,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal
