world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/inlandempire/sanbernardino,San Bernardino,San Bernardino,9,11,see,Site of the first McDonald Brothers Hamburger Stand,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.1247,-117.2945,Original McDonald's Site and Museum,northamerica/unitedstates/california/inlandempire/sanbernardino/original_mcdonalds_site,0.627,0.373,1.87,needs_external_source,,https://en.wikivoyage.org/wiki/San_Bernardino
asia/india/maharashtra/alibag,Alibag,Alibag,5,6,see,Revdanda Fort,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.546867,72.924679,Murud-Janjira Fort,asia/india/maharashtra/alibag/murud_janjira,0.645,28.202,12.524,needs_external_source,,https://en.wikivoyage.org/wiki/Alibag
asia/india/tamilnadu/pudukkottai,Pudukkottai,Pudukkottai,3,5,see,Sikharagiriswara Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,10.41651,78.659634,Sittanavasal Cave Temple,asia/india/tamilnadu/pudukkottai/sittanavasal,0.553,8.77,22.24,needs_external_source,,https://en.wikivoyage.org/wiki/Pudukkottai
southamerica/brazil/manaus,Manaus,Manaus,48,62,see,Capela de Santo Antônio,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-3.13088,-60.00485,Centro Histórico,southamerica/brazil/manaus/manaus_centro,0.556,2.029,2.482,needs_external_source,,https://en.wikivoyage.org/wiki/Manaus
asia/india/assam/guwahati,Guwahati,Guwahati,24,59,do,Nehru Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,26.18875,91.74703,Guwahati Ropeway,asia/india/assam/guwahati/guwahati_ropeway,0.603,0.397,1.139,needs_external_source,,https://en.wikivoyage.org/wiki/Guwahati
europe/albania/tirana,Tirana,Tirana,52,117,do,Brar Canyon and Bridge,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.3969,19.8697,Tanners' Bridge,europe/albania/tirana/tanners_bridge,0.556,8.365,8.76,needs_external_source,,https://en.wikivoyage.org/wiki/Tirana
asia/turkey/ankara,Ankara,Ankara,13,116,see,Molla Great Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.9404,32.8688,Kocatepe Mosque,asia/turkey/ankara/kocatepe_mosque,0.606,2.722,2.519,needs_external_source,,https://en.wikivoyage.org/wiki/Ankara
europe/netherlands/leiden,Leiden,Leiden,36,62,see,Zijlpoort,0.74,candidate,has coordinates; has description; high-value type; strong travel term,52.161719,4.504178,Morspoort and Zijlpoort,europe/netherlands/leiden/morspoort,0.562,1.769,0.941,needs_external_source,,https://en.wikivoyage.org/wiki/Leiden
europe/italy/emiliaromagna/parma,Parma,Parma,15,41,see,Chiesa della Santissima Annunziata,0.74,candidate,has coordinates; has description; high-value type; strong travel term,44.802408,10.321569,Parco Ducale,europe/italy/emiliaromagna/parma/parco_ducale,0.582,0.418,0.51,needs_external_source,,https://en.wikivoyage.org/wiki/Parma
asia/vietnam/nhatrang,Nha Trang,Nha Trang,10,66,do,Bai Duong Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,12.2751,109.2024,Nha Trang Beach,asia/vietnam/nhatrang/nha_trang_beach,0.667,7.377,11.815,needs_external_source,,https://en.wikivoyage.org/wiki/Nha_Trang
europe/ukraine/uzhgorod,Uzhhorod,Uzhhorod,5,33,see,Evangelical church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,48.62587,22.30428,Transcarpathian Philharmonic (Former Synagogue),europe/ukraine/uzhgorod/transcarpathian_philharmonic,0.558,0.442,1.329,needs_external_source,,https://en.wikivoyage.org/wiki/Uzhhorod
asia/india/rajasthan/mount_abu,Mount Abu,Mount Abu,11,15,see,Achalgarh Fort,0.74,candidate,has coordinates; has description; high-value type; strong travel term,24.6156,72.7687,Achalgarh Fort and Temples,asia/india/rajasthan/mount_abu/achalgarh_fort,0.7,2.608,6.63,needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Abu
europe/italy/puglia/gravina_in_puglia,Gravina in Puglia,Gravina di Puglia,7,71,see,Church of the Eternal Father,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.82214,16.410309,Ponte Madonna della Stella,europe/italy/puglia/gravina_in_puglia/ponte_madonna_della_stella,0.685,0.315,1.083,needs_external_source,,https://en.wikivoyage.org/wiki/Gravina_di_Puglia
asia/india/tamilnadu/ooty,Ooty,Ooty,7,28,see,Sacred Heart Cathedral,0.74,candidate,has coordinates; has description; high-value type; strong travel term,11.417086,76.708425,Government Botanical Garden,asia/india/tamilnadu/ooty/government_botanical_garden,0.66,0.34,0.764,needs_external_source,,https://en.wikivoyage.org/wiki/Ooty
