world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/arizona/grandcanyon,Grand Canyon,Grand Canyon,6,52,do,Hermit Trail,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.0605,-112.212,Bright Angel Trail,northamerica/unitedstates/arizona/grandcanyon/bright_angel_trail,0.6,6.199,11.206,needs_external_source,,https://en.wikivoyage.org/wiki/Grand_Canyon
europe/italy/sicily/trapani,Trapani,Trapani,7,70,see,Museum of Optical Illusions Trapani,0.74,candidate,has coordinates; has description; high-value type; strong travel term,38.0163,12.51314,Palazzo Senatorio,europe/italy/sicily/trapani/palazzo_senatorio,0.674,0.326,0.292,needs_external_source,,https://en.wikivoyage.org/wiki/Trapani
northamerica/thecaribbean/puertorico/mayaguez,Mayagüez,Mayagüez,24,9,see,Mayagüez Pueblo,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.203335,-67.14617,Miguel Ángel García Méndez Post Office,northamerica/thecaribbean/puertorico/mayaguez/post_office_garcia_mendez,0.692,0.308,0.727,needs_external_source,,https://en.wikivoyage.org/wiki/Mayag%C3%BCez
europe/italy/sicily/favignana,Favignana,Favignana,8,19,do,Spiaggia di Calamoni,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.92027,12.33308,Lido Burrone,europe/italy/sicily/favignana/lido_burrone,0.563,0.437,1.105,needs_external_source,,https://en.wikivoyage.org/wiki/Favignana
northamerica/unitedstates/virginia/virginiabeach,Virginia Beach,Virginia Beach,7,35,see,Virginia Beach Farmers Market,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.776798,-76.091286,The Virginia Beach Craft Beer Scene,northamerica/unitedstates/virginia/virginiabeach/birdneck_point_brewing,0.667,,13.07,needs_external_source,,https://en.wikivoyage.org/wiki/Virginia_Beach
europe/romania/sapinta,Săpânța,Săpânța,3,5,see,Open-air museum for rural architecture and technology,0.74,candidate,has coordinates; has description; high-value type; strong travel term,47.968582,23.699926,Săpânța-Peri Monastery,europe/romania/sapinta/sapanta_peri_monastery,0.612,0.388,0.521,needs_external_source,,https://en.wikivoyage.org/wiki/S%C4%83p%C3%A2n%C8%9Ba
asia/japan/honshu/kanazawacity,Kanazawa,Kanazawa,12,55,see,Oyama Shrine,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.566073,136.655425,Kaisendon at Omi-cho Market,asia/japan/honshu/kanazawacity/omicho_kaisendon,0.676,0.324,0.535,needs_external_source,,https://en.wikivoyage.org/wiki/Kanazawa
northamerica/unitedstates/florida/thepanhandle/apalachicola,Apalachicola,Apalachicola,17,31,see,Fort Gadsden Historic Site,0.74,candidate,has coordinates; has description; high-value type; strong travel term,29.933333,-85.016667,Orman House Historic State Park,northamerica/unitedstates/florida/thepanhandle/apalachicola/orman_house,0.596,22.844,22.935,needs_external_source,,https://en.wikivoyage.org/wiki/Apalachicola
asia/india/uttarpradesh/jhansi,Jhansi,Jhansi,9,8,see,Barua sagar,0.74,candidate,has coordinates; has description; high-value type; strong travel term,25.37483,78.73203,Ganga Sagar Tank,asia/india/uttarpradesh/jhansi/ganga_sagar_tank,0.593,17.421,18.99,needs_external_source,,https://en.wikivoyage.org/wiki/Jhansi
europe/sweden/visby,Visby,Visby,14,48,see,Visborg Castle Ruins,0.74,candidate,has coordinates; has description; high-value type; strong travel term,57.635417,18.286111,Visby Cathedral,europe/sweden/visby/visby_cathedral,0.571,0.642,0.76,needs_external_source,,https://en.wikivoyage.org/wiki/Visby
asia/china/hubei/jingzhou,Jingzhou,Jingzhou,5,39,see,Zhanghua Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.31,112.27,Guandi Temple,asia/china/hubei/jingzhou/guandi_temple,0.714,9.589,4.011,needs_external_source,,https://en.wikivoyage.org/wiki/Jingzhou
