world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
africa/morocco/rabat,Rabat,Rabat,16,61,see,National Archaeological Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.0137874,-6.8314952,Mohammed VI Museum of Modern and Contemporary Art,africa/morocco/rabat/mohammed_vi_museum,0.633,0.367,1.246,needs_external_source,,https://en.wikivoyage.org/wiki/Rabat
europe/macedonia/bitola,Bitola,Bitola,6,65,see,Church of the Holy Mother of God,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.0304,21.339,New Mosque (Yeni Dzhamija),europe/macedonia/bitola/new_mosque,0.662,0.338,0.746,needs_external_source,,https://en.wikivoyage.org/wiki/Bitola
africa/morocco/meknes,Meknes,Meknes,11,31,see,Palais Al-Mansour,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.8684873,-5.5593411,Bab Mansour,africa/morocco/meknes/bab_mansour_el_ale,0.643,2.932,4.168,needs_external_source,,https://en.wikivoyage.org/wiki/Meknes
asia/japan/shikoku/matsuyama,Matsuyama,Matsuyama,12,59,see,Matsuyama Central Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.844468,132.741105,Matsuyama Castle,asia/japan/shikoku/matsuyama/matsuyama_castle,0.684,2.303,2.311,needs_external_source,,https://en.wikivoyage.org/wiki/Matsuyama
northamerica/unitedstates/arizona/tombstone,Tombstone,Tombstone,11,12,see,Ed Schieffelin Monument,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.730778,-110.103425,Schieffelin Hall,northamerica/unitedstates/arizona/tombstone/schieffelin_hall,0.615,3.973,3.929,needs_external_source,,https://en.wikivoyage.org/wiki/Tombstone
asia/indonesia/java/solo,Solo,Solo,20,80,see,Taman Sriwedari,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-7.568,110.8136,Tumurun Private Museum,asia/indonesia/java/solo/tumurun_private_museum,0.569,0.431,1.637,needs_external_source,,https://en.wikivoyage.org/wiki/Solo
asia/cyprus/ayianapa,Ayia Napa,Ayia Napa,8,21,do,Konnos Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,34.9838,34.0696,Nissi Beach,asia/cyprus/ayianapa/nissi_beach,0.696,9.177,6.715,needs_external_source,,https://en.wikivoyage.org/wiki/Ayia_Napa
asia/china/jilin/changchun,Changchun,Changchun,50,41,see,Museum of Former Changchun Film Studio Site,0.74,candidate,has coordinates; has description; high-value type; strong travel term,43.86044,125.28603,Changchun Film Studio,asia/china/jilin/changchun/changchun_film_studio,0.656,1.121,8.179,needs_external_source,,https://en.wikivoyage.org/wiki/Changchun
europe/spain/basque_country_euskadi/bilbao,Bilbao,Bilbao,10,75,see,Vizcaya Bridge,0.74,candidate,has coordinates; has description; high-value type; strong travel term,43.323056,-3.016944,Zubizuri Bridge,europe/spain/basque_country_euskadi/bilbao/zubizuri,0.621,9.57,9.412,needs_external_source,,https://en.wikivoyage.org/wiki/Bilbao
asia/china/shanxiprovince/taiyuan,Taiyuan,Taiyuan,45,70,see,Yongzuo Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.844,112.5936,Chongshan Temple,asia/china/shanxiprovince/taiyuan/chongshan_temple,0.667,3.303,4.845,needs_external_source,,https://en.wikivoyage.org/wiki/Taiyuan
europe/finland/porvoo,Porvoo,Porvoo,11,41,do,Porvoo Hillfort,0.74,candidate,has coordinates; has description; high-value type; strong travel term,60.39985,25.65191,Porvoo Town Hall,europe/finland/porvoo/porvoo_town_hall,0.645,0.61,0.818,needs_external_source,,https://en.wikivoyage.org/wiki/Porvoo
asia/india/tamilnadu/ooty,Ooty,Ooty,7,28,see,Government Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,11.412142,76.712728,Government Rose Garden,asia/india/tamilnadu/ooty/government_rose_garden,0.667,0.807,1.057,needs_external_source,,https://en.wikivoyage.org/wiki/Ooty
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,see,The Highland People Discovery Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.82143,98.97473,Lanna Folklife Museum,asia/thailand/chiangmai/lanna_folklife_muse,0.566,3.759,3.869,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Mai
europe/greece/prefecture_of_serres/serres,Serres,Serres,8,8,see,Acropolis of Serres,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.2386,23.3957,Acropolis and Tower of Orestis,europe/greece/prefecture_of_serres/serres/acropolis_serres,0.653,20.332,20.866,needs_external_source,,https://en.wikivoyage.org/wiki/Serres
