world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/arkansas/bentonville,Bentonville,Bentonville,11,18,see,Museum of Native American History,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,36.371475,-94.231156,Crystal Bridges Museum of American Art,northamerica/unitedstates/arkansas/bentonville/crystal_bridges,0.563,2.514,2.009,has_external_url,https://www.monah.org/,https://en.wikivoyage.org/wiki/Bentonville
europe/germany/rhinelandpalatinate/mainz,Mainz,Mainz,7,69,see,Naturhistorisches Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,50.003898,8.270879,Landesmuseum Mainz,europe/germany/rhinelandpalatinate/mainz/landesmuseum_mainz,0.644,0.356,0.526,has_external_url,http://www.mainz.de/WGAPublisher/online/html/default/mkuz-5tadk3.en.html,https://en.wikivoyage.org/wiki/Mainz
europe/estonia/tartu,Tartu,Tartu,16,89,do,Karlova Theatre,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,58.365397,26.730392,Vanemuine Theatre,europe/estonia/tartu/vanemuine_theatre,0.625,1.265,1.399,has_external_url,http://www.karlovateater.ee/karlova-teater,https://en.wikivoyage.org/wiki/Tartu
europe/germany/badenwrttemberg/badenbaden,Baden-Baden,Baden-Baden,15,27,see,Castle Hohenbaden,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,48.776667,8.244444,Hohenbaden Castle,europe/germany/badenwrttemberg/badenbaden/hohenbaden_castle,0.588,0.739,1.765,has_external_url,https://www.altes-schlosshohenbaden.de/en/,https://en.wikivoyage.org/wiki/Baden-Baden
europe/austria/hallein,Hallein,Hallein,7,5,see,Celtic Museum Hallein,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,47.6835347,13.0907146,Hallein Old Town,europe/austria/hallein/old_town,0.601,0.399,0.399,has_external_url,https://www.salzburgmuseum.at/en/location/museumofthecelts/,https://en.wikivoyage.org/wiki/Hallein
northamerica/unitedstates/oregon/oregoncoastnorth/cannonbeach,Cannon Beach,Cannon Beach,4,10,see,Cannon Beach Historical Center and Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,45.8927,-123.9593,Hemlock Street Galleries,northamerica/unitedstates/oregon/oregoncoastnorth/cannonbeach/cannon_beach_gallery_group,0.67,0.33,0.357,has_external_url,http://www.cbhistory.org,https://en.wikivoyage.org/wiki/Cannon_Beach
northamerica/unitedstates/florida/panama_city_beach,Panama City Beach,Panama City Beach,11,30,do,Shipwreck Island Waterpark,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,30.1944,-85.8253,St. Andrews State Park,northamerica/unitedstates/florida/panama_city_beach/st_andrews_state_park,0.553,11.971,2.754,has_external_url,http://www.shipwreckisland.com/,https://en.wikivoyage.org/wiki/Panama_City_Beach
europe/greece/thessaloniki,Thessaloniki,Thessaloniki,37,92,see,Folklife and Ethnological Museum of Macedonia and Thrace,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,40.6102,22.9522,Folklore and Ethnological Museum,europe/greece/thessaloniki/folkloremuseum,0.682,0.891,3.389,has_external_url,https://www.lemmth.gr/welcome,https://en.wikivoyage.org/wiki/Thessaloniki
europe/germany/badenwrttemberg/ravensburg,Ravensburg,Ravensburg,5,15,see,Museum Ravensburger,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,47.78026,9.61543,Ravensburger Museum,europe/germany/badenwrttemberg/ravensburg/ravensburger_museum,0.632,0.436,0.24,has_external_url,https://www.ravensburger.de/museum-ravensburger-english/home/index.html,https://en.wikivoyage.org/wiki/Ravensburg
europe/estonia/tallinn,Tallinn,Tallinn,57,163,see,Estonian Firefighting Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,59.43511,24.76388,Estonian History Museum (Great Guild Hall),europe/estonia/tallinn/estonian_history_museum,0.706,1.008,0.443,has_external_url,http://www.tuletorjemuuseum.ee/en,https://en.wikivoyage.org/wiki/Tallinn
asia/philippines/calamba,Calamba,Calamba,6,20,see,San Pedro Calungsod Parish Church - (Diocese of San Pablo),0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,14.191,121.1586,Saint John the Baptist Parish Church,asia/philippines/calamba/saint_john_the_baptist_church,0.615,2.68,1.7,has_external_url,https://www.facebook.com/spcp.villadecalamba/,https://en.wikivoyage.org/wiki/Calamba
europe/denmark/billund,Billund,Billund,6,25,do,Teddy Bear Art Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,55.73151,9.11689,Lego House,europe/denmark/billund/lego_house,0.667,0.333,0.776,has_external_url,http://www.teddybearartmuseum.dk/,https://en.wikivoyage.org/wiki/Billund
northamerica/unitedstates/mississippi/biloxi,Biloxi,Biloxi,8,27,see,Coastal Mississippi Mardi Gras Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,30.3947,-88.8894,Mississippi Aquarium,northamerica/unitedstates/mississippi/biloxi/mississippi_aquarium,0.695,0.305,0.674,has_external_url,https://coastalmardigras.com/,https://en.wikivoyage.org/wiki/Biloxi
europe/italy/liguria/genoa,Genoa,Genoa,52,61,see,Naval Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,44.42843,8.81512,Galata Museo del Mare,europe/italy/liguria/genoa/galata_museo_del_mare,0.552,8.461,9.72,has_external_url,http://www.museonavale.it/,https://en.wikivoyage.org/wiki/Genoa
northamerica/unitedstates/ohio/youngstown,Youngstown,Youngstown (Ohio),5,30,see,Arms Family Museum of Local History,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,41.1003,-80.6493,Youngstown Historical Center of Industry and Labor,northamerica/unitedstates/ohio/youngstown/steel_museum,0.699,0.301,0.431,has_external_url,https://mahoninghistory.org/arms-family-museum/,https://en.wikivoyage.org/wiki/Youngstown_%28Ohio%29
australiaandpacific/australia/victoria/warrnambool,Warrnambool,Warrnambool,9,15,do,The Lighthouse Theatre Warrnambool,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,-38.3855,142.48184,Flagstaff Hill Maritime Museum,australiaandpacific/australia/victoria/warrnambool/flagstaff_hill,0.648,0.352,0.325,has_external_url,https://www.lighthousetheatre.com.au/,https://en.wikivoyage.org/wiki/Warrnambool
europe/norway/lesund,Ålesund,Ålesund,10,13,see,Aalesunds Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,62.471939,6.15724,Aksla Viewpoint,europe/norway/lesund/aksla_viewpoint,0.669,0.331,20.464,has_external_url,https://www.visitalesund.com/things-to-do/aalesunds-museum-p788113,https://en.wikivoyage.org/wiki/%C3%85lesund
northamerica/unitedstates/rhodeisland/providence,Providence,Providence,15,19,see,Rhode Island College,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,41.84171,-71.46069,Rhode Island State House,northamerica/unitedstates/rhodeisland/providence/rhode_island_state_house,0.682,4.057,4.428,has_external_url,http://www.ric.edu,https://en.wikivoyage.org/wiki/Providence
northamerica/unitedstates/florida/lakeland,Lakeland,Lakeland,7,37,see,Polk Museum of Art at Florida Southern College,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,28.0369,-81.949,Florida Southern College — Child of the Sun,northamerica/unitedstates/florida/lakeland/florida_southern_college,0.578,0.629,0.296,has_external_url,http://www.polkmuseumofart.org,https://en.wikivoyage.org/wiki/Lakeland
northamerica/unitedstates/alabama/montgomery,Montgomery,Montgomery,24,41,see,Montgomery Zoo,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,32.4201,-86.2772,Montgomery Riverwalk,northamerica/unitedstates/alabama/montgomery/montgomery_riverwalk,0.647,5.438,5.583,has_external_url,http://www.montgomeryzoo.com,https://en.wikivoyage.org/wiki/Montgomery
europe/sweden/uppsala,Uppsala,Uppsala,18,180,see,Uppsala Mosque,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,59.873873,17.638367,Uppsala Castle,europe/sweden/uppsala/uppsala_castle,0.714,2.069,1.698,has_external_url,http://www.uppsalamoske.se/,https://en.wikivoyage.org/wiki/Uppsala
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,see,Chase Home Museum of Utah Folk Arts,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,40.7456,-111.874,Tower Theatre,northamerica/unitedstates/utah/saltlakecity/tower_theatre,0.675,0.325,1.895,has_external_url,https://artsandmuseums.utah.gov/chase-home-museum/,https://en.wikivoyage.org/wiki/Salt_Lake_City
europe/italy/liguria/genoa,Genoa,Genoa,52,61,see,Sea Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,44.414222,8.923417,Principe-Granarolo Funicular,europe/italy/liguria/genoa/principe_granarolo_funicular,0.675,0.325,1.135,has_external_url,http://www.galatamuseodelmare.it/jsp/index.jsp,https://en.wikivoyage.org/wiki/Genoa
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,do,Science Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,21.518476,70.472403,Junagadh Museum,asia/india/gujarat/junagadh/junagadh_museum,0.552,1.067,1.337,has_external_url,http://gardencafejnd.com,https://en.wikivoyage.org/wiki/Junagadh
asia/taiwan/kaohsiung,Kaohsiung,Kaohsiung,27,56,see,Kaohsiung City Temple of Confucius,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,22.689306,120.299028,Kaohsiung Museum of Fine Arts,asia/taiwan/kaohsiung/kaohsiung_museum_of_fine_arts,0.603,3.689,7.785,has_external_url,https://eng.taiwan.net.tw/m1.aspx?sNo=0002121&id=459,https://en.wikivoyage.org/wiki/Kaohsiung
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,Csokonai Memorial tomb,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,47.53058,21.60532,Csokonai Étterem,europe/hungary/debrecen/csokonai_etterem,0.595,1.722,1.555,has_external_url,http://debrecen.varosom.hu/latnivalok/muveszeti-emlekeink/Csokonai-siremlek.html,https://en.wikivoyage.org/wiki/Debrecen
europe/unitedkingdom/england/manchester_liverpool_and_north_west/kendal,Kendal,Kendal (England),6,28,see,Sizergh Castle,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,54.284444,-2.771944,Kendal Castle,europe/unitedkingdom/england/manchester_liverpool_and_north_west/kendal/kendal_castle,0.593,5.055,5.165,has_external_url,https://www.nationaltrust.org.uk/sizergh/,https://en.wikivoyage.org/wiki/Kendal_%28England%29
europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury,Bury St Edmunds,Bury St Edmunds,4,33,do,Theatre Royal,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,52.2406,0.7172,St Edmundsbury Cathedral,europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury/st_edmundsbury_cathedral,0.632,0.368,0.683,has_external_url,http://www.theatreroyal.org/,https://en.wikivoyage.org/wiki/Bury_St_Edmunds
