world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,CRB,0.7,candidate,has coordinates; has description; high-value type,22.3419388,91.8199693,Commonwealth War Cemetery,asia/bangladesh/chittagong/commonwealth_war_cemetery,0.579,0.421,1.743,needs_external_source,,https://en.wikivoyage.org/wiki/Chittagong
europe/netherlands/delft,Delft,Delft,10,62,see,Hofje van Pauw,0.7,candidate,has coordinates; has description; high-value type,52.016136,4.357093,Museum Prinsenhof,europe/netherlands/delft/prinsenhof,0.645,0.355,0.504,needs_external_source,,https://en.wikivoyage.org/wiki/Delft
asia/philippines/negrosisland/bacolod,Bacolod,Bacolod,27,97,do,Lopue's East Billiards,0.7,candidate,has coordinates; has description; high-value type,10.6632,122.9666,Lopues East Centre,asia/philippines/negrosisland/bacolod/lopues_east,0.65,1.825,2.21,needs_external_source,,https://en.wikivoyage.org/wiki/Bacolod
asia/taiwan/kaohsiung,Kaohsiung,Kaohsiung,27,56,do,Fishermen's Wharf / Banana Pier,0.7,candidate,has coordinates; has description; high-value type,22.617727,120.281173,Pier-2 Art Center,asia/taiwan/kaohsiung/pier_2_art_center,0.669,0.331,3.181,needs_external_source,,https://en.wikivoyage.org/wiki/Kaohsiung
europe/romania/ploiesti,Ploiești,Ploiești,4,57,see,Statue of Liberty,0.7,candidate,has coordinates; has description; high-value type,44.9431,26.0181,Halele Centrale,europe/romania/ploiesti/halele_centrale,0.588,0.412,0.462,needs_external_source,,https://en.wikivoyage.org/wiki/Ploie%C8%99ti
northamerica/mexico/guanajuato,Guanajuato,Guanajuato,50,102,see,Mina de Valenciana,0.7,candidate,has coordinates; has description; high-value type,21.03952,-101.26138,La Valenciana Mine (Bocamina San Cayetano),northamerica/mexico/guanajuato/valenciana_mine,0.667,0.567,2.319,needs_external_source,,https://en.wikivoyage.org/wiki/Guanajuato
northamerica/unitedstates/california/halfmoonbay,Half Moon Bay,Half Moon Bay,13,24,see,Mavericks & Pillar Point Marsh,0.7,candidate,has coordinates; has description; high-value type,37.49605,-122.4968,Pillar Point Harbor,northamerica/unitedstates/california/halfmoonbay/pillar_point_harbor,0.588,1.412,7.021,needs_external_source,,https://en.wikivoyage.org/wiki/Half_Moon_Bay
asia/china/sichuanprovince/dujiangyan,Dujiangyan,Dujiangyan,4,36,do,Qingcheng Mountain Back Mountain trekking,0.7,candidate,has coordinates; has description; high-value type,30.929,103.538,Qingcheng Mountain,asia/china/sichuanprovince/dujiangyan/qingcheng_mountain,0.61,4.478,10.453,needs_external_source,,https://en.wikivoyage.org/wiki/Dujiangyan
europe/italy/sicily/agrigento,Agrigento,Agrigento,11,19,see,Quartiere Ellenistico–Romano,0.7,candidate,has coordinates; has description; high-value type,37.297493,13.591762,Regional Archaeological Museum,europe/italy/sicily/agrigento/regional_archaeological_museum,0.551,0.449,2.233,needs_external_source,,https://en.wikivoyage.org/wiki/Agrigento
asia/southkorea/ulsan,Ulsan,Ulsan,29,31,see,Bangudae,0.7,candidate,has coordinates; has description; high-value type,35.603739,129.169539,Bangudae Petroglyphs,asia/southkorea/ulsan/bangudae_petroglyphs,0.571,1.255,14.745,needs_external_source,,https://en.wikivoyage.org/wiki/Ulsan
northamerica/unitedstates/northcarolina/winstonsalem,Winston-Salem,Winston-Salem,14,38,see,Last Shell Oil Clamshell Station,0.7,candidate,has coordinates; has description; high-value type,36.06773534799512,-80.21411935622113,Shell Station (Quality Oil),northamerica/unitedstates/northcarolina/winstonsalem/last_shell_station,0.578,4.143,4.467,needs_external_source,,https://en.wikivoyage.org/wiki/Winston-Salem
