world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/italy/lombardia/como,Como,Como,10,35,see,Faro Voltiano,0.7,candidate,has coordinates; has description; high-value type,45.8259864,9.1003114,Tempio Voltiano,europe/italy/lombardia/como/tempiovoltiano,0.714,10.281,10.171,needs_external_source,,https://en.wikivoyage.org/wiki/Como
asia/china/shaanxi/yulin,Yulin,Yulin (Shaanxi),4,36,do,Hong Shixia,0.7,candidate,has coordinates; has description; high-value type,38.2833,109.7333,Hongshi Gorge,asia/china/shaanxi/yulin/hongshi_gorge,0.583,5.895,2.037,needs_external_source,,https://en.wikivoyage.org/wiki/Yulin_%28Shaanxi%29
europe/hungary/budapest,Budapest,Budapest,57,94,see,Megyeri Bridge,0.7,candidate,has coordinates; has description; high-value type,47.60936,19.08852,Széchenyi Chain Bridge,europe/hungary/budapest/szechenyi_chain_bridge,0.556,12.737,12.913,needs_external_source,,https://en.wikivoyage.org/wiki/Budapest
asia/india/punjab/amritsar,Amritsar,Amritsar,10,63,see,Gandhi Gate,0.7,candidate,has coordinates; has description; high-value type,31.6312551,74.8744429,Kulcha Land,asia/india/punjab/amritsar/kulcha_land,0.557,0.443,0.366,needs_external_source,,https://en.wikivoyage.org/wiki/Amritsar
asia/philippines/siquijor,Siquijor,Siquijor,10,24,see,San Isidro Labrador Convent,0.7,candidate,has coordinates; has description; high-value type,9.1273381,123.6307919,Lazi Church and Convent,asia/philippines/siquijor/lazi_church,0.653,0.347,8.086,needs_external_source,,https://en.wikivoyage.org/wiki/Siquijor
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,see,The Old Long Bazaar Street,0.7,candidate,has coordinates; has description; high-value type,42.65984,20.29361,Tahir Bey's Palace,europe/serbia/kosovoprovince/peja/tahir_bey_palace,0.619,0.381,0.434,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
europe/germany/northrhinewestphalia/duisburg,Duisburg,Duisburg,8,22,see,Tiger & Turtle,0.7,candidate,has coordinates; has description; high-value type,51.3756,6.73803,Tiger & Turtle — Magic Mountain,europe/germany/northrhinewestphalia/duisburg/tiger_and_turtle,0.681,3.049,6.772,needs_external_source,,https://en.wikivoyage.org/wiki/Duisburg
europe/italy/sardinia/olbia,Olbia,Olbia,18,31,see,Acquedotto romano,0.7,candidate,has coordinates; has description; high-value type,40.936664,9.505513,Porto Romano,europe/italy/sardinia/olbia/porto_romano,0.69,2.221,1.505,needs_external_source,,https://en.wikivoyage.org/wiki/Olbia
europe/sweden/kiruna,Kiruna,Kiruna,9,23,see,Kiruna stadshus,0.7,candidate,has coordinates; has description; high-value type,67.852611,20.222389,Kiruna Church,europe/sweden/kiruna/kiruna_church,0.643,0.45,0.375,needs_external_source,,https://en.wikivoyage.org/wiki/Kiruna
southamerica/brazil/ilhabela,Ilhabela,Ilhabela,11,26,do,Pico do Baepi,0.7,candidate,has coordinates; has description; high-value type,-23.790263,-45.334019,Praia do Bonete,southamerica/brazil/ilhabela/praia_do_bonete,0.571,14.251,4.586,needs_external_source,,https://en.wikivoyage.org/wiki/Ilhabela
asia/philippines/puerto_princesa,Puerto Princesa,Puerto Princesa,6,31,see,Iwahig Penal Colony,0.7,candidate,has coordinates; has description; high-value type,9.744722,118.660983,Iwahig Prison and Penal Farm,asia/philippines/puerto_princesa/iwahig_prison,0.553,22.772,9.094,needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Princesa
