world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/russia/kazan,Kazan,Kazan,45,55,see,Kazan-1,0.7,candidate,has coordinates; has description; high-value type,55.7884,49.1001,Kazan Arena,europe/russia/kazan/kazan_arena,0.667,5.245,0.992,needs_external_source,,https://en.wikivoyage.org/wiki/Kazan
asia/japan/honshu/hiroshima,Hiroshima,Hiroshima,8,99,see,Former Bank of Japan,0.7,candidate,has coordinates; has description; high-value type,34.3915,132.4568,Peace Memorial Park,asia/japan/honshu/hiroshima/peace_memorial_park,0.575,0.425,0.463,needs_external_source,,https://en.wikivoyage.org/wiki/Hiroshima
europe/hungary/szeged,Szeged,Szeged,7,61,see,Water tower,0.7,candidate,has coordinates; has description; high-value type,46.257747,20.150192,Dömötör Tower,europe/hungary/szeged/demeter_tower,0.667,1.025,0.367,needs_external_source,,https://en.wikivoyage.org/wiki/Szeged
asia/china/jiangxi/mount_longhu,Mount Longhu,Mount Longhu,5,11,see,Coffin acrobatic show,0.7,candidate,has coordinates; has description; high-value type,28.0944,116.9608,Cliff Coffin Sound-and-Light Show,asia/china/jiangxi/mount_longhu/sound_and_light_show,0.556,2.848,2.149,needs_external_source,,https://en.wikivoyage.org/wiki/Mount_Longhu
asia/india/rajasthan/jodhpur,Jodhpur,Jodhpur,23,34,see,Balsamand Lake,0.7,candidate,has coordinates; has description; high-value type,26.331,73.02,Ranisar and Padmasar Lakes,asia/india/rajasthan/jodhpur/ranisar_padmasar_lakes,0.55,3.791,10.25,needs_external_source,,https://en.wikivoyage.org/wiki/Jodhpur
northamerica/unitedstates/arizona/williams,Williams,Williams (Arizona),4,17,see,Bill Williams Statue,0.7,candidate,has coordinates; has description; high-value type,35.24859,-112.19572,Route 66 Main Street,northamerica/unitedstates/arizona/williams/route_66_main_street,0.651,0.349,0.455,needs_external_source,,https://en.wikivoyage.org/wiki/Williams_%28Arizona%29
europe/france/midi/provence/nimes,Nîmes,Nîmes,11,29,see,Castellum,0.7,candidate,has coordinates; has description; high-value type,43.842354,4.355948,Maison Carrée,europe/france/midi/provence/nimes/maison_carree,0.552,0.448,0.64,needs_external_source,,https://en.wikivoyage.org/wiki/N%C3%AEmes
europe/norway/spitsbergen/longyearbyen,Longyearbyen,Longyearbyen,9,32,see,24-Hour Sundial,0.7,candidate,has coordinates; has description; high-value type,78.2223,15.6297,Svalbard Church,europe/norway/spitsbergen/longyearbyen/svalbard_church,0.625,0.375,0.39,needs_external_source,,https://en.wikivoyage.org/wiki/Longyearbyen
europe/macedonia/ohrid,Ohrid,Ohrid,13,52,see,Black Drim Springs,0.7,candidate,has coordinates; has description; high-value type,40.911221,20.745386,Boat to Sveti Naum,europe/macedonia/ohrid/sveti_naum_boat_trip,0.57,0.43,23.368,needs_external_source,,https://en.wikivoyage.org/wiki/Ohrid
europe/portugal/porto,Porto,Porto,51,65,see,Pavilhão Rosa Mota,0.7,candidate,has coordinates; has description; high-value type,41.146878,-8.625989,Banco de Materiais (Bank of Materials),europe/portugal/porto/bank_of_materials,0.676,0.324,1.291,needs_external_source,,https://en.wikivoyage.org/wiki/Porto
southamerica/brazil/goiania,Goiânia,Goiânia,11,33,do,Parque Flamboyant,0.7,candidate,has coordinates; has description; high-value type,-16.70314,-49.23821,Parque Mutirama,southamerica/brazil/goiania/parque_mutirama,0.625,5.177,2.949,needs_external_source,,https://en.wikivoyage.org/wiki/Goi%C3%A2nia
europe/spain/catalonia/olot,Olot,Olot,13,10,see,Espai museístic del Volcà del Croscat,0.7,candidate,has coordinates; has description; high-value type,42.1561,2.5391,Croscat Volcano,europe/spain/catalonia/olot/croscat_volcano,0.656,0.344,5.047,needs_external_source,,https://en.wikivoyage.org/wiki/Olot
europe/lithuania/vilnius,Vilnius,Vilnius,53,134,see,Saulės Cemetery,0.7,candidate,has coordinates; has description; high-value type,54.695,25.312,Halės Market,europe/lithuania/vilnius/hales_market,0.593,2.659,2.25,needs_external_source,,https://en.wikivoyage.org/wiki/Vilnius
northamerica/unitedstates/california/centralcoast/ventura,Ventura,Ventura,12,22,see,Ventura City Hall,0.7,candidate,has coordinates; has description; high-value type,34.282195,-119.293081,Ventura Harbor,northamerica/unitedstates/california/centralcoast/ventura/ventura_harbor,0.645,5.117,5.948,needs_external_source,,https://en.wikivoyage.org/wiki/Ventura
asia/india/uttarpradesh/agra,Agra,Agra,28,60,see,Darwaza-i-Rauza,0.7,candidate,has coordinates; has description; high-value type,27.1715,78.0422,Taj Mahal,asia/india/uttarpradesh/agra/tajmahal,0.61,0.39,3.231,needs_external_source,,https://en.wikivoyage.org/wiki/Agra
europe/russia/nizhnynovgorod,Nizhny Novgorod,Nizhny Novgorod,11,65,see,Pushkinov's house,0.7,candidate,has coordinates; has description; high-value type,56.323843,43.985846,Stroganov Church,europe/russia/nizhnynovgorod/stroganov_church,0.656,0.344,1.077,needs_external_source,,https://en.wikivoyage.org/wiki/Nizhny_Novgorod
europe/france/paris,Paris,Paris,82,90,see,Musée Marmottan-Monet,0.7,candidate,has coordinates; has description; high-value type,48.859361,2.2675,Musée Carnavalet,europe/france/paris/musee_carnavalet,0.595,6.927,6.204,needs_external_source,,https://en.wikivoyage.org/wiki/Paris
europe/netherlands/delft,Delft,Delft,10,62,see,Hofje van Gratie,0.7,candidate,has coordinates; has description; high-value type,52.016012,4.357439,Museum Prinsenhof,europe/netherlands/delft/prinsenhof,0.653,0.347,0.491,needs_external_source,,https://en.wikivoyage.org/wiki/Delft
africa/senegal/dakar,Dakar,Dakar,26,53,see,Les Almadies,0.7,candidate,has coordinates; has description; high-value type,14.7408,-17.53,Pointe des Almadies,africa/senegal/dakar/pointe_des_almadies,0.696,0.748,10.278,needs_external_source,,https://en.wikivoyage.org/wiki/Dakar
europe/estonia/tallinn,Tallinn,Tallinn,57,163,do,Lake Harku,0.7,candidate,has coordinates; has description; high-value type,59.41421,24.63208,Seaplane Harbour (Lennusadam),europe/estonia/tallinn/seaplane_harbour,0.615,7.403,7.53,needs_external_source,,https://en.wikivoyage.org/wiki/Tallinn
asia/india/punjab/amritsar,Amritsar,Amritsar,10,63,see,Gurudwara Pipli Sahib,0.7,candidate,has coordinates; has description; high-value type,31.6313,74.8474,Gurdas Ram Lassi,asia/india/punjab/amritsar/gurdas_ram_lassi,0.595,2.839,2.376,needs_external_source,,https://en.wikivoyage.org/wiki/Amritsar
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,Severinsbrücke,0.7,candidate,has coordinates; has description; high-value type,50.93067,6.96733,Hohenzollernbrücke (Love Locks Bridge),europe/germany/northrhinewestphalia/cologne/hohenzollern_bridge,0.625,1.009,0.999,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Maha Wizaya Pagoda,0.7,candidate,has coordinates; has description; high-value type,16.794948,96.152215,Shwedagon Pagoda,asia/myanmar/yangon/shwedagonpagoda,0.588,0.546,0.955,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
asia/china/jiangxi/jiujiang,Jiujiang,Jiujiang,5,15,do,Kantang lake,0.7,candidate,has coordinates; has description; high-value type,29.717318,115.976235,Poyang Lake Fish,asia/china/jiangxi/jiujiang/poyang_fish,0.571,2.542,2.542,needs_external_source,,https://en.wikivoyage.org/wiki/Jiujiang
europe/unitedkingdom/england/birmingham_and_west_midlands/west_bromwich,West Bromwich,West Bromwich,6,22,see,West Bromwich Manor House,0.7,candidate,has coordinates; has description; high-value type,52.5467,-1.9933,The Manor House (Old Corner House),europe/unitedkingdom/england/birmingham_and_west_midlands/west_bromwich/manor_house,0.611,2.369,3.114,needs_external_source,,https://en.wikivoyage.org/wiki/West_Bromwich
asia/india/westbengal/darjeeling,Darjeeling,Darjeeling,15,45,do,Darjeeling Ropeway,0.7,candidate,has coordinates; has description; high-value type,27.061338,88.253882,Himalayan Mountaineering Institute,asia/india/westbengal/darjeeling/himalayan_mountaineering_institute,0.691,0.309,2.574,needs_external_source,,https://en.wikivoyage.org/wiki/Darjeeling
asia/china/anhui/huaibei,Huaibei,Huaibei,5,33,see,Ancient City Han Tombs,0.7,candidate,has coordinates; has description; high-value type,33.96,116.78,Linhuan Ancient City Ruins,asia/china/anhui/huaibei/linhuan_ruins,0.625,5.884,2.154,needs_external_source,,https://en.wikivoyage.org/wiki/Huaibei
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Waldbott Mansion,0.7,candidate,has coordinates; has description; high-value type,48.39362,21.65544,Main Square (Kossuth tér),europe/hungary/satoraljaujhely/main_square,0.698,0.302,0.28,needs_external_source,,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
