world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/lebanon/tyre,Tyre,Tyre,10,7,see,Tyre lighthouse,0.7,candidate,has coordinates; has description; high-value type,33.276339,35.193323,Tyre Fishing Harbour,asia/lebanon/tyre/tyre-fishing-harbour,0.571,0.722,0.549,needs_external_source,,https://en.wikivoyage.org/wiki/Tyre
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,do,Wat Suan Dok,0.7,candidate,has coordinates; has description; high-value type,18.78823,98.96776,Wat Phan Tao,asia/thailand/chiangmai/wat_phan_tao,0.667,2.11,1.908,needs_external_source,,https://en.wikivoyage.org/wiki/Chiang_Mai
asia/iraq/baghdad,Baghdad,Baghdad,7,78,do,Abu Nawas Street,0.7,candidate,has coordinates; has description; high-value type,33.3128,44.3984,Al-Mutanabbi Street,asia/iraq/baghdad/al_mutanabbi_street,0.629,2.798,1.274,needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad
asia/china/guangdong/zhongshan,Zhongshan,Zhongshan,13,37,see,Zhongshan Studio City,0.7,candidate,has coordinates; has description; high-value type,22.450192,113.524814,Zhongshan Hot Springs,asia/china/guangdong/zhongshan/zhongshan_hot_springs,0.571,6.954,15.501,needs_external_source,,https://en.wikivoyage.org/wiki/Zhongshan
africa/nigeria/oshogbo,Oshogbo,Osogbo,4,25,see,Oun Oshogbo Shrine,0.7,candidate,has coordinates; has description; high-value type,7.74107,4.55087,Osun-Osogbo Sacred Grove,africa/nigeria/oshogbo/osun_osogbo_sacred_grove,0.667,1.622,4.249,needs_external_source,,https://en.wikivoyage.org/wiki/Osogbo
southamerica/colombia/pasto,Pasto,Pasto,16,16,see,Templo de San Felipe,0.7,candidate,has coordinates; has description; high-value type,1.21413,-77.28525,Iglesia de Cristo Rey,southamerica/colombia/pasto/iglesia_de_cristo_rey,0.63,0.37,0.749,needs_external_source,,https://en.wikivoyage.org/wiki/Pasto
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Biomembrane,0.7,candidate,has coordinates; has description; high-value type,53.386785,-1.471526,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.683,0.317,0.682,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
europe/germany/schleswigholstein/flensburg,Flensburg,Flensburg,13,43,see,Marinesportsschule,0.7,candidate,has coordinates; has description; high-value type,54.81483,9.4656,Mürwik Naval School,europe/germany/schleswigholstein/flensburg/muerwik_naval_school,0.605,0.395,4.071,needs_external_source,,https://en.wikivoyage.org/wiki/Flensburg
northamerica/unitedstates/kentucky/frankfort,Frankfort,Frankfort (Kentucky),5,47,see,Zeigler House,0.7,candidate,has coordinates; has description; high-value type,38.190556,-84.876219,Kentucky State Capitol,northamerica/unitedstates/kentucky/frankfort/kentucky_state_capitol,0.564,0.436,1.178,needs_external_source,,https://en.wikivoyage.org/wiki/Frankfort_%28Kentucky%29
asia/southkorea/suwon,Suwon,Suwon,6,131,see,Joseon gyeonggukjeon,0.7,candidate,has coordinates; has description; high-value type,37.28265,127.01884,Hwaseong Haenggung,asia/southkorea/suwon/hwaseong_haenggung,0.622,0.378,0.626,needs_external_source,,https://en.wikivoyage.org/wiki/Suwon
asia/israel/eilat,Eilat,Eilat,13,35,see,Red Sea View Lookout,0.7,candidate,has coordinates; has description; high-value type,29.5411,34.931615,Red Sea Star,asia/israel/eilat/red_sea_star,0.562,5.849,2.694,needs_external_source,,https://en.wikivoyage.org/wiki/Eilat
