world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/rajasthan/jodhpur,Jodhpur,Jodhpur,23,34,see,Baba Ramdev Temple,0.66,candidate,has coordinates; high-value type; strong travel term,26.27125,72.99367,Kali Mata Temple,asia/india/rajasthan/jodhpur/kali_mata_temple,0.588,3.275,4.719,needs_external_source,,https://en.wikivoyage.org/wiki/Jodhpur
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,do,Belmont Veterans Memorial Pier,0.66,candidate,has coordinates; high-value type; strong travel term,33.757,-118.148,Belmont Shore,northamerica/unitedstates/california/long_beach/belmont_shore,0.558,2.042,4.246,needs_external_source,,https://en.wikivoyage.org/wiki/Long_Beach
asia/tajikistan/dushanbe,Dushanbe,Dushanbe,50,46,do,Lahuti Drama Theatre,0.66,candidate,has coordinates; high-value type; strong travel term,38.5851,68.78785,Mayakovsky Russian Drama Theatre,asia/tajikistan/dushanbe/mayakovsky_theatre,0.654,3.428,0.998,needs_external_source,,https://en.wikivoyage.org/wiki/Dushanbe
asia/indonesia/java/karimunjawa,Karimunjawa,Karimunjawa,12,26,see,Cemara Besar Island,0.66,candidate,has coordinates; high-value type; strong travel term,-5.806188,110.374437,Pulau Cemara Besar,asia/indonesia/java/karimunjawa/pulau_cemara_besar,0.649,11.494,10.414,needs_external_source,,https://en.wikivoyage.org/wiki/Karimunjawa
northamerica/unitedstates/ohio/hudson,Hudson,Hudson (Ohio),4,19,do,Veterans Way Park,0.66,candidate,has coordinates; high-value type; strong travel term,41.237,-81.4429,Hudson Library and Historical Society,northamerica/unitedstates/ohio/hudson/hudson_library_and_historical_society,0.559,0.441,0.377,needs_external_source,,https://en.wikivoyage.org/wiki/Hudson_%28Ohio%29
asia/turkey/cappadocia/nevsehir,Nevşehir,Nevşehir,4,11,see,Kurşunlu Mosque,0.66,candidate,has coordinates; high-value type; strong travel term,38.6219,34.7143,Nevşehir Bazaar,asia/turkey/cappadocia/nevsehir/nevsehir_bazaar,0.586,0.414,0.479,needs_external_source,,https://en.wikivoyage.org/wiki/Nev%C5%9Fehir
europe/russia/nizhnynovgorod,Nizhny Novgorod,Nizhny Novgorod,11,65,see,History Museum of Nizhny Novgorod automobile plant (GAZ),0.66,candidate,has coordinates; high-value type; strong travel term,56.254532,43.892366,Nizhny Novgorod Cableway,europe/russia/nizhnynovgorod/nizhny_novgorod_cableway,0.568,13.39,10.542,needs_external_source,,https://en.wikivoyage.org/wiki/Nizhny_Novgorod
asia/myanmar/yangon,Yangon,Yangon,21,140,see,War Memorial Cemetery,0.66,candidate,has coordinates; high-value type; strong travel term,16.81127,96.13323,Taukkyan War Cemetery,asia/myanmar/yangon/taukkyan_war_cemetery,0.571,29.161,3.369,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
europe/ireland/cork,Cork,Cork,26,66,see,Lough park,0.66,candidate,has coordinates; high-value type; strong travel term,51.88735,-8.48677,Glen Park,europe/ireland/cork/glen_park,0.632,3.244,1.575,needs_external_source,,https://en.wikivoyage.org/wiki/Cork
asia/turkey/elazig,Elazığ,Elazığ,10,6,see,Rüstempaşa Mosque,0.66,candidate,has coordinates; high-value type; strong travel term,38.6699,39.2289,İzzet Paşa Mosque,asia/turkey/elazig/izzet_pasha_mosque,0.71,0.705,0.733,needs_external_source,,https://en.wikivoyage.org/wiki/Elaz%C4%B1%C4%9F
southamerica/colombia/zipaquira,Zipaquira,Zipaquirá,3,7,see,Archaeological Museum,0.66,candidate,has coordinates; high-value type; strong travel term,5.02113,-74.0067,Catedral de Sal (Salt Cathedral),southamerica/colombia/zipaquira/catedral_de_sal,0.613,0.387,0.398,needs_external_source,,https://en.wikivoyage.org/wiki/Zipaquir%C3%A1
