world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,Argus Museum,0.66,candidate,has coordinates; high-value type; strong travel term,42.2779,-83.7546,Blind Pig,northamerica/unitedstates/michigan/annarbor/blind_pig,0.627,0.373,0.635,needs_external_source,,https://en.wikivoyage.org/wiki/Ann_Arbor
asia/indonesia/java/karimunjawa,Karimunjawa,Karimunjawa,12,26,see,Ujung Gelam Beach,0.66,candidate,has coordinates; high-value type; strong travel term,-5.839688,110.411062,Tanjung Gelam,asia/indonesia/java/karimunjawa/tanjung_gelam,0.667,0.764,5.053,needs_external_source,,https://en.wikivoyage.org/wiki/Karimunjawa
europe/spain/canaryislands/lapalma,La Palma,La Palma,6,14,see,National Park de la Caldera de Taburiente,0.66,candidate,has coordinates; high-value type; strong travel term,28.753928,-17.884719,Caldera de Taburiente National Park,europe/spain/canaryislands/lapalma/caldera_de_taburiente,0.562,4.497,11.309,needs_external_source,,https://en.wikivoyage.org/wiki/La_Palma
europe/greece/xanthi,Xanthi,Xanthi,5,26,see,Public Paint Gallery,0.66,candidate,has coordinates; high-value type; strong travel term,41.143296,24.888062,Xanthi Old Town,europe/greece/xanthi/old_town,0.685,0.315,0.594,needs_external_source,,https://en.wikivoyage.org/wiki/Xanthi
asia/yemen/aden,Aden,Aden,14,14,see,Aden Military Museum,0.66,candidate,has coordinates; high-value type; strong travel term,12.779207,45.03652,Minaret of Aden,asia/yemen/aden/aden_minaret,0.609,0.391,1.445,needs_external_source,,https://en.wikivoyage.org/wiki/Aden
asia/yemen/aden,Aden,Aden,14,14,see,Fish market,0.66,candidate,has coordinates; high-value type; strong travel term,12.77804,45.04746,Sira Fortress,asia/yemen/aden/sira_fortress,0.661,0.339,2.424,needs_external_source,,https://en.wikivoyage.org/wiki/Aden
asia/india/uttarpradesh/gorakhpur,Gorakhpur,Gorakhpur,15,29,do,Ambedkar Park,0.66,candidate,has coordinates; high-value type; strong travel term,26.76987,83.36916,Nehru Park,asia/india/uttarpradesh/gorakhpur/nehru_park,0.609,1.122,11.36,needs_external_source,,https://en.wikivoyage.org/wiki/Gorakhpur
asia/indonesia/java/karimunjawa,Karimunjawa,Karimunjawa,12,26,see,Menjangan Kecil Island,0.66,candidate,has coordinates; high-value type; strong travel term,-5.890437,110.409312,Pulau Menjangan Kecil,asia/indonesia/java/karimunjawa/menjangan_kecil,0.698,2.4,2.874,needs_external_source,,https://en.wikivoyage.org/wiki/Karimunjawa
asia/iraq/basra,Basra,Basra,6,29,see,Basta Natural History Museum,0.66,candidate,has coordinates; high-value type; strong travel term,30.5003,47.8582,Basra Museum,asia/iraq/basra/basra_museum,0.6,4.898,4.738,needs_external_source,,https://en.wikivoyage.org/wiki/Basra
asia/israel/nethanya,Netanya,Netanya,9,22,see,Netanya Flower market,0.66,candidate,has coordinates; high-value type; strong travel term,32.32923,34.8579,Independence Square,asia/israel/nethanya/independence_square,0.635,0.365,0.966,needs_external_source,,https://en.wikivoyage.org/wiki/Netanya
europe/poland/sosnowiec,Sosnowiec,Sosnowiec,5,51,see,Sielecki Park,0.66,candidate,has coordinates; high-value type; strong travel term,50.28407746895871,19.14183397570864,Sielecki Castle,europe/poland/sosnowiec/sielecki_castle,0.714,1.15,5.434,needs_external_source,,https://en.wikivoyage.org/wiki/Sosnowiec
